value,timestamp
111.8,2007-12-11T13:00:00+10:00
447.7,2007-12-11T14:00:00+10:00
445.6,2007-12-11T15:00:00+10:00
442.9,2007-12-11T16:00:00+10:00
426.2,2007-12-11T17:00:00+10:00
212.0,2007-12-11T18:00:00+10:00
185.7,2007-12-11T19:00:00+10:00
190.6,2007-12-11T20:00:00+10:00
182.7,2007-12-11T21:00:00+10:00
116.0,2007-12-11T22:00:00+10:00
185.3,2007-12-11T23:00:00+10:00
210.1,2007-12-12T00:00:00+10:00
207.2,2007-12-12T01:00:00+10:00
179.9,2007-12-12T02:00:00+10:00
154.6,2007-12-12T03:00:00+10:00
113.3,2007-12-12T04:00:00+10:00
106.6,2007-12-12T05:00:00+10:00
369.7,2007-12-12T06:00:00+10:00
424.8,2007-12-12T07:00:00+10:00
434.0,2007-12-12T08:00:00+10:00
443.5,2007-12-12T09:00:00+10:00
448.6,2007-12-12T10:00:00+10:00
449.3,2007-12-12T11:00:00+10:00
413.2,2007-12-12T12:00:00+10:00
385.5,2007-12-12T13:00:00+10:00
362.0,2007-12-12T14:00:00+10:00
388.4,2007-12-12T15:00:00+10:00
415.4,2007-12-12T16:00:00+10:00
406.9,2007-12-12T17:00:00+10:00
204.1,2007-12-12T18:00:00+10:00
192.5,2007-12-12T19:00:00+10:00
189.1,2007-12-12T20:00:00+10:00
169.4,2007-12-12T21:00:00+10:00
43.9,2007-12-12T22:00:00+10:00
175.5,2007-12-12T23:00:00+10:00
193.7,2007-12-13T00:00:00+10:00
184.2,2007-12-13T01:00:00+10:00
183.8,2007-12-13T02:00:00+10:00
184.3,2007-12-13T03:00:00+10:00
189.8,2007-12-13T04:00:00+10:00
182.8,2007-12-13T05:00:00+10:00
374.1,2007-12-13T06:00:00+10:00
400.8,2007-12-13T07:00:00+10:00
407.4,2007-12-13T08:00:00+10:00
419.9,2007-12-13T09:00:00+10:00
422.6,2007-12-13T10:00:00+10:00
407.6,2007-12-13T11:00:00+10:00
420.3,2007-12-13T12:00:00+10:00
411.9,2007-12-13T13:00:00+10:00
436.8,2007-12-13T14:00:00+10:00
431.4,2007-12-13T15:00:00+10:00
461.9,2007-12-13T16:00:00+10:00
456.8,2007-12-13T17:00:00+10:00
209.9,2007-12-13T18:00:00+10:00
193.0,2007-12-13T19:00:00+10:00
187.9,2007-12-13T20:00:00+10:00
145.4,2007-12-13T21:00:00+10:00
46.6,2007-12-13T22:00:00+10:00
206.8,2007-12-13T23:00:00+10:00
225.2,2007-12-14T00:00:00+10:00
223.7,2007-12-14T01:00:00+10:00
225.7,2007-12-14T02:00:00+10:00
224.2,2007-12-14T03:00:00+10:00
224.2,2007-12-14T04:00:00+10:00
212.8,2007-12-14T05:00:00+10:00
407.2,2007-12-14T06:00:00+10:00
445.2,2007-12-14T07:00:00+10:00
