Year 2009
Date/time;CE002-Mains.Active energy (118471.2 kWh)
6/25/09 12:00:00 PM;9.4
6/25/09 1:00:00 PM;37.4
6/25/09 2:00:00 PM;42.5
6/25/09 3:00:00 PM;41.9
6/25/09 4:00:00 PM;36.8
6/25/09 5:00:00 PM;30.2
6/25/09 6:00:00 PM;25.9
6/25/09 7:00:00 PM;22.8
6/25/09 8:00:00 PM;22.1
6/25/09 9:00:00 PM;22.6
6/25/09 10:00:00 PM;22.0
6/25/09 11:00:00 PM;21.0
6/26/09 12:00:00 AM;21.2
6/26/09 1:00:00 AM;21.0
6/26/09 2:00:00 AM;21.1
6/26/09 3:00:00 AM;21.6
6/26/09 4:00:00 AM;20.9
6/26/09 5:00:00 AM;21.2
6/26/09 6:00:00 AM;20.9
6/26/09 7:00:00 AM;28.4
6/26/09 8:00:00 AM;34.6
6/26/09 9:00:00 AM;41.0
6/26/09 10:00:00 AM;42.2
6/26/09 11:00:00 AM;40.8
6/26/09 12:00:00 PM;39.7
6/26/09 1:00:00 PM;39.2
6/26/09 2:00:00 PM;38.4
6/26/09 3:00:00 PM;38.2
6/26/09 4:00:00 PM;34.3
6/26/09 5:00:00 PM;27.3
6/26/09 6:00:00 PM;23.4
6/26/09 7:00:00 PM;22.3
6/26/09 8:00:00 PM;22.2
6/26/09 9:00:00 PM;22.7
6/26/09 10:00:00 PM;22.1
6/26/09 11:00:00 PM;21.2
6/27/09 12:00:00 AM;23.8
6/27/09 1:00:00 AM;21.1
6/27/09 2:00:00 AM;21.1
6/27/09 3:00:00 AM;21.8
6/27/09 4:00:00 AM;21.4
6/27/09 5:00:00 AM;21.1
6/27/09 6:00:00 AM;17.7
6/27/09 7:00:00 AM;19.0
6/27/09 8:00:00 AM;19.1
6/27/09 9:00:00 AM;20.1
6/27/09 10:00:00 AM;19.5
6/27/09 11:00:00 AM;19.5
6/27/09 12:00:00 PM;19.7
6/27/09 1:00:00 PM;19.8
6/27/09 2:00:00 PM;19.6
6/27/09 3:00:00 PM;20.5
6/27/09 4:00:00 PM;19.9
6/27/09 5:00:00 PM;19.7
6/27/09 6:00:00 PM;22.6
6/27/09 7:00:00 PM;22.5
