Year 2010
Date/time;CA001-Mains.Active energy (398921.4 kWh)
1/1/10 12:00:00 AM;19.2
1/1/10 1:00:00 AM;19.2
1/1/10 2:00:00 AM;19.5
1/1/10 3:00:00 AM;19.1
1/1/10 4:00:00 AM;19.1
1/1/10 5:00:00 AM;19.9
1/1/10 6:00:00 AM;18.0
1/1/10 7:00:00 AM;31.0
1/1/10 8:00:00 AM;36.2
1/1/10 9:00:00 AM;36.4
1/1/10 10:00:00 AM;38.4
1/1/10 11:00:00 AM;36.2
1/1/10 12:00:00 PM;36.4
1/1/10 1:00:00 PM;36.7
1/1/10 2:00:00 PM;37.2
1/1/10 3:00:00 PM;36.3
1/1/10 4:00:00 PM;36.6
1/1/10 5:00:00 PM;35.9
1/1/10 6:00:00 PM;39.2
1/1/10 7:00:00 PM;37.4
1/1/10 8:00:00 PM;29.7
1/1/10 9:00:00 PM;21.7
1/1/10 10:00:00 PM;19.4
1/1/10 11:00:00 PM;19.4
1/2/10 12:00:00 AM;18.6
1/2/10 1:00:00 AM;19.2
1/2/10 2:00:00 AM;18.8
1/2/10 3:00:00 AM;19.0
1/2/10 4:00:00 AM;19.3
1/2/10 5:00:00 AM;19.2
1/2/10 6:00:00 AM;16.3
1/2/10 7:00:00 AM;27.9
1/2/10 8:00:00 AM;32.7
1/2/10 9:00:00 AM;33.5
1/2/10 10:00:00 AM;33.2
1/2/10 11:00:00 AM;33.1
1/2/10 12:00:00 PM;33.0
1/2/10 1:00:00 PM;33.7
1/2/10 2:00:00 PM;32.8
1/2/10 3:00:00 PM;32.9
1/2/10 4:00:00 PM;32.7
1/2/10 5:00:00 PM;33.0
1/2/10 6:00:00 PM;37.3
1/2/10 7:00:00 PM;36.3
1/2/10 8:00:00 PM;29.3
1/2/10 9:00:00 PM;21.7
1/2/10 10:00:00 PM;19.5
1/2/10 11:00:00 PM;18.6
1/3/10 12:00:00 AM;18.7
1/3/10 1:00:00 AM;19.2
1/3/10 2:00:00 AM;18.8
1/3/10 3:00:00 AM;19.2
1/3/10 4:00:00 AM;18.8
1/3/10 5:00:00 AM;19.4
1/3/10 6:00:00 AM;16.7
1/3/10 7:00:00 AM;17.7
1/3/10 8:00:00 AM;20.8
1/3/10 9:00:00 AM;21.3
1/3/10 10:00:00 AM;21.1
1/3/10 11:00:00 AM;21.0
1/3/10 12:00:00 PM;21.3
1/3/10 1:00:00 PM;22.6
1/3/10 2:00:00 PM;21.7
1/3/10 3:00:00 PM;21.4
1/3/10 4:00:00 PM;21.6
1/3/10 5:00:00 PM;22.0
1/3/10 6:00:00 PM;25.7
1/3/10 7:00:00 PM;24.9
1/3/10 8:00:00 PM;20.3
1/3/10 9:00:00 PM;19.5
1/3/10 10:00:00 PM;19.2
1/3/10 11:00:00 PM;18.9
1/4/10 12:00:00 AM;19.3
1/4/10 1:00:00 AM;19.3
1/4/10 2:00:00 AM;19.5
1/4/10 3:00:00 AM;19.2
1/4/10 4:00:00 AM;18.8
1/4/10 5:00:00 AM;19.4
1/4/10 6:00:00 AM;24.5
1/4/10 7:00:00 AM;41.1
1/4/10 8:00:00 AM;56.0
1/4/10 9:00:00 AM;62.6
1/4/10 10:00:00 AM;65.0
1/4/10 11:00:00 AM;64.5
1/4/10 12:00:00 PM;64.9
1/4/10 1:00:00 PM;66.0
1/4/10 2:00:00 PM;65.1
1/4/10 3:00:00 PM;63.7
1/4/10 4:00:00 PM;60.0
1/4/10 5:00:00 PM;50.7
1/4/10 6:00:00 PM;45.8
1/4/10 7:00:00 PM;44.8
1/4/10 8:00:00 PM;37.6
1/4/10 9:00:00 PM;26.7
1/4/10 10:00:00 PM;20.9
1/4/10 11:00:00 PM;20.9
1/5/10 12:00:00 AM;20.9
1/5/10 1:00:00 AM;21.1
1/5/10 2:00:00 AM;21.2
1/5/10 3:00:00 AM;21.3
1/5/10 4:00:00 AM;21.3
1/5/10 5:00:00 AM;21.2
1/5/10 6:00:00 AM;26.1
1/5/10 7:00:00 AM;45.0
1/5/10 8:00:00 AM;59.6
1/5/10 9:00:00 AM;65.2
1/5/10 10:00:00 AM;67.4
1/5/10 11:00:00 AM;67.2
1/5/10 12:00:00 PM;67.3
1/5/10 1:00:00 PM;67.9
1/5/10 2:00:00 PM;66.3
1/5/10 3:00:00 PM;65.5
1/5/10 4:00:00 PM;61.2
1/5/10 5:00:00 PM;54.1
1/5/10 6:00:00 PM;43.3
1/5/10 7:00:00 PM;42.8
1/5/10 8:00:00 PM;34.8
1/5/10 9:00:00 PM;25.5
1/5/10 10:00:00 PM;22.6
1/5/10 11:00:00 PM;21.5
1/6/10 12:00:00 AM;21.2
1/6/10 1:00:00 AM;21.9
1/6/10 2:00:00 AM;21.2
1/6/10 3:00:00 AM;20.9
1/6/10 4:00:00 AM;20.9
1/6/10 5:00:00 AM;23.8
1/6/10 6:00:00 AM;28.1
1/6/10 7:00:00 AM;46.0
1/6/10 8:00:00 AM;61.5
1/6/10 9:00:00 AM;67.4
1/6/10 10:00:00 AM;68.3
1/6/10 11:00:00 AM;67.4
1/6/10 12:00:00 PM;67.7
1/6/10 1:00:00 PM;68.3
1/6/10 2:00:00 PM;68.7
1/6/10 3:00:00 PM;67.0
1/6/10 4:00:00 PM;61.2
1/6/10 5:00:00 PM;50.1
1/6/10 6:00:00 PM;44.0
1/6/10 7:00:00 PM;43.2
1/6/10 8:00:00 PM;39.5
1/6/10 9:00:00 PM;25.2
1/6/10 10:00:00 PM;22.8
1/6/10 11:00:00 PM;22.7
1/7/10 12:00:00 AM;22.0
1/7/10 1:00:00 AM;21.0
1/7/10 2:00:00 AM;20.5
1/7/10 3:00:00 AM;21.0
1/7/10 4:00:00 AM;20.3
1/7/10 5:00:00 AM;23.2
1/7/10 6:00:00 AM;28.2
1/7/10 7:00:00 AM;44.6
1/7/10 8:00:00 AM;61.1
1/7/10 9:00:00 AM;66.2
1/7/10 10:00:00 AM;66.8
1/7/10 11:00:00 AM;69.9
1/7/10 12:00:00 PM;68.3
1/7/10 1:00:00 PM;67.7
1/7/10 2:00:00 PM;66.5
1/7/10 3:00:00 PM;66.3
1/7/10 4:00:00 PM;62.8
1/7/10 5:00:00 PM;54.5
1/7/10 6:00:00 PM;51.8
1/7/10 7:00:00 PM;50.3
1/7/10 8:00:00 PM;38.3
1/7/10 9:00:00 PM;24.4
1/7/10 10:00:00 PM;21.2
1/7/10 11:00:00 PM;20.5
1/8/10 12:00:00 AM;20.6
1/8/10 1:00:00 AM;21.0
1/8/10 2:00:00 AM;20.4
1/8/10 3:00:00 AM;20.7
1/8/10 4:00:00 AM;20.3
1/8/10 5:00:00 AM;22.1
1/8/10 6:00:00 AM;27.6
1/8/10 7:00:00 AM;43.7
1/8/10 8:00:00 AM;58.9
1/8/10 9:00:00 AM;64.5
1/8/10 10:00:00 AM;65.6
