Year 2013
Date/time;CB001-Mains.Active energy (997350.7 kWh)
1/1/13 12:00:00 AM;68.5
1/1/13 1:00:00 AM;68.7
1/1/13 2:00:00 AM;68.4
1/1/13 3:00:00 AM;68.3
1/1/13 4:00:00 AM;69.5
1/1/13 5:00:00 AM;69.0
1/1/13 6:00:00 AM;64.1
1/1/13 7:00:00 AM;62.4
1/1/13 8:00:00 AM;66.3
1/1/13 9:00:00 AM;67.7
1/1/13 10:00:00 AM;67.6
1/1/13 11:00:00 AM;69.0
1/1/13 12:00:00 PM;69.3
1/1/13 1:00:00 PM;69.9
1/1/13 2:00:00 PM;69.5
1/1/13 3:00:00 PM;69.2
1/1/13 4:00:00 PM;69.0
1/1/13 5:00:00 PM;68.5
1/1/13 6:00:00 PM;69.8
1/1/13 7:00:00 PM;68.5
1/1/13 8:00:00 PM;68.4
1/1/13 9:00:00 PM;69.1
1/1/13 10:00:00 PM;68.5
1/1/13 11:00:00 PM;68.4
1/2/13 12:00:00 AM;68.7
1/2/13 1:00:00 AM;68.0
1/2/13 2:00:00 AM;69.1
1/2/13 3:00:00 AM;67.9
1/2/13 4:00:00 AM;69.2
1/2/13 5:00:00 AM;68.4
1/2/13 6:00:00 AM;62.1
1/2/13 7:00:00 AM;84.6
1/2/13 8:00:00 AM;106.4
1/2/13 9:00:00 AM;108.7
1/2/13 10:00:00 AM;109.1
1/2/13 11:00:00 AM;109.8
1/2/13 12:00:00 PM;111.1
1/2/13 1:00:00 PM;111.3
1/2/13 2:00:00 PM;110.2
1/2/13 3:00:00 PM;110.0
1/2/13 4:00:00 PM;108.6
1/2/13 5:00:00 PM;102.7
1/2/13 6:00:00 PM;101.1
1/2/13 7:00:00 PM;19.3
1/3/13 8:00:00 AM;1241.9
1/3/13 9:00:00 AM;108.8
1/3/13 10:00:00 AM;108.3
1/3/13 11:00:00 AM;109.2
1/3/13 12:00:00 PM;110.3
1/3/13 1:00:00 PM;110.1
1/3/13 2:00:00 PM;111.4
1/3/13 3:00:00 PM;110.3
1/3/13 4:00:00 PM;109.0
1/3/13 5:00:00 PM;104.3
1/3/13 6:00:00 PM;104.9
1/3/13 7:00:00 PM;100.6
1/3/13 8:00:00 PM;100.6
1/3/13 9:00:00 PM;108.1
1/3/13 10:00:00 PM;117.6
1/3/13 11:00:00 PM;117.2
1/4/13 12:00:00 AM;117.0
1/4/13 1:00:00 AM;71.8
1/4/13 2:00:00 AM;68.8
1/4/13 3:00:00 AM;68.7
1/4/13 4:00:00 AM;69.8
1/4/13 5:00:00 AM;69.8
1/4/13 6:00:00 AM;63.6
1/4/13 7:00:00 AM;86.7
1/4/13 8:00:00 AM;107.1
1/4/13 9:00:00 AM;109.7
1/4/13 10:00:00 AM;114.6
1/4/13 11:00:00 AM;116.8
1/4/13 12:00:00 PM;113.2
1/4/13 1:00:00 PM;112.5
1/4/13 2:00:00 PM;111.2
1/4/13 3:00:00 PM;110.6
1/4/13 4:00:00 PM;109.9
1/4/13 5:00:00 PM;77.5
1/4/13 6:00:00 PM;89.7
1/4/13 7:00:00 PM;105.3
1/4/13 8:00:00 PM;102.5
1/4/13 9:00:00 PM;119.6
1/4/13 10:00:00 PM;119.0
1/4/13 11:00:00 PM;97.3
1/5/13 12:00:00 AM;72.0
1/5/13 1:00:00 AM;72.5
1/5/13 2:00:00 AM;73.1
1/5/13 3:00:00 AM;73.6
1/5/13 4:00:00 AM;76.0
1/5/13 5:00:00 AM;73.8
1/5/13 6:00:00 AM;65.7
1/5/13 7:00:00 AM;61.1
1/5/13 8:00:00 AM;62.4
1/5/13 9:00:00 AM;69.1
1/5/13 10:00:00 AM;74.5
1/5/13 11:00:00 AM;74.1
1/5/13 12:00:00 PM;76.2
1/5/13 1:00:00 PM;74.5
1/5/13 2:00:00 PM;75.0
1/5/13 3:00:00 PM;74.6
1/5/13 4:00:00 PM;74.1
1/5/13 5:00:00 PM;68.4
1/5/13 6:00:00 PM;73.1
1/5/13 7:00:00 PM;71.4
1/5/13 8:00:00 PM;72.4
1/5/13 9:00:00 PM;72.1
1/5/13 10:00:00 PM;71.5
1/5/13 11:00:00 PM;72.5
1/6/13 12:00:00 AM;72.1
1/6/13 1:00:00 AM;72.4
1/6/13 2:00:00 AM;72.1
1/6/13 3:00:00 AM;72.4
1/6/13 4:00:00 AM;75.6
1/6/13 5:00:00 AM;73.7
1/6/13 6:00:00 AM;66.2
1/6/13 7:00:00 AM;60.8
1/6/13 8:00:00 AM;62.5
1/6/13 9:00:00 AM;69.5
1/6/13 10:00:00 AM;73.8
1/6/13 11:00:00 AM;73.1
1/6/13 12:00:00 PM;73.8
1/6/13 1:00:00 PM;74.4
1/6/13 2:00:00 PM;75.3
1/6/13 3:00:00 PM;74.5
1/6/13 4:00:00 PM;74.6
1/6/13 5:00:00 PM;68.3
1/6/13 6:00:00 PM;73.1
1/6/13 7:00:00 PM;71.9
1/6/13 8:00:00 PM;71.8
1/6/13 9:00:00 PM;71.9
1/6/13 10:00:00 PM;71.9
1/6/13 11:00:00 PM;72.0
1/7/13 12:00:00 AM;72.9
1/7/13 1:00:00 AM;72.1
1/7/13 2:00:00 AM;71.8
1/7/13 3:00:00 AM;71.8
1/7/13 4:00:00 AM;75.5
1/7/13 5:00:00 AM;74.3
1/7/13 6:00:00 AM;66.2
1/7/13 7:00:00 AM;81.8
1/7/13 8:00:00 AM;112.1
1/7/13 9:00:00 AM;114.9
1/7/13 10:00:00 AM;116.7
1/7/13 11:00:00 AM;115.1
1/7/13 12:00:00 PM;117.7
1/7/13 1:00:00 PM;117.3
1/7/13 2:00:00 PM;117.4
1/7/13 3:00:00 PM;116.6
