Year 2015
Date/time;CD001-Mains.Active energy (44499.3 kWh)
10/15/15 2:00:00 PM;23.7
10/15/15 3:00:00 PM;80.0
10/15/15 4:00:00 PM;65.9
10/15/15 5:00:00 PM;55.0
10/15/15 6:00:00 PM;38.8
10/15/15 7:00:00 PM;38.9
10/15/15 8:00:00 PM;46.4
10/15/15 9:00:00 PM;41.0
10/15/15 10:00:00 PM;35.4
10/15/15 11:00:00 PM;31.7
10/16/15 12:00:00 AM;24.2
10/16/15 1:00:00 AM;23.1
10/16/15 2:00:00 AM;23.3
10/16/15 3:00:00 AM;25.3
10/16/15 4:00:00 AM;25.0
10/16/15 5:00:00 AM;25.0
10/16/15 6:00:00 AM;36.7
10/16/15 7:00:00 AM;60.9
10/16/15 8:00:00 AM;75.4
10/16/15 9:00:00 AM;74.3
10/16/15 10:00:00 AM;76.0
10/16/15 11:00:00 AM;74.6
10/16/15 12:00:00 PM;74.6
10/16/15 1:00:00 PM;81.7
10/16/15 2:00:00 PM;70.3
10/16/15 3:00:00 PM;74.7
10/16/15 4:00:00 PM;69.4
10/16/15 5:00:00 PM;55.8
10/16/15 6:00:00 PM;42.2
10/16/15 7:00:00 PM;39.0
10/16/15 8:00:00 PM;32.5
10/16/15 9:00:00 PM;34.7
10/16/15 10:00:00 PM;33.2
10/16/15 11:00:00 PM;25.4
10/17/15 12:00:00 AM;24.1
10/17/15 1:00:00 AM;24.0
10/17/15 2:00:00 AM;24.6
10/17/15 3:00:00 AM;25.3
10/17/15 4:00:00 AM;24.7
10/17/15 5:00:00 AM;25.4
10/17/15 6:00:00 AM;24.9
10/17/15 7:00:00 AM;30.1
10/17/15 8:00:00 AM;30.6
10/17/15 9:00:00 AM;31.7
10/17/15 10:00:00 AM;37.4
10/17/15 11:00:00 AM;39.5
10/17/15 12:00:00 PM;37.3
10/17/15 1:00:00 PM;37.4
10/17/15 2:00:00 PM;36.5
10/17/15 3:00:00 PM;37.2
10/17/15 4:00:00 PM;37.2
10/17/15 5:00:00 PM;34.8
10/17/15 6:00:00 PM;35.4
10/17/15 7:00:00 PM;35.5
10/17/15 8:00:00 PM;28.6
10/17/15 9:00:00 PM;28.5
10/17/15 10:00:00 PM;28.6
10/17/15 11:00:00 PM;26.0
10/18/15 12:00:00 AM;25.4
10/18/15 1:00:00 AM;26.2
10/18/15 2:00:00 AM;26.0
10/18/15 3:00:00 AM;25.4
10/18/15 4:00:00 AM;25.6
10/18/15 5:00:00 AM;25.0
10/18/15 6:00:00 AM;25.5
10/18/15 7:00:00 AM;29.5
10/18/15 8:00:00 AM;30.6
10/18/15 9:00:00 AM;32.8
10/18/15 10:00:00 AM;32.6
10/18/15 11:00:00 AM;34.7
10/18/15 12:00:00 PM;36.4
10/18/15 1:00:00 PM;36.8
10/18/15 2:00:00 PM;35.6
10/18/15 3:00:00 PM;37.2
10/18/15 4:00:00 PM;38.1
10/18/15 5:00:00 PM;34.8
10/18/15 6:00:00 PM;35.1
10/18/15 7:00:00 PM;34.8
10/18/15 8:00:00 PM;29.6
10/18/15 9:00:00 PM;28.2
10/18/15 10:00:00 PM;28.4
10/18/15 11:00:00 PM;26.3
10/19/15 12:00:00 AM;25.0
10/19/15 1:00:00 AM;23.8
10/19/15 2:00:00 AM;22.4
10/19/15 3:00:00 AM;25.4
10/19/15 4:00:00 AM;25.1
10/19/15 5:00:00 AM;25.3
10/19/15 6:00:00 AM;39.1
10/19/15 7:00:00 AM;55.9
10/19/15 8:00:00 AM;62.5
10/19/15 9:00:00 AM;73.4
10/19/15 10:00:00 AM;86.9
10/19/15 11:00:00 AM;86.5
10/19/15 12:00:00 PM;86.8
10/19/15 1:00:00 PM;101.8
10/19/15 2:00:00 PM;95.2
10/19/15 3:00:00 PM;82.3
10/19/15 4:00:00 PM;74.4
10/19/15 5:00:00 PM;59.1
10/19/15 6:00:00 PM;38.1
10/19/15 7:00:00 PM;37.1
10/19/15 8:00:00 PM;32.4
10/19/15 9:00:00 PM;30.5
10/19/15 10:00:00 PM;36.4
10/19/15 11:00:00 PM;36.4
10/20/15 12:00:00 AM;29.3
10/20/15 1:00:00 AM;23.9
10/20/15 2:00:00 AM;23.9
10/20/15 3:00:00 AM;24.6
10/20/15 4:00:00 AM;25.4
10/20/15 5:00:00 AM;25.3
10/20/15 6:00:00 AM;39.4
10/20/15 7:00:00 AM;52.0
10/20/15 8:00:00 AM;64.0
10/20/15 9:00:00 AM;126.5
10/20/15 10:00:00 AM;111.9
10/20/15 11:00:00 AM;93.7
10/20/15 12:00:00 PM;84.3
10/20/15 1:00:00 PM;99.3
10/20/15 2:00:00 PM;92.1
10/20/15 3:00:00 PM;79.7
10/20/15 4:00:00 PM;64.4
10/20/15 5:00:00 PM;55.4
10/20/15 6:00:00 PM;41.0
10/20/15 7:00:00 PM;38.3
10/20/15 8:00:00 PM;39.8
10/20/15 9:00:00 PM;36.8
10/20/15 10:00:00 PM;31.5
10/20/15 11:00:00 PM;24.8
10/21/15 12:00:00 AM;24.7
10/21/15 1:00:00 AM;23.4
10/21/15 2:00:00 AM;22.3
10/21/15 3:00:00 AM;25.5
10/21/15 4:00:00 AM;24.8
10/21/15 5:00:00 AM;25.0
10/21/15 6:00:00 AM;38.9
10/21/15 7:00:00 AM;54.3
10/21/15 8:00:00 AM;60.7
10/21/15 9:00:00 AM;79.9
10/21/15 10:00:00 AM;88.0
10/21/15 11:00:00 AM;84.4
10/21/15 12:00:00 PM;68.1
10/21/15 1:00:00 PM;84.5
10/21/15 2:00:00 PM;80.2
10/21/15 3:00:00 PM;66.9
10/21/15 4:00:00 PM;61.0
10/21/15 5:00:00 PM;55.0
10/21/15 6:00:00 PM;42.8
10/21/15 7:00:00 PM;35.2
10/21/15 8:00:00 PM;30.2
10/21/15 9:00:00 PM;30.9
10/21/15 10:00:00 PM;30.3
10/21/15 11:00:00 PM;26.8
10/22/15 12:00:00 AM;30.0
10/22/15 1:00:00 AM;29.2
10/22/15 2:00:00 AM;28.5
10/22/15 3:00:00 AM;29.5
10/22/15 4:00:00 AM;29.5
10/22/15 5:00:00 AM;29.6
10/22/15 6:00:00 AM;41.7
10/22/15 7:00:00 AM;52.9
10/22/15 8:00:00 AM;67.3
10/22/15 9:00:00 AM;65.0
10/22/15 10:00:00 AM;62.1
10/22/15 11:00:00 AM;67.7
10/22/15 12:00:00 PM;70.1
10/22/15 1:00:00 PM;72.5
10/22/15 2:00:00 PM;70.3
10/22/15 3:00:00 PM;65.8
10/22/15 4:00:00 PM;58.1
10/22/15 5:00:00 PM;55.9
10/22/15 6:00:00 PM;40.7
10/22/15 7:00:00 PM;38.4
10/22/15 8:00:00 PM;37.9
10/22/15 9:00:00 PM;37.1
10/22/15 10:00:00 PM;33.9
10/22/15 11:00:00 PM;28.7
10/23/15 12:00:00 AM;23.7
10/23/15 1:00:00 AM;23.5
10/23/15 2:00:00 AM;22.9
10/23/15 3:00:00 AM;25.4
10/23/15 4:00:00 AM;26.2
10/23/15 5:00:00 AM;25.4
10/23/15 6:00:00 AM;38.7
10/23/15 7:00:00 AM;54.8
10/23/15 8:00:00 AM;67.0
10/23/15 9:00:00 AM;68.0
10/23/15 10:00:00 AM;67.0
10/23/15 11:00:00 AM;64.1
10/23/15 12:00:00 PM;65.5
10/23/15 1:00:00 PM;69.8
10/23/15 2:00:00 PM;70.1
10/23/15 3:00:00 PM;88.3
10/23/15 4:00:00 PM;79.6
10/23/15 5:00:00 PM;64.5
10/23/15 6:00:00 PM;44.3
10/23/15 7:00:00 PM;39.3
10/23/15 8:00:00 PM;32.4
10/23/15 9:00:00 PM;30.1
10/23/15 10:00:00 PM;28.5
10/23/15 11:00:00 PM;32.5
10/24/15 12:00:00 AM;31.7
10/24/15 1:00:00 AM;24.4
10/24/15 2:00:00 AM;22.7
10/24/15 3:00:00 AM;25.7
10/24/15 4:00:00 AM;27.3
10/24/15 5:00:00 AM;25.9
10/24/15 6:00:00 AM;25.9
10/24/15 7:00:00 AM;29.7
10/24/15 8:00:00 AM;30.5
10/24/15 9:00:00 AM;36.5
10/24/15 10:00:00 AM;41.3
10/24/15 11:00:00 AM;41.7
10/24/15 12:00:00 PM;44.3
10/24/15 1:00:00 PM;44.6
10/24/15 2:00:00 PM;40.1
10/24/15 3:00:00 PM;41.0
10/24/15 4:00:00 PM;45.3
10/24/15 5:00:00 PM;39.7
10/24/15 6:00:00 PM;36.0
10/24/15 7:00:00 PM;35.2
10/24/15 8:00:00 PM;28.7
10/24/15 9:00:00 PM;29.7
10/24/15 10:00:00 PM;29.2
10/24/15 11:00:00 PM;25.2
10/25/15 12:00:00 AM;25.2
10/25/15 1:00:00 AM;24.2
10/25/15 2:00:00 AM;24.0
10/25/15 3:00:00 AM;26.2
10/25/15 4:00:00 AM;24.6
10/25/15 5:00:00 AM;25.0
10/25/15 6:00:00 AM;24.4
10/25/15 7:00:00 AM;30.0
10/25/15 8:00:00 AM;29.9
10/25/15 9:00:00 AM;36.9
10/25/15 10:00:00 AM;43.8
10/25/15 11:00:00 AM;39.8
10/25/15 12:00:00 PM;34.9
10/25/15 1:00:00 PM;46.6
10/25/15 2:00:00 PM;44.8
10/25/15 3:00:00 PM;41.9
10/25/15 4:00:00 PM;40.1
10/25/15 5:00:00 PM;44.3
10/25/15 6:00:00 PM;47.1
10/25/15 7:00:00 PM;41.5
10/25/15 8:00:00 PM;33.9
10/25/15 9:00:00 PM;37.7
10/25/15 10:00:00 PM;34.3
10/25/15 11:00:00 PM;32.6
10/26/15 12:00:00 AM;38.3
10/26/15 1:00:00 AM;28.3
10/26/15 2:00:00 AM;23.5
10/26/15 3:00:00 AM;26.2
10/26/15 4:00:00 AM;26.5
10/26/15 5:00:00 AM;27.2
10/26/15 6:00:00 AM;39.7
10/26/15 7:00:00 AM;58.5
10/26/15 8:00:00 AM;65.3
10/26/15 9:00:00 AM;66.8
10/26/15 10:00:00 AM;68.5
10/26/15 11:00:00 AM;76.9
10/26/15 12:00:00 PM;79.2
10/26/15 1:00:00 PM;77.0
10/26/15 2:00:00 PM;88.2
10/26/15 3:00:00 PM;87.4
10/26/15 4:00:00 PM;73.6
10/26/15 5:00:00 PM;65.8
10/26/15 6:00:00 PM;40.8
10/26/15 7:00:00 PM;41.8
10/26/15 8:00:00 PM;38.1
10/26/15 9:00:00 PM;40.9
10/26/15 10:00:00 PM;41.2
10/26/15 11:00:00 PM;38.7
10/27/15 12:00:00 AM;34.7
10/27/15 1:00:00 AM;27.8
10/27/15 2:00:00 AM;24.7
10/27/15 3:00:00 AM;26.2
10/27/15 4:00:00 AM;27.1
10/27/15 5:00:00 AM;26.1
10/27/15 6:00:00 AM;41.6
10/27/15 7:00:00 AM;57.1
10/27/15 8:00:00 AM;77.6
10/27/15 9:00:00 AM;98.0
10/27/15 10:00:00 AM;88.5
10/27/15 11:00:00 AM;86.4
10/27/15 12:00:00 PM;80.2
10/27/15 1:00:00 PM;92.9
10/27/15 2:00:00 PM;92.1
10/27/15 3:00:00 PM;79.6
10/27/15 4:00:00 PM;69.0
10/27/15 5:00:00 PM;59.8
10/27/15 6:00:00 PM;40.0
10/27/15 7:00:00 PM;43.6
10/27/15 8:00:00 PM;43.0
10/27/15 9:00:00 PM;37.9
10/27/15 10:00:00 PM;34.4
10/27/15 11:00:00 PM;29.9
10/28/15 12:00:00 AM;26.9
10/28/15 1:00:00 AM;24.0
10/28/15 2:00:00 AM;22.5
10/28/15 3:00:00 AM;26.1
10/28/15 4:00:00 AM;25.9
10/28/15 5:00:00 AM;25.9
10/28/15 6:00:00 AM;41.9
10/28/15 7:00:00 AM;58.2
10/28/15 8:00:00 AM;66.1
10/28/15 9:00:00 AM;71.0
10/28/15 10:00:00 AM;75.5
10/28/15 11:00:00 AM;75.8
10/28/15 12:00:00 PM;76.0
10/28/15 1:00:00 PM;74.3
10/28/15 2:00:00 PM;72.7
10/28/15 3:00:00 PM;73.5
10/28/15 4:00:00 PM;74.0
10/28/15 5:00:00 PM;68.8
10/28/15 6:00:00 PM;47.7
10/28/15 7:00:00 PM;40.2
10/28/15 8:00:00 PM;35.7
10/28/15 9:00:00 PM;37.6
10/28/15 10:00:00 PM;38.9
10/28/15 11:00:00 PM;28.8
10/29/15 12:00:00 AM;28.9
10/29/15 1:00:00 AM;29.0
10/29/15 2:00:00 AM;28.0
10/29/15 3:00:00 AM;30.8
10/29/15 4:00:00 AM;30.3
10/29/15 5:00:00 AM;30.8
10/29/15 6:00:00 AM;50.2
10/29/15 7:00:00 AM;60.7
10/29/15 8:00:00 AM;68.1
10/29/15 9:00:00 AM;73.6
10/29/15 10:00:00 AM;73.0
10/29/15 11:00:00 AM;74.1
10/29/15 12:00:00 PM;77.5
10/29/15 1:00:00 PM;100.2
10/29/15 2:00:00 PM;97.9
10/29/15 3:00:00 PM;86.0
10/29/15 4:00:00 PM;71.5
10/29/15 5:00:00 PM;62.3
10/29/15 6:00:00 PM;41.8
10/29/15 7:00:00 PM;39.4
10/29/15 8:00:00 PM;47.8
10/29/15 9:00:00 PM;43.4
10/29/15 10:00:00 PM;36.9
10/29/15 11:00:00 PM;38.1
10/30/15 12:00:00 AM;33.3
10/30/15 1:00:00 AM;30.3
10/30/15 2:00:00 AM;29.8
10/30/15 3:00:00 AM;31.0
10/30/15 4:00:00 AM;30.3
10/30/15 5:00:00 AM;29.7
10/30/15 6:00:00 AM;44.0
10/30/15 7:00:00 AM;79.9
10/30/15 8:00:00 AM;76.1
10/30/15 9:00:00 AM;85.4
10/30/15 10:00:00 AM;88.9
10/30/15 11:00:00 AM;85.3
10/30/15 12:00:00 PM;85.5
10/30/15 1:00:00 PM;79.7
10/30/15 2:00:00 PM;81.5
10/30/15 3:00:00 PM;81.7
10/30/15 4:00:00 PM;77.9
10/30/15 5:00:00 PM;68.1
10/30/15 6:00:00 PM;44.5
10/30/15 7:00:00 PM;40.4
10/30/15 8:00:00 PM;42.9
10/30/15 9:00:00 PM;41.4
10/30/15 10:00:00 PM;36.9
10/30/15 11:00:00 PM;32.8
10/31/15 12:00:00 AM;31.7
10/31/15 1:00:00 AM;30.5
10/31/15 2:00:00 AM;27.6
10/31/15 3:00:00 AM;30.6
10/31/15 4:00:00 AM;29.7
10/31/15 5:00:00 AM;29.0
10/31/15 6:00:00 AM;29.7
10/31/15 7:00:00 AM;34.7
10/31/15 8:00:00 AM;43.7
10/31/15 9:00:00 AM;46.7
10/31/15 10:00:00 AM;41.2
10/31/15 11:00:00 AM;41.7
10/31/15 12:00:00 PM;49.4
10/31/15 1:00:00 PM;47.0
10/31/15 2:00:00 PM;47.5
10/31/15 3:00:00 PM;42.0
10/31/15 4:00:00 PM;48.2
10/31/15 5:00:00 PM;43.6
10/31/15 6:00:00 PM;38.5
10/31/15 7:00:00 PM;44.2
10/31/15 8:00:00 PM;45.4
10/31/15 9:00:00 PM;40.7
10/31/15 10:00:00 PM;37.3
10/31/15 11:00:00 PM;37.2
11/1/15 12:00:00 AM;34.9
11/1/15 1:00:00 AM;30.1
11/1/15 2:00:00 AM;28.4
11/1/15 3:00:00 AM;30.7
11/1/15 4:00:00 AM;29.9
11/1/15 5:00:00 AM;29.3
11/1/15 6:00:00 AM;29.8
11/1/15 7:00:00 AM;32.0
11/1/15 8:00:00 AM;34.1
11/1/15 9:00:00 AM;37.9
