Year 2008
Date/time;DD015 (Civil Engineering)-Mains.Active energy (510796.8 kWh)
2/23/08 11:00:00 AM;30.2
2/23/08 12:00:00 PM;100.7
2/23/08 1:00:00 PM;102.9
2/23/08 2:00:00 PM;102.6
2/23/08 3:00:00 PM;101.9
2/23/08 4:00:00 PM;100.6
2/23/08 5:00:00 PM;97.4
2/23/08 6:00:00 PM;93.7
2/23/08 7:00:00 PM;90.2
2/23/08 8:00:00 PM;85.1
2/23/08 9:00:00 PM;86.2
2/23/08 10:00:00 PM;99.3
2/23/08 11:00:00 PM;104.2
2/24/08 12:00:00 AM;100.8
2/24/08 1:00:00 AM;101.1
2/24/08 2:00:00 AM;88.0
2/24/08 3:00:00 AM;86.2
2/24/08 4:00:00 AM;83.5
2/24/08 5:00:00 AM;75.5
2/24/08 6:00:00 AM;34.8
2/24/08 7:00:00 AM;39.3
2/24/08 8:00:00 AM;48.7
2/24/08 9:00:00 AM;53.9
2/24/08 10:00:00 AM;59.0
2/24/08 11:00:00 AM;65.9
2/24/08 12:00:00 PM;105.4
2/24/08 1:00:00 PM;106.8
2/24/08 2:00:00 PM;106.6
2/24/08 3:00:00 PM;107.6
2/24/08 4:00:00 PM;107.9
2/24/08 5:00:00 PM;104.2
2/24/08 6:00:00 PM;96.6
2/24/08 7:00:00 PM;92.0
2/24/08 8:00:00 PM;85.2
2/24/08 9:00:00 PM;80.1
2/24/08 10:00:00 PM;70.6
2/24/08 11:00:00 PM;67.5
2/25/08 12:00:00 AM;65.3
2/25/08 1:00:00 AM;66.2
2/25/08 2:00:00 AM;66.5
2/25/08 3:00:00 AM;66.6
2/25/08 4:00:00 AM;64.3
2/25/08 5:00:00 AM;60.6
2/25/08 6:00:00 AM;86.1
2/25/08 7:00:00 AM;88.4
2/25/08 8:00:00 AM;100.0
2/25/08 9:00:00 AM;110.8
2/25/08 10:00:00 AM;119.3
2/25/08 11:00:00 AM;116.0
2/25/08 12:00:00 PM;131.0
2/25/08 1:00:00 PM;133.2
2/25/08 2:00:00 PM;125.4
2/25/08 3:00:00 PM;122.4
2/25/08 4:00:00 PM;114.5
2/25/08 5:00:00 PM;101.6
2/25/08 6:00:00 PM;58.9
2/25/08 7:00:00 PM;53.9
2/25/08 8:00:00 PM;45.7
2/25/08 9:00:00 PM;47.8
2/25/08 10:00:00 PM;48.3
2/25/08 11:00:00 PM;108.3
2/26/08 12:00:00 AM;102.1
2/26/08 1:00:00 AM;95.2
2/26/08 2:00:00 AM;95.7
2/26/08 3:00:00 AM;93.9
2/26/08 4:00:00 AM;94.1
2/26/08 5:00:00 AM;85.2
2/26/08 6:00:00 AM;87.5
2/26/08 7:00:00 AM;86.3
2/26/08 8:00:00 AM;95.9
2/26/08 9:00:00 AM;102.8
2/26/08 10:00:00 AM;102.5
2/26/08 11:00:00 AM;102.1
2/26/08 12:00:00 PM;101.1
2/26/08 1:00:00 PM;94.7
2/26/08 2:00:00 PM;101.9
2/26/08 3:00:00 PM;104.3
2/26/08 4:00:00 PM;95.7
2/26/08 5:00:00 PM;83.4
2/26/08 6:00:00 PM;51.6
2/26/08 7:00:00 PM;53.6
2/26/08 8:00:00 PM;43.6
2/26/08 9:00:00 PM;46.6
2/26/08 10:00:00 PM;62.8
2/26/08 11:00:00 PM;106.9
2/27/08 12:00:00 AM;95.6
2/27/08 1:00:00 AM;93.1
2/27/08 2:00:00 AM;93.5
2/27/08 3:00:00 AM;93.1
2/27/08 4:00:00 AM;92.6
2/27/08 5:00:00 AM;83.1
2/27/08 6:00:00 AM;83.4
2/27/08 7:00:00 AM;80.5
2/27/08 8:00:00 AM;100.5
2/27/08 9:00:00 AM;102.1
2/27/08 10:00:00 AM;102.2
2/27/08 11:00:00 AM;116.2
2/27/08 12:00:00 PM;118.5
2/27/08 1:00:00 PM;102.8
2/27/08 2:00:00 PM;107.3
2/27/08 3:00:00 PM;112.1
2/27/08 4:00:00 PM;106.3
2/27/08 5:00:00 PM;94.5
2/27/08 6:00:00 PM;63.5
2/27/08 7:00:00 PM;63.3
2/27/08 8:00:00 PM;63.1
2/27/08 9:00:00 PM;66.8
2/27/08 10:00:00 PM;61.3
2/27/08 11:00:00 PM;108.5
2/28/08 12:00:00 AM;98.7
2/28/08 1:00:00 AM;91.3
2/28/08 2:00:00 AM;92.8
2/28/08 3:00:00 AM;92.2
2/28/08 4:00:00 AM;93.8
2/28/08 5:00:00 AM;85.5
2/28/08 6:00:00 AM;81.7
2/28/08 7:00:00 AM;80.2
2/28/08 8:00:00 AM;87.1
2/28/08 9:00:00 AM;105.4
2/28/08 10:00:00 AM;108.2
2/28/08 11:00:00 AM;113.2
2/28/08 12:00:00 PM;88.9
2/28/08 1:00:00 PM;109.2
2/28/08 2:00:00 PM;125.0
2/28/08 3:00:00 PM;112.6
2/28/08 4:00:00 PM;106.9
2/28/08 5:00:00 PM;97.2
2/28/08 6:00:00 PM;69.7
2/28/08 7:00:00 PM;64.2
2/28/08 8:00:00 PM;67.0
2/28/08 9:00:00 PM;63.6
2/28/08 10:00:00 PM;62.1
2/28/08 11:00:00 PM;109.2
2/29/08 12:00:00 AM;101.1
2/29/08 1:00:00 AM;92.2
2/29/08 2:00:00 AM;93.8
2/29/08 3:00:00 AM;95.0
2/29/08 4:00:00 AM;93.3
2/29/08 5:00:00 AM;86.0
2/29/08 6:00:00 AM;83.3
2/29/08 7:00:00 AM;82.3
2/29/08 8:00:00 AM;92.4
2/29/08 9:00:00 AM;85.8
2/29/08 10:00:00 AM;109.1
2/29/08 11:00:00 AM;118.0
2/29/08 12:00:00 PM;122.8
2/29/08 1:00:00 PM;88.9
2/29/08 2:00:00 PM;116.0
2/29/08 3:00:00 PM;133.2
2/29/08 4:00:00 PM;119.5
2/29/08 5:00:00 PM;110.9
2/29/08 6:00:00 PM;67.3
2/29/08 7:00:00 PM;64.3
2/29/08 8:00:00 PM;61.2
2/29/08 9:00:00 PM;61.2
2/29/08 10:00:00 PM;59.1
2/29/08 11:00:00 PM;108.6
3/1/08 12:00:00 AM;109.7
3/1/08 1:00:00 AM;92.4
3/1/08 2:00:00 AM;91.8
3/1/08 3:00:00 AM;90.7
3/1/08 4:00:00 AM;89.9
3/1/08 5:00:00 AM;82.4
3/1/08 6:00:00 AM;38.9
3/1/08 7:00:00 AM;38.7
3/1/08 8:00:00 AM;37.1
3/1/08 9:00:00 AM;38.5
3/1/08 10:00:00 AM;40.5
3/1/08 11:00:00 AM;47.1
3/1/08 12:00:00 PM;32.3
3/1/08 1:00:00 PM;88.1
3/1/08 2:00:00 PM;107.1
3/1/08 3:00:00 PM;112.1
3/1/08 4:00:00 PM;110.8
3/1/08 5:00:00 PM;107.6
3/1/08 6:00:00 PM;107.5
3/1/08 7:00:00 PM;103.1
3/1/08 8:00:00 PM;91.4
3/1/08 9:00:00 PM;95.1
3/1/08 10:00:00 PM;91.4
3/1/08 11:00:00 PM;89.9
3/2/08 12:00:00 AM;87.6
3/2/08 1:00:00 AM;88.0
3/2/08 2:00:00 AM;87.5
3/2/08 3:00:00 AM;88.1
3/2/08 4:00:00 AM;85.4
3/2/08 5:00:00 AM;77.3
3/2/08 6:00:00 AM;38.1
3/2/08 7:00:00 AM;37.6
3/2/08 8:00:00 AM;39.6
3/2/08 9:00:00 AM;44.1
3/2/08 10:00:00 AM;55.3
3/2/08 11:00:00 AM;71.8
3/2/08 12:00:00 PM;108.9
3/2/08 1:00:00 PM;100.1
3/2/08 2:00:00 PM;105.2
3/2/08 3:00:00 PM;111.5
3/2/08 4:00:00 PM;100.2
3/2/08 5:00:00 PM;97.3
3/2/08 6:00:00 PM;90.9
3/2/08 7:00:00 PM;87.6
3/2/08 8:00:00 PM;79.1
3/2/08 9:00:00 PM;73.7
3/2/08 10:00:00 PM;88.7
3/2/08 11:00:00 PM;75.6
3/3/08 12:00:00 AM;64.8
3/3/08 1:00:00 AM;63.6
3/3/08 2:00:00 AM;62.2
3/3/08 3:00:00 AM;61.9
3/3/08 4:00:00 AM;60.1
3/3/08 5:00:00 AM;56.3
3/3/08 6:00:00 AM;68.8
3/3/08 7:00:00 AM;70.2
3/3/08 8:00:00 AM;74.9
3/3/08 9:00:00 AM;83.3
3/3/08 10:00:00 AM;96.0
3/3/08 11:00:00 AM;96.2
3/3/08 12:00:00 PM;100.4
3/3/08 1:00:00 PM;96.7
3/3/08 2:00:00 PM;97.2
3/3/08 3:00:00 PM;100.6
3/3/08 4:00:00 PM;88.8
3/3/08 5:00:00 PM;81.1
3/3/08 6:00:00 PM;47.5
3/3/08 7:00:00 PM;47.1
3/3/08 8:00:00 PM;49.1
3/3/08 9:00:00 PM;50.6
3/3/08 10:00:00 PM;42.0
3/3/08 11:00:00 PM;87.8
3/4/08 12:00:00 AM;88.1
3/4/08 1:00:00 AM;88.3
3/4/08 2:00:00 AM;88.4
3/4/08 3:00:00 AM;89.2
3/4/08 4:00:00 AM;87.7
3/4/08 5:00:00 AM;81.0
3/4/08 6:00:00 AM;71.9
3/4/08 7:00:00 AM;70.6
3/4/08 8:00:00 AM;84.0
3/4/08 9:00:00 AM;95.6
3/4/08 10:00:00 AM;96.1
3/4/08 11:00:00 AM;108.3
3/4/08 12:00:00 PM;104.5
3/4/08 1:00:00 PM;110.7
3/4/08 2:00:00 PM;105.2
3/4/08 3:00:00 PM;100.4
3/4/08 4:00:00 PM;90.2
3/4/08 5:00:00 PM;86.2
3/4/08 6:00:00 PM;45.6
3/4/08 7:00:00 PM;43.6
3/4/08 8:00:00 PM;51.4
3/4/08 9:00:00 PM;44.8
3/4/08 10:00:00 PM;37.9
3/4/08 11:00:00 PM;92.2
3/5/08 12:00:00 AM;87.7
3/5/08 1:00:00 AM;91.9
3/5/08 2:00:00 AM;88.7
3/5/08 3:00:00 AM;87.5
3/5/08 4:00:00 AM;86.8
3/5/08 5:00:00 AM;80.6
3/5/08 6:00:00 AM;72.0
3/5/08 7:00:00 AM;71.3
3/5/08 8:00:00 AM;84.2
3/5/08 9:00:00 AM;98.5
3/5/08 10:00:00 AM;100.7
3/5/08 11:00:00 AM;111.3
3/5/08 12:00:00 PM;106.0
3/5/08 1:00:00 PM;106.4
3/5/08 2:00:00 PM;98.3
3/5/08 3:00:00 PM;104.9
3/5/08 4:00:00 PM;101.4
3/5/08 5:00:00 PM;88.3
3/5/08 6:00:00 PM;54.8
3/5/08 7:00:00 PM;57.4
3/5/08 8:00:00 PM;57.5
3/5/08 9:00:00 PM;49.4
3/5/08 10:00:00 PM;46.4
3/5/08 11:00:00 PM;98.3
3/6/08 12:00:00 AM;85.1
3/6/08 1:00:00 AM;85.8
3/6/08 2:00:00 AM;88.3
3/6/08 3:00:00 AM;87.6
3/6/08 4:00:00 AM;87.4
3/6/08 5:00:00 AM;79.2
3/6/08 6:00:00 AM;74.9
3/6/08 7:00:00 AM;71.9
3/6/08 8:00:00 AM;93.7
3/6/08 9:00:00 AM;99.9
