Year 2008
Date/time;DB025 (Nursing Science)-Mains.Active energy (506241.8 kWh)
2/16/08 9:00:00 AM;37.9
2/16/08 10:00:00 AM;97.1
2/16/08 11:00:00 AM;99.4
2/16/08 12:00:00 PM;64.8
2/16/08 1:00:00 PM;88.8
2/16/08 2:00:00 PM;87.1
2/16/08 3:00:00 PM;85.3
2/16/08 4:00:00 PM;78.7
2/16/08 5:00:00 PM;62.7
2/16/08 6:00:00 PM;60.6
2/16/08 7:00:00 PM;56.7
2/16/08 8:00:00 PM;55.8
2/16/08 9:00:00 PM;56.9
2/16/08 10:00:00 PM;55.4
2/16/08 11:00:00 PM;56.1
2/17/08 12:00:00 AM;59.5
2/17/08 1:00:00 AM;58.1
2/17/08 2:00:00 AM;58.6
2/17/08 3:00:00 AM;59.6
2/17/08 4:00:00 AM;57.4
2/17/08 5:00:00 AM;59.2
2/17/08 6:00:00 AM;59.6
2/17/08 7:00:00 AM;57.6
2/17/08 8:00:00 AM;59.4
2/17/08 9:00:00 AM;58.2
2/17/08 10:00:00 AM;61.4
2/17/08 11:00:00 AM;64.3
2/17/08 12:00:00 PM;64.5
2/17/08 1:00:00 PM;96.4
2/17/08 2:00:00 PM;91.4
2/17/08 3:00:00 PM;67.6
2/17/08 4:00:00 PM;63.5
2/17/08 5:00:00 PM;59.0
2/17/08 6:00:00 PM;58.3
2/17/08 7:00:00 PM;56.5
2/17/08 8:00:00 PM;56.2
2/17/08 9:00:00 PM;59.0
2/17/08 10:00:00 PM;57.1
2/17/08 11:00:00 PM;55.9
2/18/08 12:00:00 AM;59.3
2/18/08 1:00:00 AM;54.7
2/18/08 2:00:00 AM;55.1
2/18/08 3:00:00 AM;56.4
2/18/08 4:00:00 AM;54.5
2/18/08 5:00:00 AM;55.3
2/18/08 6:00:00 AM;73.7
2/18/08 7:00:00 AM;122.8
2/18/08 8:00:00 AM;124.9
2/18/08 9:00:00 AM;78.1
2/18/08 10:00:00 AM;54.6
2/18/08 11:00:00 AM;62.7
2/18/08 12:00:00 PM;60.2
2/18/08 1:00:00 PM;68.4
2/18/08 2:00:00 PM;91.9
2/18/08 3:00:00 PM;84.9
2/18/08 4:00:00 PM;88.0
2/18/08 5:00:00 PM;84.8
2/18/08 6:00:00 PM;112.6
2/18/08 7:00:00 PM;117.4
2/18/08 8:00:00 PM;107.2
2/18/08 9:00:00 PM;94.4
2/18/08 10:00:00 PM;20.8
2/18/08 11:00:00 PM;79.5
2/19/08 12:00:00 AM;85.5
2/19/08 1:00:00 AM;80.9
2/19/08 2:00:00 AM;75.8
2/19/08 3:00:00 AM;75.2
2/19/08 4:00:00 AM;9.5
2/19/08 9:00:00 AM;319.1
2/19/08 10:00:00 AM;58.1
2/19/08 11:00:00 AM;98.3
2/19/08 12:00:00 PM;103.7
2/19/08 1:00:00 PM;125.3
2/19/08 2:00:00 PM;120.8
2/19/08 3:00:00 PM;130.3
2/19/08 4:00:00 PM;131.5
2/19/08 5:00:00 PM;12.6
2/20/08 3:00:00 PM;1942.1
2/21/08 6:00:00 AM;1281.1
2/21/08 7:00:00 AM;61.6
2/21/08 8:00:00 AM;60.5
2/21/08 9:00:00 AM;15.1
2/21/08 10:00:00 AM;113.1
2/21/08 1:00:00 PM;371.5
2/21/08 2:00:00 PM;114.0
2/21/08 3:00:00 PM;125.5
2/21/08 4:00:00 PM;120.6
2/21/08 5:00:00 PM;110.4
2/21/08 6:00:00 PM;116.4
2/21/08 7:00:00 PM;117.8
