Year 2009
Date/time;DA004 (Behavioural Science)-Mains.Active energy (751334.5 kWh)
1/1/09 12:00:00 AM;100.2
1/1/09 1:00:00 AM;100.1
1/1/09 2:00:00 AM;100.0
1/1/09 3:00:00 AM;100.0
1/1/09 4:00:00 AM;92.6
1/1/09 5:00:00 AM;88.3
1/1/09 6:00:00 AM;95.0
1/1/09 7:00:00 AM;101.0
1/1/09 8:00:00 AM;112.7
1/1/09 9:00:00 AM;114.6
1/1/09 10:00:00 AM;43.9
1/1/09 11:00:00 AM;40.7
1/1/09 12:00:00 PM;110.0
1/1/09 1:00:00 PM;155.1
1/1/09 2:00:00 PM;154.8
1/1/09 3:00:00 PM;153.6
1/1/09 4:00:00 PM;152.7
1/1/09 5:00:00 PM;153.4
1/1/09 6:00:00 PM;139.9
1/1/09 7:00:00 PM;134.4
1/1/09 8:00:00 PM;108.8
1/1/09 9:00:00 PM;100.1
1/1/09 10:00:00 PM;99.4
1/1/09 11:00:00 PM;98.4
1/2/09 12:00:00 AM;98.6
1/2/09 1:00:00 AM;98.4
1/2/09 2:00:00 AM;97.9
1/2/09 3:00:00 AM;91.9
1/2/09 4:00:00 AM;87.7
1/2/09 5:00:00 AM;86.4
1/2/09 6:00:00 AM;93.5
1/2/09 7:00:00 AM;99.7
1/2/09 8:00:00 AM;110.7
1/2/09 9:00:00 AM;125.5
1/2/09 10:00:00 AM;59.9
1/2/09 11:00:00 AM;64.0
1/2/09 12:00:00 PM;72.8
1/2/09 1:00:00 PM;176.6
1/2/09 2:00:00 PM;180.0
1/2/09 3:00:00 PM;180.9
1/2/09 4:00:00 PM;181.2
1/2/09 5:00:00 PM;175.8
1/2/09 6:00:00 PM;33.7
1/2/09 7:00:00 PM;29.5
1/2/09 8:00:00 PM;28.4
1/2/09 9:00:00 PM;28.4
1/2/09 10:00:00 PM;28.4
1/2/09 11:00:00 PM;122.1
1/3/09 12:00:00 AM;134.3
1/3/09 1:00:00 AM;123.7
1/3/09 2:00:00 AM;101.0
1/3/09 3:00:00 AM;99.8
1/3/09 4:00:00 AM;99.4
1/3/09 5:00:00 AM;98.9
1/3/09 6:00:00 AM;96.2
1/3/09 7:00:00 AM;95.4
1/3/09 8:00:00 AM;110.7
1/3/09 9:00:00 AM;114.8
1/3/09 10:00:00 AM;112.2
1/3/09 11:00:00 AM;110.1
1/3/09 12:00:00 PM;114.3
1/3/09 1:00:00 PM;111.7
1/3/09 2:00:00 PM;114.5
1/3/09 3:00:00 PM;104.5
1/3/09 4:00:00 PM;100.5
1/3/09 5:00:00 PM;101.0
