Year 2009
Date/time;DD014 (Electrical Engineering)-Mains.Active energy (494819.6 kWh)
1/1/09 12:00:00 AM;30.8
1/1/09 1:00:00 AM;30.6
1/1/09 2:00:00 AM;29.6
1/1/09 3:00:00 AM;30.4
1/1/09 4:00:00 AM;30.7
1/1/09 5:00:00 AM;31.2
1/1/09 6:00:00 AM;30.4
1/1/09 7:00:00 AM;29.7
1/1/09 8:00:00 AM;30.6
1/1/09 9:00:00 AM;30.4
1/1/09 10:00:00 AM;30.3
1/1/09 11:00:00 AM;31.1
1/1/09 12:00:00 PM;31.3
1/1/09 1:00:00 PM;31.4
1/1/09 2:00:00 PM;31.3
1/1/09 3:00:00 PM;31.2
1/1/09 4:00:00 PM;31.3
1/1/09 5:00:00 PM;30.3
1/1/09 6:00:00 PM;31.1
1/1/09 7:00:00 PM;31.2
1/1/09 8:00:00 PM;31.2
1/1/09 9:00:00 PM;31.1
1/1/09 10:00:00 PM;30.2
1/1/09 11:00:00 PM;30.6
1/2/09 12:00:00 AM;31.1
1/2/09 1:00:00 AM;31.0
1/2/09 2:00:00 AM;30.4
1/2/09 3:00:00 AM;30.4
1/2/09 4:00:00 AM;31.8
1/2/09 5:00:00 AM;31.0
1/2/09 6:00:00 AM;31.4
1/2/09 7:00:00 AM;29.0
1/2/09 8:00:00 AM;29.9
1/2/09 9:00:00 AM;30.8
1/2/09 10:00:00 AM;30.7
1/2/09 11:00:00 AM;32.3
1/2/09 12:00:00 PM;31.5
1/2/09 1:00:00 PM;31.7
1/2/09 2:00:00 PM;31.8
1/2/09 3:00:00 PM;32.4
1/2/09 4:00:00 PM;31.0
1/2/09 5:00:00 PM;32.2
1/2/09 6:00:00 PM;31.6
1/2/09 7:00:00 PM;30.9
1/2/09 8:00:00 PM;30.9
1/2/09 9:00:00 PM;31.3
1/2/09 10:00:00 PM;30.8
1/2/09 11:00:00 PM;30.6
1/3/09 12:00:00 AM;30.9
1/3/09 1:00:00 AM;31.2
1/3/09 2:00:00 AM;31.0
1/3/09 3:00:00 AM;31.6
1/3/09 4:00:00 AM;30.8
1/3/09 5:00:00 AM;31.3
1/3/09 6:00:00 AM;29.3
1/3/09 7:00:00 AM;29.0
1/3/09 8:00:00 AM;30.0
1/3/09 9:00:00 AM;30.9
1/3/09 10:00:00 AM;30.1
1/3/09 11:00:00 AM;30.8
1/3/09 12:00:00 PM;32.5
1/3/09 1:00:00 PM;31.3
1/3/09 2:00:00 PM;30.8
1/3/09 3:00:00 PM;31.7
1/3/09 4:00:00 PM;32.2
1/3/09 5:00:00 PM;31.1
1/3/09 6:00:00 PM;31.0
1/3/09 7:00:00 PM;31.0
1/3/09 8:00:00 PM;31.5
1/3/09 9:00:00 PM;32.3
1/3/09 10:00:00 PM;31.2
1/3/09 11:00:00 PM;31.1
1/4/09 12:00:00 AM;30.8
1/4/09 1:00:00 AM;30.7
1/4/09 2:00:00 AM;30.8
1/4/09 3:00:00 AM;31.8
1/4/09 4:00:00 AM;31.1
1/4/09 5:00:00 AM;31.7
1/4/09 6:00:00 AM;30.9
1/4/09 7:00:00 AM;30.3
1/4/09 8:00:00 AM;30.3
1/4/09 9:00:00 AM;30.0
1/4/09 10:00:00 AM;29.8
1/4/09 11:00:00 AM;29.9
1/4/09 12:00:00 PM;30.5
1/4/09 1:00:00 PM;31.2
1/4/09 2:00:00 PM;30.2
1/4/09 3:00:00 PM;30.3
1/4/09 4:00:00 PM;6.3
1/5/09 8:00:00 AM;530.6
1/5/09 9:00:00 AM;39.9
1/5/09 10:00:00 AM;45.8
1/5/09 11:00:00 AM;46.6
1/5/09 12:00:00 PM;46.5
1/5/09 1:00:00 PM;46.2
1/5/09 2:00:00 PM;46.0
1/5/09 3:00:00 PM;104.9
1/5/09 4:00:00 PM;156.5
1/5/09 5:00:00 PM;127.4
1/5/09 6:00:00 PM;109.1
1/5/09 7:00:00 PM;106.4
1/5/09 8:00:00 PM;104.9
1/5/09 9:00:00 PM;102.4
1/5/09 10:00:00 PM;99.9
1/5/09 11:00:00 PM;98.6
1/6/09 12:00:00 AM;97.4
1/6/09 1:00:00 AM;95.5
1/6/09 2:00:00 AM;93.6
1/6/09 3:00:00 AM;92.0
1/6/09 4:00:00 AM;91.3
1/6/09 5:00:00 AM;89.8
1/6/09 6:00:00 AM;92.6
1/6/09 7:00:00 AM;98.0
1/6/09 8:00:00 AM;84.0
1/6/09 9:00:00 AM;88.3
1/6/09 10:00:00 AM;103.8
1/6/09 11:00:00 AM;109.0
1/6/09 12:00:00 PM;112.2
1/6/09 1:00:00 PM;110.2
1/6/09 2:00:00 PM;108.9
1/6/09 3:00:00 PM;106.5
1/6/09 4:00:00 PM;104.2
1/6/09 5:00:00 PM;101.3
1/6/09 6:00:00 PM;99.8
1/6/09 7:00:00 PM;96.5
1/6/09 8:00:00 PM;95.4
1/6/09 9:00:00 PM;95.3
1/6/09 10:00:00 PM;92.4
1/6/09 11:00:00 PM;90.7
1/7/09 12:00:00 AM;89.6
1/7/09 1:00:00 AM;90.4
1/7/09 2:00:00 AM;87.4
1/7/09 3:00:00 AM;86.2
1/7/09 4:00:00 AM;85.1
1/7/09 5:00:00 AM;83.5
1/7/09 6:00:00 AM;87.2
1/7/09 7:00:00 AM;90.7
1/7/09 8:00:00 AM;93.1
1/7/09 9:00:00 AM;97.9
1/7/09 10:00:00 AM;106.0
1/7/09 11:00:00 AM;105.5
1/7/09 12:00:00 PM;108.4
1/7/09 1:00:00 PM;111.3
1/7/09 2:00:00 PM;112.8
1/7/09 3:00:00 PM;112.6
1/7/09 4:00:00 PM;108.8
1/7/09 5:00:00 PM;105.3
1/7/09 6:00:00 PM;96.4
1/7/09 7:00:00 PM;86.8
1/7/09 8:00:00 PM;86.5
1/7/09 9:00:00 PM;84.6
1/7/09 10:00:00 PM;81.6
1/7/09 11:00:00 PM;80.4
1/8/09 12:00:00 AM;79.0
1/8/09 1:00:00 AM;78.0
1/8/09 2:00:00 AM;76.3
1/8/09 3:00:00 AM;75.5
1/8/09 4:00:00 AM;74.9
1/8/09 5:00:00 AM;75.2
1/8/09 6:00:00 AM;76.8
1/8/09 7:00:00 AM;83.0
1/8/09 8:00:00 AM;86.3
1/8/09 9:00:00 AM;87.3
1/8/09 10:00:00 AM;90.2
1/8/09 11:00:00 AM;95.6
1/8/09 12:00:00 PM;99.6
1/8/09 1:00:00 PM;100.9
1/8/09 2:00:00 PM;101.8
1/8/09 3:00:00 PM;109.2
1/8/09 4:00:00 PM;99.8
1/8/09 5:00:00 PM;89.4
1/8/09 6:00:00 PM;89.7
1/8/09 7:00:00 PM;85.4
1/8/09 8:00:00 PM;80.4
1/8/09 9:00:00 PM;76.0
1/8/09 10:00:00 PM;73.0
1/8/09 11:00:00 PM;75.2
1/9/09 12:00:00 AM;74.3
1/9/09 1:00:00 AM;72.8
1/9/09 2:00:00 AM;72.2
1/9/09 3:00:00 AM;72.1
1/9/09 4:00:00 AM;72.0
1/9/09 5:00:00 AM;72.4
1/9/09 6:00:00 AM;76.7
1/9/09 7:00:00 AM;77.2
1/9/09 8:00:00 AM;77.9
1/9/09 9:00:00 AM;81.5
1/9/09 10:00:00 AM;87.6
1/9/09 11:00:00 AM;92.7
1/9/09 12:00:00 PM;94.0
1/9/09 1:00:00 PM;91.4
1/9/09 2:00:00 PM;91.0
1/9/09 3:00:00 PM;92.0
1/9/09 4:00:00 PM;90.8
1/9/09 5:00:00 PM;83.1
1/9/09 6:00:00 PM;80.0
1/9/09 7:00:00 PM;78.7
1/9/09 8:00:00 PM;77.8
1/9/09 9:00:00 PM;78.2
1/9/09 10:00:00 PM;77.0
1/9/09 11:00:00 PM;76.3
1/10/09 12:00:00 AM;75.5
1/10/09 1:00:00 AM;75.5
1/10/09 2:00:00 AM;74.9
1/10/09 3:00:00 AM;73.9
1/10/09 4:00:00 AM;73.2
1/10/09 5:00:00 AM;67.8
1/10/09 6:00:00 AM;33.8
1/10/09 7:00:00 AM;37.1
1/10/09 8:00:00 AM;37.2
1/10/09 9:00:00 AM;37.3
1/10/09 10:00:00 AM;39.5
1/10/09 11:00:00 AM;39.7
1/10/09 12:00:00 PM;39.9
1/10/09 1:00:00 PM;42.5
1/10/09 2:00:00 PM;40.9
1/10/09 3:00:00 PM;41.5
1/10/09 4:00:00 PM;39.7
1/10/09 5:00:00 PM;39.5
1/10/09 6:00:00 PM;39.9
1/10/09 7:00:00 PM;38.6
1/10/09 8:00:00 PM;40.6
1/10/09 9:00:00 PM;38.8
1/10/09 10:00:00 PM;38.7
1/10/09 11:00:00 PM;37.7
1/11/09 12:00:00 AM;37.9
1/11/09 1:00:00 AM;37.2
1/11/09 2:00:00 AM;38.0
1/11/09 3:00:00 AM;38.6
1/11/09 4:00:00 AM;38.2
1/11/09 5:00:00 AM;37.6
1/11/09 6:00:00 AM;37.6
1/11/09 7:00:00 AM;37.7
1/11/09 8:00:00 AM;37.2
1/11/09 9:00:00 AM;38.9
1/11/09 10:00:00 AM;39.5
1/11/09 11:00:00 AM;41.1
1/11/09 12:00:00 PM;41.5
1/11/09 1:00:00 PM;41.0
1/11/09 2:00:00 PM;41.5
1/11/09 3:00:00 PM;41.5
1/11/09 4:00:00 PM;41.6
1/11/09 5:00:00 PM;40.6
1/11/09 6:00:00 PM;40.8
1/11/09 7:00:00 PM;39.4
1/11/09 8:00:00 PM;40.1
1/11/09 9:00:00 PM;40.0
1/11/09 10:00:00 PM;40.4
1/11/09 11:00:00 PM;38.7
1/12/09 12:00:00 AM;39.0
1/12/09 1:00:00 AM;39.5
1/12/09 2:00:00 AM;40.3
1/12/09 3:00:00 AM;40.2
1/12/09 4:00:00 AM;40.3
1/12/09 5:00:00 AM;39.3
1/12/09 6:00:00 AM;39.6
1/12/09 7:00:00 AM;41.4
1/12/09 8:00:00 AM;43.2
1/12/09 9:00:00 AM;45.6
1/12/09 10:00:00 AM;46.6
1/12/09 11:00:00 AM;46.4
1/12/09 12:00:00 PM;46.1
1/12/09 1:00:00 PM;46.7
1/12/09 2:00:00 PM;49.5
1/12/09 3:00:00 PM;47.7
1/12/09 4:00:00 PM;104.1
1/12/09 5:00:00 PM;99.6
