Year 2010
Date/time;045-i2-Mains.Active energy (39313.8 kWh)
4/16/10 5:00:00 PM;11.0
4/16/10 6:00:00 PM;11.2
4/16/10 7:00:00 PM;12.7
4/16/10 8:00:00 PM;7.3
4/16/10 9:00:00 PM;1.4
4/16/10 10:00:00 PM;1.1
4/16/10 11:00:00 PM;1.0
4/17/10 12:00:00 AM;0.9
4/17/10 1:00:00 AM;1.4
4/17/10 2:00:00 AM;1.3
4/17/10 3:00:00 AM;1.8
4/17/10 4:00:00 AM;1.3
4/17/10 5:00:00 AM;1.4
4/17/10 6:00:00 AM;1.8
4/17/10 7:00:00 AM;1.3
4/17/10 8:00:00 AM;3.7
4/17/10 9:00:00 AM;4.6
4/17/10 10:00:00 AM;4.3
4/17/10 11:00:00 AM;5.2
4/17/10 12:00:00 PM;4.7
4/17/10 1:00:00 PM;2.8
4/17/10 2:00:00 PM;3.6
4/17/10 3:00:00 PM;3.7
4/17/10 4:00:00 PM;3.7
4/17/10 5:00:00 PM;4.1
4/17/10 6:00:00 PM;3.9
4/17/10 7:00:00 PM;4.6
4/17/10 8:00:00 PM;3.7
4/17/10 9:00:00 PM;3.8
4/17/10 10:00:00 PM;3.8
4/17/10 11:00:00 PM;1.9
4/18/10 12:00:00 AM;1.1
4/18/10 1:00:00 AM;1.4
4/18/10 2:00:00 AM;3.8
4/18/10 3:00:00 AM;3.7
4/18/10 4:00:00 AM;3.9
4/18/10 5:00:00 AM;3.9
4/18/10 6:00:00 AM;3.8
4/18/10 7:00:00 AM;3.7
4/18/10 8:00:00 AM;5.0
4/18/10 9:00:00 AM;8.8
4/18/10 10:00:00 AM;8.3
4/18/10 11:00:00 AM;7.4
4/18/10 12:00:00 PM;8.1
4/18/10 1:00:00 PM;8.7
4/18/10 2:00:00 PM;7.4
4/18/10 3:00:00 PM;4.1
4/18/10 4:00:00 PM;4.0
4/18/10 5:00:00 PM;3.6
4/18/10 6:00:00 PM;3.5
4/18/10 7:00:00 PM;3.5
4/18/10 8:00:00 PM;3.5
4/18/10 9:00:00 PM;3.4
4/18/10 10:00:00 PM;3.7
4/18/10 11:00:00 PM;4.2
4/19/10 12:00:00 AM;4.1
4/19/10 1:00:00 AM;3.5
4/19/10 2:00:00 AM;3.6
