Year 2016
Date/time;DB031 (Immunogenetics)-Mains.Active energy [Ergon:Peak] (307044.4 kWh);DB031 (Immunogenetics)-Mains.Active energy [Ergon:Off-Peak] (0.0 kWh)
1/1/16 12:00:00 AM;19.9;0.0
1/1/16 1:00:00 AM;20.4;0.0
1/1/16 2:00:00 AM;20.2;0.0
1/1/16 3:00:00 AM;20.7;0.0
1/1/16 4:00:00 AM;20.8;0.0
1/1/16 5:00:00 AM;20.4;0.0
1/1/16 6:00:00 AM;23.1;0.0
1/1/16 7:00:00 AM;43.4;0.0
1/1/16 8:00:00 AM;53.5;0.0
1/1/16 9:00:00 AM;49.1;0.0
1/1/16 10:00:00 AM;32.6;0.0
1/1/16 11:00:00 AM;24.5;0.0
1/1/16 12:00:00 PM;20.1;0.0
1/1/16 1:00:00 PM;20.1;0.0
1/1/16 2:00:00 PM;22.4;0.0
1/1/16 3:00:00 PM;22.6;0.0
1/1/16 4:00:00 PM;23.8;0.0
1/1/16 5:00:00 PM;24.1;0.0
1/1/16 6:00:00 PM;25.7;0.0
1/1/16 7:00:00 PM;23.0;0.0
1/1/16 8:00:00 PM;20.3;0.0
1/1/16 9:00:00 PM;20.1;0.0
1/1/16 10:00:00 PM;20.6;0.0
1/1/16 11:00:00 PM;20.2;0.0
1/2/16 12:00:00 AM;20.2;0.0
1/2/16 1:00:00 AM;20.5;0.0
1/2/16 2:00:00 AM;20.3;0.0
1/2/16 3:00:00 AM;20.5;0.0
1/2/16 4:00:00 AM;21.4;0.0
1/2/16 5:00:00 AM;20.9;0.0
1/2/16 6:00:00 AM;25.1;0.0
1/2/16 7:00:00 AM;43.6;0.0
1/2/16 8:00:00 AM;56.9;0.0
1/2/16 9:00:00 AM;26.1;0.0
1/2/16 10:00:00 AM;21.0;0.0
1/2/16 11:00:00 AM;20.5;0.0
1/2/16 12:00:00 PM;21.2;0.0
1/2/16 1:00:00 PM;21.8;0.0
1/2/16 2:00:00 PM;22.6;0.0
1/2/16 3:00:00 PM;22.9;0.0
1/2/16 4:00:00 PM;23.2;0.0
1/2/16 5:00:00 PM;24.2;0.0
1/2/16 6:00:00 PM;22.9;0.0
1/2/16 7:00:00 PM;20.8;0.0
1/2/16 8:00:00 PM;20.1;0.0
1/2/16 9:00:00 PM;20.0;0.0
1/2/16 10:00:00 PM;20.0;0.0
1/2/16 11:00:00 PM;20.5;0.0
1/3/16 12:00:00 AM;20.1;0.0
1/3/16 1:00:00 AM;20.1;0.0
1/3/16 2:00:00 AM;19.1;0.0
1/3/16 3:00:00 AM;20.7;0.0
1/3/16 4:00:00 AM;20.3;0.0
1/3/16 5:00:00 AM;20.0;0.0
1/3/16 6:00:00 AM;24.0;0.0
1/3/16 7:00:00 AM;21.9;0.0
1/3/16 8:00:00 AM;21.7;0.0
1/3/16 9:00:00 AM;21.9;0.0
1/3/16 10:00:00 AM;22.1;0.0
1/3/16 11:00:00 AM;22.1;0.0
1/3/16 12:00:00 PM;23.1;0.0
1/3/16 1:00:00 PM;23.4;0.0
1/3/16 2:00:00 PM;23.0;0.0
1/3/16 3:00:00 PM;21.2;0.0
1/3/16 4:00:00 PM;30.1;0.0
1/3/16 5:00:00 PM;19.8;0.0
1/3/16 6:00:00 PM;21.0;0.0
1/3/16 7:00:00 PM;21.3;0.0
1/3/16 8:00:00 PM;17.2;0.0
1/3/16 9:00:00 PM;17.3;0.0
1/3/16 10:00:00 PM;16.3;0.0
1/3/16 11:00:00 PM;16.3;0.0
1/4/16 12:00:00 AM;16.4;0.0
1/4/16 1:00:00 AM;17.7;0.0
1/4/16 2:00:00 AM;52.2;0.0
1/4/16 3:00:00 AM;11.9;0.0
1/4/16 3:00:00 PM;1090.4;0.0
1/7/16 4:00:00 PM;6246.0;0.0
1/7/16 5:00:00 PM;79.0;0.0
1/7/16 6:00:00 PM;77.6;0.0
1/7/16 7:00:00 PM;77.3;0.0
1/7/16 8:00:00 PM;76.0;0.0
1/7/16 9:00:00 PM;60.0;0.0
1/7/16 10:00:00 PM;90.9;0.0
1/7/16 11:00:00 PM;74.3;0.0
1/8/16 12:00:00 AM;74.4;0.0
1/8/16 1:00:00 AM;73.6;0.0
1/8/16 2:00:00 AM;72.9;0.0
1/8/16 3:00:00 AM;72.5;0.0
1/8/16 4:00:00 AM;71.8;0.0
1/8/16 5:00:00 AM;71.3;0.0
1/8/16 6:00:00 AM;77.3;0.0
1/8/16 7:00:00 AM;98.2;0.0
1/8/16 8:00:00 AM;56.6;0.0
1/8/16 9:00:00 AM;48.5;0.0
1/8/16 10:00:00 AM;48.9;0.0
1/8/16 11:00:00 AM;48.0;0.0
1/8/16 12:00:00 PM;51.4;0.0
1/8/16 1:00:00 PM;52.0;0.0
1/8/16 2:00:00 PM;65.7;0.0
1/8/16 3:00:00 PM;59.9;0.0
1/8/16 4:00:00 PM;47.1;0.0
1/8/16 5:00:00 PM;19.8;0.0
1/8/16 6:00:00 PM;22.5;0.0
1/8/16 7:00:00 PM;22.8;0.0
1/8/16 8:00:00 PM;17.2;0.0
1/8/16 9:00:00 PM;17.3;0.0
1/8/16 10:00:00 PM;17.4;0.0
1/8/16 11:00:00 PM;17.8;0.0
1/9/16 12:00:00 AM;17.8;0.0
1/9/16 1:00:00 AM;17.4;0.0
1/9/16 2:00:00 AM;17.8;0.0
1/9/16 3:00:00 AM;17.8;0.0
1/9/16 4:00:00 AM;17.7;0.0
1/9/16 5:00:00 AM;18.0;0.0
1/9/16 6:00:00 AM;23.4;0.0
1/9/16 7:00:00 AM;38.5;0.0
1/9/16 8:00:00 AM;59.7;0.0
1/9/16 9:00:00 AM;38.2;0.0
1/9/16 10:00:00 AM;50.6;0.0
1/9/16 11:00:00 AM;38.0;0.0
1/9/16 12:00:00 PM;30.8;0.0
1/9/16 1:00:00 PM;24.0;0.0
1/9/16 2:00:00 PM;21.7;0.0
1/9/16 3:00:00 PM;22.9;0.0
1/9/16 4:00:00 PM;23.5;0.0
1/9/16 5:00:00 PM;23.6;0.0
1/9/16 6:00:00 PM;23.0;0.0
1/9/16 7:00:00 PM;22.2;0.0
1/9/16 8:00:00 PM;17.8;0.0
1/9/16 9:00:00 PM;17.9;0.0
1/9/16 10:00:00 PM;17.8;0.0
1/9/16 11:00:00 PM;17.9;0.0
1/10/16 12:00:00 AM;18.0;0.0
1/10/16 1:00:00 AM;18.2;0.0
1/10/16 2:00:00 AM;17.6;0.0
1/10/16 3:00:00 AM;18.7;0.0
1/10/16 4:00:00 AM;18.8;0.0
1/10/16 5:00:00 AM;19.0;0.0
1/10/16 6:00:00 AM;23.0;0.0
1/10/16 7:00:00 AM;24.0;0.0
1/10/16 8:00:00 AM;23.6;0.0
1/10/16 9:00:00 AM;23.7;0.0
1/10/16 10:00:00 AM;24.5;0.0
1/10/16 11:00:00 AM;23.9;0.0
1/10/16 12:00:00 PM;23.8;0.0
1/10/16 1:00:00 PM;23.6;0.0
1/10/16 2:00:00 PM;24.0;0.0
1/10/16 3:00:00 PM;23.9;0.0
1/10/16 4:00:00 PM;24.0;0.0
1/10/16 5:00:00 PM;24.0;0.0
