Year 2016
Date/time;034 (TESAG)-Mains.Active energy (464450.6 kWh)
1/1/16 12:00:00 AM;34.5
1/1/16 1:00:00 AM;34.7
1/1/16 2:00:00 AM;35.2
1/1/16 3:00:00 AM;36.4
1/1/16 4:00:00 AM;35.2
1/1/16 5:00:00 AM;35.2
1/1/16 6:00:00 AM;33.4
1/1/16 7:00:00 AM;34.9
1/1/16 8:00:00 AM;34.2
1/1/16 9:00:00 AM;37.9
1/1/16 10:00:00 AM;37.1
1/1/16 11:00:00 AM;36.8
1/1/16 12:00:00 PM;37.1
1/1/16 1:00:00 PM;39.4
1/1/16 2:00:00 PM;38.8
1/1/16 3:00:00 PM;41.5
1/1/16 4:00:00 PM;35.7
1/1/16 5:00:00 PM;35.6
1/1/16 6:00:00 PM;36.7
1/1/16 7:00:00 PM;36.5
1/1/16 8:00:00 PM;35.1
1/1/16 9:00:00 PM;35.7
1/1/16 10:00:00 PM;33.4
1/1/16 11:00:00 PM;33.9
1/2/16 12:00:00 AM;34.2
1/2/16 1:00:00 AM;34.0
1/2/16 2:00:00 AM;33.5
1/2/16 3:00:00 AM;36.4
1/2/16 4:00:00 AM;35.2
1/2/16 5:00:00 AM;33.5
1/2/16 6:00:00 AM;32.8
1/2/16 7:00:00 AM;32.9
1/2/16 8:00:00 AM;33.9
1/2/16 9:00:00 AM;38.0
1/2/16 10:00:00 AM;38.2
1/2/16 11:00:00 AM;38.8
1/2/16 12:00:00 PM;38.1
1/2/16 1:00:00 PM;38.3
1/2/16 2:00:00 PM;40.6
1/2/16 3:00:00 PM;44.0
1/2/16 4:00:00 PM;42.2
1/2/16 5:00:00 PM;38.6
1/2/16 6:00:00 PM;38.3
1/2/16 7:00:00 PM;38.7
1/2/16 8:00:00 PM;35.7
1/2/16 9:00:00 PM;37.3
1/2/16 10:00:00 PM;36.4
1/2/16 11:00:00 PM;36.4
1/3/16 12:00:00 AM;35.6
1/3/16 1:00:00 AM;35.6
1/3/16 2:00:00 AM;37.6
1/3/16 3:00:00 AM;36.9
1/3/16 4:00:00 AM;34.3
1/3/16 5:00:00 AM;33.4
1/3/16 6:00:00 AM;32.5
1/3/16 7:00:00 AM;33.6
1/3/16 8:00:00 AM;32.7
1/3/16 9:00:00 AM;40.0
1/3/16 10:00:00 AM;38.8
1/3/16 11:00:00 AM;39.1
1/3/16 12:00:00 PM;38.4
1/3/16 1:00:00 PM;45.3
1/3/16 2:00:00 PM;41.9
1/3/16 3:00:00 PM;45.2
1/3/16 4:00:00 PM;43.9
1/3/16 5:00:00 PM;41.9
1/3/16 6:00:00 PM;40.5
1/3/16 7:00:00 PM;39.7
1/3/16 8:00:00 PM;39.8
1/3/16 9:00:00 PM;41.0
