Year 2016
Date/time;048 (AITHM)-0-Mains.Active energy (401044.0 kWh)
8/19/16 2:00:00 PM;18.4
8/19/16 3:00:00 PM;77.9
8/19/16 4:00:00 PM;74.4
8/19/16 5:00:00 PM;51.9
8/19/16 6:00:00 PM;42.2
8/19/16 7:00:00 PM;37.7
8/19/16 8:00:00 PM;38.6
8/19/16 9:00:00 PM;39.7
8/19/16 10:00:00 PM;35.2
8/19/16 11:00:00 PM;39.0
8/20/16 12:00:00 AM;38.3
8/20/16 1:00:00 AM;36.2
8/20/16 2:00:00 AM;39.1
8/20/16 3:00:00 AM;36.4
8/20/16 4:00:00 AM;38.9
8/20/16 5:00:00 AM;37.9
8/20/16 6:00:00 AM;37.0
8/20/16 7:00:00 AM;40.4
8/20/16 8:00:00 AM;41.8
8/20/16 9:00:00 AM;45.1
8/20/16 10:00:00 AM;44.0
8/20/16 11:00:00 AM;43.5
8/20/16 12:00:00 PM;47.6
8/20/16 1:00:00 PM;60.2
8/20/16 2:00:00 PM;44.0
8/20/16 3:00:00 PM;58.6
8/20/16 4:00:00 PM;60.7
8/20/16 5:00:00 PM;46.6
8/20/16 6:00:00 PM;38.4
8/20/16 7:00:00 PM;27.7
8/20/16 8:00:00 PM;27.6
8/20/16 9:00:00 PM;29.9
8/20/16 10:00:00 PM;26.7
8/20/16 11:00:00 PM;28.5
8/21/16 12:00:00 AM;29.3
8/21/16 1:00:00 AM;26.1
8/21/16 2:00:00 AM;29.3
8/21/16 3:00:00 AM;28.0
8/21/16 4:00:00 AM;27.6
8/21/16 5:00:00 AM;29.1
8/21/16 6:00:00 AM;26.4
8/21/16 7:00:00 AM;26.6
8/21/16 8:00:00 AM;28.2
8/21/16 9:00:00 AM;26.6
8/21/16 10:00:00 AM;25.8
8/21/16 11:00:00 AM;28.5
8/21/16 12:00:00 PM;25.9
8/21/16 1:00:00 PM;35.0
8/21/16 2:00:00 PM;41.1
8/21/16 3:00:00 PM;37.5
8/21/16 4:00:00 PM;39.2
8/21/16 5:00:00 PM;40.5
8/21/16 6:00:00 PM;36.8
8/21/16 7:00:00 PM;40.9
8/21/16 8:00:00 PM;40.3
8/21/16 9:00:00 PM;39.6
8/21/16 10:00:00 PM;42.8
8/21/16 11:00:00 PM;40.3
8/22/16 12:00:00 AM;42.2
8/22/16 1:00:00 AM;40.4
8/22/16 2:00:00 AM;41.4
8/22/16 3:00:00 AM;42.5
8/22/16 4:00:00 AM;39.4
8/22/16 5:00:00 AM;42.1
8/22/16 6:00:00 AM;40.9
8/22/16 7:00:00 AM;33.6
8/22/16 8:00:00 AM;83.5
8/22/16 9:00:00 AM;74.9
8/22/16 10:00:00 AM;76.9
8/22/16 11:00:00 AM;75.0
8/22/16 12:00:00 PM;71.3
8/22/16 1:00:00 PM;66.7
8/22/16 2:00:00 PM;63.2
8/22/16 3:00:00 PM;51.2
8/22/16 4:00:00 PM;61.2
8/22/16 5:00:00 PM;49.3
8/22/16 6:00:00 PM;45.0
8/22/16 7:00:00 PM;47.5
8/22/16 8:00:00 PM;44.4
8/22/16 9:00:00 PM;47.0
8/22/16 10:00:00 PM;42.2
8/22/16 11:00:00 PM;45.8
8/23/16 12:00:00 AM;44.8
8/23/16 1:00:00 AM;45.1
8/23/16 2:00:00 AM;44.6
8/23/16 3:00:00 AM;44.7
8/23/16 4:00:00 AM;44.8
8/23/16 5:00:00 AM;44.8
8/23/16 6:00:00 AM;46.7
8/23/16 7:00:00 AM;67.2
8/23/16 8:00:00 AM;71.1
8/23/16 9:00:00 AM;71.8
8/23/16 10:00:00 AM;73.7
8/23/16 11:00:00 AM;71.2
8/23/16 12:00:00 PM;71.0
8/23/16 1:00:00 PM;72.2
8/23/16 2:00:00 PM;72.2
8/23/16 3:00:00 PM;73.2
8/23/16 4:00:00 PM;66.4
8/23/16 5:00:00 PM;51.2
8/23/16 6:00:00 PM;29.9
8/23/16 7:00:00 PM;29.6
8/23/16 8:00:00 PM;30.9
8/23/16 9:00:00 PM;28.3
8/23/16 10:00:00 PM;30.9
8/23/16 11:00:00 PM;28.0
8/24/16 12:00:00 AM;30.9
8/24/16 1:00:00 AM;28.4
8/24/16 2:00:00 AM;30.0
8/24/16 3:00:00 AM;29.3
8/24/16 4:00:00 AM;30.0
8/24/16 5:00:00 AM;29.7
8/24/16 6:00:00 AM;29.9
8/24/16 7:00:00 AM;42.5
8/24/16 8:00:00 AM;43.0
8/24/16 9:00:00 AM;67.7
8/24/16 10:00:00 AM;72.1
8/24/16 11:00:00 AM;72.6
8/24/16 12:00:00 PM;73.5
8/24/16 1:00:00 PM;70.8
8/24/16 2:00:00 PM;72.3
8/24/16 3:00:00 PM;74.4
8/24/16 4:00:00 PM;74.5
8/24/16 5:00:00 PM;73.1
8/24/16 6:00:00 PM;61.2
8/24/16 7:00:00 PM;52.3
8/24/16 8:00:00 PM;48.1
8/24/16 9:00:00 PM;50.7
8/24/16 10:00:00 PM;46.4
8/24/16 11:00:00 PM;49.2
8/25/16 12:00:00 AM;46.9
8/25/16 1:00:00 AM;48.7
8/25/16 2:00:00 AM;48.3
8/25/16 3:00:00 AM;46.1
8/25/16 4:00:00 AM;49.2
8/25/16 5:00:00 AM;47.4
8/25/16 6:00:00 AM;49.8
8/25/16 7:00:00 AM;59.1
8/25/16 8:00:00 AM;16.1
9/14/16 9:00:00 AM;41017.7
9/14/16 10:00:00 AM;77.4
9/14/16 11:00:00 AM;75.3
9/14/16 12:00:00 PM;81.9
9/14/16 1:00:00 PM;92.1
9/14/16 2:00:00 PM;84.2
9/14/16 3:00:00 PM;79.4
9/14/16 4:00:00 PM;72.7
9/14/16 5:00:00 PM;54.2
9/14/16 6:00:00 PM;67.8
9/14/16 7:00:00 PM;69.9
9/14/16 8:00:00 PM;79.9
9/14/16 9:00:00 PM;81.0
9/14/16 10:00:00 PM;74.4
9/14/16 11:00:00 PM;79.5
9/15/16 12:00:00 AM;78.7
9/15/16 1:00:00 AM;79.0
9/15/16 2:00:00 AM;79.3
9/15/16 3:00:00 AM;79.7
9/15/16 4:00:00 AM;81.5
9/15/16 5:00:00 AM;82.7
9/15/16 6:00:00 AM;81.0
9/15/16 7:00:00 AM;84.5
9/15/16 8:00:00 AM;97.4
9/15/16 9:00:00 AM;91.9
9/15/16 10:00:00 AM;94.9
9/15/16 11:00:00 AM;61.5
9/15/16 12:00:00 PM;79.4
9/15/16 1:00:00 PM;94.2
9/15/16 2:00:00 PM;81.6
9/15/16 3:00:00 PM;86.5
9/15/16 4:00:00 PM;58.1
9/15/16 5:00:00 PM;82.1
9/15/16 6:00:00 PM;84.0
9/15/16 7:00:00 PM;81.0
9/15/16 8:00:00 PM;79.6
9/15/16 9:00:00 PM;82.0
9/15/16 10:00:00 PM;77.7
9/15/16 11:00:00 PM;82.3
9/16/16 12:00:00 AM;79.6
9/16/16 1:00:00 AM;78.0
9/16/16 2:00:00 AM;77.5
9/16/16 3:00:00 AM;79.5
9/16/16 4:00:00 AM;82.2
9/16/16 5:00:00 AM;76.3
9/16/16 6:00:00 AM;81.2
9/16/16 7:00:00 AM;76.7
9/16/16 8:00:00 AM;82.3
9/16/16 9:00:00 AM;93.7
9/16/16 10:00:00 AM;91.7
9/16/16 11:00:00 AM;92.5
9/16/16 12:00:00 PM;68.1
9/16/16 1:00:00 PM;66.5
9/16/16 2:00:00 PM;89.6
9/16/16 3:00:00 PM;93.1
9/16/16 4:00:00 PM;92.2
9/16/16 5:00:00 PM;90.2
9/16/16 6:00:00 PM;86.9
9/16/16 7:00:00 PM;84.1
9/16/16 8:00:00 PM;82.0
9/16/16 9:00:00 PM;81.9
9/16/16 10:00:00 PM;79.7
9/16/16 11:00:00 PM;82.7
9/17/16 12:00:00 AM;79.8
9/17/16 1:00:00 AM;86.1
9/17/16 2:00:00 AM;82.7
9/17/16 3:00:00 AM;82.1
9/17/16 4:00:00 AM;87.3
9/17/16 5:00:00 AM;81.6
9/17/16 6:00:00 AM;83.0
9/17/16 7:00:00 AM;87.5
9/17/16 8:00:00 AM;82.1
9/17/16 9:00:00 AM;84.7
9/17/16 10:00:00 AM;87.8
9/17/16 11:00:00 AM;80.5
9/17/16 12:00:00 PM;92.2
9/17/16 1:00:00 PM;92.1
9/17/16 2:00:00 PM;80.3
9/17/16 3:00:00 PM;83.3
9/17/16 4:00:00 PM;84.7
9/17/16 5:00:00 PM;78.1
9/17/16 6:00:00 PM;85.9
9/17/16 7:00:00 PM;83.0
9/17/16 8:00:00 PM;80.2
9/17/16 9:00:00 PM;84.6
9/17/16 10:00:00 PM;86.8
9/17/16 11:00:00 PM;82.0
9/18/16 12:00:00 AM;83.1
