Year 2016
Date/time;DB087 (Veterinary Science)-Mains.Active energy (899872.2 kWh)
1/1/16 12:00:00 AM;77.8
1/1/16 1:00:00 AM;77.9
1/1/16 2:00:00 AM;78.7
1/1/16 3:00:00 AM;79.9
1/1/16 4:00:00 AM;77.7
1/1/16 5:00:00 AM;80.5
1/1/16 6:00:00 AM;88.4
1/1/16 7:00:00 AM;85.3
1/1/16 8:00:00 AM;83.4
1/1/16 9:00:00 AM;83.8
1/1/16 10:00:00 AM;81.6
1/1/16 11:00:00 AM;84.3
1/1/16 12:00:00 PM;84.9
1/1/16 1:00:00 PM;83.3
1/1/16 2:00:00 PM;86.5
1/1/16 3:00:00 PM;86.3
1/1/16 4:00:00 PM;81.0
1/1/16 5:00:00 PM;80.3
1/1/16 6:00:00 PM;74.9
1/1/16 7:00:00 PM;78.8
1/1/16 8:00:00 PM;80.5
1/1/16 9:00:00 PM;77.3
1/1/16 10:00:00 PM;77.1
1/1/16 11:00:00 PM;76.8
1/2/16 12:00:00 AM;81.3
1/2/16 1:00:00 AM;76.2
1/2/16 2:00:00 AM;77.4
1/2/16 3:00:00 AM;78.4
1/2/16 4:00:00 AM;78.5
1/2/16 5:00:00 AM;78.5
1/2/16 6:00:00 AM;81.6
1/2/16 7:00:00 AM;78.4
1/2/16 8:00:00 AM;78.9
1/2/16 9:00:00 AM;76.3
1/2/16 10:00:00 AM;85.2
1/2/16 11:00:00 AM;86.7
1/2/16 12:00:00 PM;79.5
1/2/16 1:00:00 PM;82.0
1/2/16 2:00:00 PM;82.7
1/2/16 3:00:00 PM;76.1
1/2/16 4:00:00 PM;78.6
1/2/16 5:00:00 PM;80.2
1/2/16 6:00:00 PM;83.9
1/2/16 7:00:00 PM;83.6
1/2/16 8:00:00 PM;84.2
1/2/16 9:00:00 PM;80.2
1/2/16 10:00:00 PM;85.4
1/2/16 11:00:00 PM;83.3
1/3/16 12:00:00 AM;49.4
1/3/16 2:00:00 PM;1246.8
1/3/16 3:00:00 PM;99.0
1/3/16 4:00:00 PM;83.6
1/3/16 5:00:00 PM;27.1
1/3/16 7:00:00 PM;226.9
1/3/16 8:00:00 PM;86.3
1/3/16 9:00:00 PM;89.6
1/3/16 10:00:00 PM;88.9
1/3/16 11:00:00 PM;83.2
1/4/16 12:00:00 AM;83.1
1/4/16 1:00:00 AM;51.8
1/4/16 3:00:00 PM;1543.6
