Year 2017
Date/time;017 (Physics Maths)-Mains.Active energy (207312.7 kWh)
1/1/17 12:00:00 AM;21.8
1/1/17 1:00:00 AM;22.2
1/1/17 2:00:00 AM;20.9
1/1/17 3:00:00 AM;24.1
1/1/17 4:00:00 AM;26.0
1/1/17 5:00:00 AM;21.2
1/1/17 6:00:00 AM;25.8
1/1/17 7:00:00 AM;24.5
1/1/17 8:00:00 AM;36.6
1/1/17 9:00:00 AM;27.4
1/1/17 10:00:00 AM;32.0
1/1/17 11:00:00 AM;42.7
1/1/17 12:00:00 PM;24.5
1/1/17 1:00:00 PM;32.0
1/1/17 2:00:00 PM;36.3
1/1/17 3:00:00 PM;40.4
1/1/17 4:00:00 PM;40.2
1/1/17 5:00:00 PM;26.4
1/1/17 6:00:00 PM;24.0
1/1/17 7:00:00 PM;21.3
1/1/17 8:00:00 PM;21.1
1/1/17 9:00:00 PM;21.0
1/1/17 10:00:00 PM;20.9
1/1/17 11:00:00 PM;21.2
1/2/17 12:00:00 AM;21.8
1/2/17 1:00:00 AM;21.4
1/2/17 2:00:00 AM;26.2
1/2/17 3:00:00 AM;26.4
1/2/17 4:00:00 AM;25.1
1/2/17 5:00:00 AM;23.1
1/2/17 6:00:00 AM;21.0
1/2/17 7:00:00 AM;42.5
1/2/17 8:00:00 AM;34.0
1/2/17 9:00:00 AM;27.7
1/2/17 10:00:00 AM;49.3
1/2/17 11:00:00 AM;41.1
1/2/17 12:00:00 PM;35.2
1/2/17 1:00:00 PM;35.4
1/2/17 2:00:00 PM;35.2
1/2/17 3:00:00 PM;36.5
1/2/17 4:00:00 PM;29.6
1/2/17 5:00:00 PM;27.9
1/2/17 6:00:00 PM;27.4
1/2/17 7:00:00 PM;22.4
1/2/17 8:00:00 PM;28.4
1/2/17 9:00:00 PM;26.6
1/2/17 10:00:00 PM;27.6
1/2/17 11:00:00 PM;27.9
1/3/17 12:00:00 AM;26.1
1/3/17 1:00:00 AM;25.9
1/3/17 2:00:00 AM;22.1
1/3/17 3:00:00 AM;27.6
1/3/17 4:00:00 AM;28.2
1/3/17 5:00:00 AM;35.4
1/3/17 6:00:00 AM;39.6
1/3/17 7:00:00 AM;50.4
1/3/17 8:00:00 AM;67.1
1/3/17 9:00:00 AM;65.6
1/3/17 10:00:00 AM;66.9
1/3/17 11:00:00 AM;67.5
1/3/17 12:00:00 PM;66.1
1/3/17 1:00:00 PM;67.3
1/3/17 2:00:00 PM;65.2
1/3/17 3:00:00 PM;63.8
1/3/17 4:00:00 PM;60.7
1/3/17 5:00:00 PM;40.9
1/3/17 6:00:00 PM;28.9
1/3/17 7:00:00 PM;31.8
1/3/17 8:00:00 PM;29.6
1/3/17 9:00:00 PM;30.8
1/3/17 10:00:00 PM;32.8
1/3/17 11:00:00 PM;28.1
1/4/17 12:00:00 AM;28.3
1/4/17 1:00:00 AM;29.8
1/4/17 2:00:00 AM;33.9
1/4/17 3:00:00 AM;46.9
1/4/17 4:00:00 AM;35.1
1/4/17 5:00:00 AM;39.7
1/4/17 6:00:00 AM;48.3
1/4/17 7:00:00 AM;49.8
1/4/17 8:00:00 AM;62.1
1/4/17 9:00:00 AM;62.7
1/4/17 10:00:00 AM;65.8
1/4/17 11:00:00 AM;68.0
1/4/17 12:00:00 PM;67.7
1/4/17 1:00:00 PM;69.5
1/4/17 2:00:00 PM;69.1
1/4/17 3:00:00 PM;67.3
1/4/17 4:00:00 PM;62.0
1/4/17 5:00:00 PM;42.3
1/4/17 6:00:00 PM;34.6
1/4/17 7:00:00 PM;45.0
1/4/17 8:00:00 PM;38.6
1/4/17 9:00:00 PM;47.9
1/4/17 10:00:00 PM;38.7
1/4/17 11:00:00 PM;32.7
1/5/17 12:00:00 AM;28.8
1/5/17 1:00:00 AM;32.1
1/5/17 2:00:00 AM;28.2
1/5/17 3:00:00 AM;31.3
1/5/17 4:00:00 AM;31.6
1/5/17 5:00:00 AM;31.8
1/5/17 6:00:00 AM;48.3
1/5/17 7:00:00 AM;48.6
1/5/17 8:00:00 AM;63.5
1/5/17 9:00:00 AM;70.8
1/5/17 10:00:00 AM;67.7
1/5/17 11:00:00 AM;66.1
1/5/17 12:00:00 PM;63.3
1/5/17 1:00:00 PM;64.0
1/5/17 2:00:00 PM;62.8
1/5/17 3:00:00 PM;63.9
1/5/17 4:00:00 PM;62.7
1/5/17 5:00:00 PM;46.5
1/5/17 6:00:00 PM;39.8
1/5/17 7:00:00 PM;37.8
1/5/17 8:00:00 PM;34.4
1/5/17 9:00:00 PM;31.2
1/5/17 10:00:00 PM;32.8
1/5/17 11:00:00 PM;32.5
1/6/17 12:00:00 AM;33.8
1/6/17 1:00:00 AM;42.0
1/6/17 2:00:00 AM;35.6
1/6/17 3:00:00 AM;31.6
1/6/17 4:00:00 AM;30.0
1/6/17 5:00:00 AM;29.8
1/6/17 6:00:00 AM;58.8
1/6/17 7:00:00 AM;57.0
1/6/17 8:00:00 AM;74.9
1/6/17 9:00:00 AM;75.5
1/6/17 10:00:00 AM;64.2
1/6/17 11:00:00 AM;71.6
1/6/17 12:00:00 PM;73.9
1/6/17 1:00:00 PM;79.8
1/6/17 2:00:00 PM;89.0
1/6/17 3:00:00 PM;100.3
1/6/17 4:00:00 PM;98.1
1/6/17 5:00:00 PM;40.7
1/6/17 6:00:00 PM;29.4
1/6/17 7:00:00 PM;28.2
1/6/17 8:00:00 PM;28.8
1/6/17 9:00:00 PM;27.5
1/6/17 10:00:00 PM;26.8
1/6/17 11:00:00 PM;27.4
1/7/17 12:00:00 AM;42.7
1/7/17 1:00:00 AM;28.0
1/7/17 2:00:00 AM;24.3
1/7/17 3:00:00 AM;23.8
1/7/17 4:00:00 AM;34.3
1/7/17 5:00:00 AM;37.0
1/7/17 6:00:00 AM;21.6
1/7/17 7:00:00 AM;20.7
1/7/17 8:00:00 AM;24.9
1/7/17 9:00:00 AM;26.9
1/7/17 10:00:00 AM;25.3
1/7/17 11:00:00 AM;25.3
1/7/17 12:00:00 PM;29.9
1/7/17 1:00:00 PM;28.1
1/7/17 2:00:00 PM;26.4
1/7/17 3:00:00 PM;22.8
1/7/17 4:00:00 PM;21.9
1/7/17 5:00:00 PM;21.8
1/7/17 6:00:00 PM;24.0
1/7/17 7:00:00 PM;25.5
1/7/17 8:00:00 PM;23.5
1/7/17 9:00:00 PM;33.4
1/7/17 10:00:00 PM;29.0
1/7/17 11:00:00 PM;37.8
1/8/17 12:00:00 AM;27.7
1/8/17 1:00:00 AM;41.2
1/8/17 2:00:00 AM;36.6
1/8/17 3:00:00 AM;27.2
1/8/17 4:00:00 AM;26.0
1/8/17 5:00:00 AM;22.8
1/8/17 6:00:00 AM;20.6
1/8/17 7:00:00 AM;20.9
1/8/17 8:00:00 AM;21.1
1/8/17 9:00:00 AM;32.1
1/8/17 10:00:00 AM;42.8
1/8/17 11:00:00 AM;41.7
1/8/17 12:00:00 PM;30.9
1/8/17 1:00:00 PM;39.3
1/8/17 2:00:00 PM;33.9
1/8/17 3:00:00 PM;24.7
1/8/17 4:00:00 PM;24.0
1/8/17 5:00:00 PM;24.0
1/8/17 6:00:00 PM;24.2
1/8/17 7:00:00 PM;27.2
1/8/17 8:00:00 PM;30.2
1/8/17 9:00:00 PM;26.1
1/8/17 10:00:00 PM;33.2
1/8/17 11:00:00 PM;37.6
1/9/17 12:00:00 AM;29.5
1/9/17 1:00:00 AM;35.6
1/9/17 2:00:00 AM;28.3
1/9/17 3:00:00 AM;33.6
1/9/17 4:00:00 AM;34.5
1/9/17 5:00:00 AM;25.0
1/9/17 6:00:00 AM;41.4
1/9/17 7:00:00 AM;39.4
1/9/17 8:00:00 AM;63.3
1/9/17 9:00:00 AM;68.3
1/9/17 10:00:00 AM;68.3
1/9/17 11:00:00 AM;65.7
1/9/17 12:00:00 PM;67.8
1/9/17 1:00:00 PM;70.8
1/9/17 2:00:00 PM;71.2
1/9/17 3:00:00 PM;72.9
1/9/17 4:00:00 PM;67.8
1/9/17 5:00:00 PM;51.9
1/9/17 6:00:00 PM;33.6
1/9/17 7:00:00 PM;39.0
1/9/17 8:00:00 PM;40.6
1/9/17 9:00:00 PM;39.6
1/9/17 10:00:00 PM;29.4
1/9/17 11:00:00 PM;27.6
