Year 2017
Date/time;DA027 (Commerce Economics)-Light and Power.Active energy (74402.5 kWh)
1/1/17 12:00:00 AM;14.7
1/1/17 1:00:00 AM;15.2
1/1/17 2:00:00 AM;15.1
1/1/17 3:00:00 AM;14.2
1/1/17 4:00:00 AM;15.2
1/1/17 5:00:00 AM;15.1
1/1/17 6:00:00 AM;12.5
1/1/17 7:00:00 AM;11.5
1/1/17 8:00:00 AM;11.6
1/1/17 9:00:00 AM;10.5
1/1/17 10:00:00 AM;10.6
1/1/17 11:00:00 AM;10.5
1/1/17 12:00:00 PM;11.1
1/1/17 1:00:00 PM;11.1
1/1/17 2:00:00 PM;11.2
1/1/17 3:00:00 PM;11.0
1/1/17 4:00:00 PM;11.6
1/1/17 5:00:00 PM;10.7
1/1/17 6:00:00 PM;14.4
1/1/17 7:00:00 PM;14.1
1/1/17 8:00:00 PM;14.5
1/1/17 9:00:00 PM;14.8
1/1/17 10:00:00 PM;14.2
1/1/17 11:00:00 PM;14.4
1/2/17 12:00:00 AM;15.4
1/2/17 1:00:00 AM;14.2
1/2/17 2:00:00 AM;14.4
1/2/17 3:00:00 AM;15.2
1/2/17 4:00:00 AM;14.3
1/2/17 5:00:00 AM;14.2
1/2/17 6:00:00 AM;10.4
1/2/17 7:00:00 AM;10.7
1/2/17 8:00:00 AM;12.4
1/2/17 9:00:00 AM;13.7
1/2/17 10:00:00 AM;16.0
1/2/17 11:00:00 AM;15.5
1/2/17 12:00:00 PM;15.3
1/2/17 1:00:00 PM;15.5
1/2/17 2:00:00 PM;16.2
1/2/17 3:00:00 PM;14.8
1/2/17 4:00:00 PM;12.6
1/2/17 5:00:00 PM;12.7
1/2/17 6:00:00 PM;15.7
1/2/17 7:00:00 PM;15.4
1/2/17 8:00:00 PM;15.5
1/2/17 9:00:00 PM;15.2
1/2/17 10:00:00 PM;15.6
1/2/17 11:00:00 PM;16.6
1/3/17 12:00:00 AM;16.0
1/3/17 1:00:00 AM;15.8
1/3/17 2:00:00 AM;15.7
1/3/17 3:00:00 AM;15.3
