Year 2017
Date/time;145 (ATSIP)-Mains.Active energy (299257.6 kWh)
1/1/17 12:00:00 AM;55.5
1/1/17 1:00:00 AM;55.3
1/1/17 2:00:00 AM;54.8
1/1/17 3:00:00 AM;55.6
1/1/17 4:00:00 AM;55.5
1/1/17 5:00:00 AM;55.9
1/1/17 6:00:00 AM;54.3
1/1/17 7:00:00 AM;58.4
1/1/17 8:00:00 AM;60.8
1/1/17 9:00:00 AM;63.3
1/1/17 10:00:00 AM;61.5
1/1/17 11:00:00 AM;60.6
1/1/17 12:00:00 PM;60.5
1/1/17 1:00:00 PM;61.7
1/1/17 2:00:00 PM;62.6
1/1/17 3:00:00 PM;61.2
1/1/17 4:00:00 PM;60.1
1/1/17 5:00:00 PM;61.8
1/1/17 6:00:00 PM;60.2
1/1/17 7:00:00 PM;59.7
1/1/17 8:00:00 PM;59.8
1/1/17 9:00:00 PM;60.0
1/1/17 10:00:00 PM;58.7
1/1/17 11:00:00 PM;58.4
1/2/17 12:00:00 AM;57.1
1/2/17 1:00:00 AM;57.3
1/2/17 2:00:00 AM;57.7
1/2/17 3:00:00 AM;56.9
1/2/17 4:00:00 AM;57.5
1/2/17 5:00:00 AM;57.5
1/2/17 6:00:00 AM;57.5
1/2/17 7:00:00 AM;68.5
1/2/17 8:00:00 AM;87.6
1/2/17 9:00:00 AM;78.8
1/2/17 10:00:00 AM;78.4
1/2/17 11:00:00 AM;79.0
1/2/17 12:00:00 PM;81.3
1/2/17 1:00:00 PM;83.5
1/2/17 2:00:00 PM;88.2
1/2/17 3:00:00 PM;84.4
1/2/17 4:00:00 PM;76.5
1/2/17 5:00:00 PM;62.1
1/2/17 6:00:00 PM;61.7
1/2/17 7:00:00 PM;60.1
1/2/17 8:00:00 PM;59.0
1/2/17 9:00:00 PM;59.4
1/2/17 10:00:00 PM;60.9
1/2/17 11:00:00 PM;58.8
1/3/17 12:00:00 AM;55.9
1/3/17 1:00:00 AM;57.1
1/3/17 2:00:00 AM;55.4
1/3/17 3:00:00 AM;53.2
1/3/17 4:00:00 AM;53.6
