Year 2013
Date/time;CA002-Mains.Active energy (316871.5 kWh)
1/1/13 12:00:00 AM;25.3
1/1/13 1:00:00 AM;23.7
1/1/13 2:00:00 AM;23.7
1/1/13 3:00:00 AM;23.6
1/1/13 4:00:00 AM;23.7
1/1/13 5:00:00 AM;23.0
1/1/13 6:00:00 AM;20.1
1/1/13 7:00:00 AM;31.2
1/1/13 8:00:00 AM;35.4
1/1/13 9:00:00 AM;34.1
1/1/13 10:00:00 AM;33.9
1/1/13 11:00:00 AM;35.4
1/1/13 12:00:00 PM;33.9
1/1/13 1:00:00 PM;35.8
1/1/13 2:00:00 PM;35.8
1/1/13 3:00:00 PM;37.1
1/1/13 4:00:00 PM;36.3
1/1/13 5:00:00 PM;34.9
1/1/13 6:00:00 PM;25.4
1/1/13 7:00:00 PM;24.7
1/1/13 8:00:00 PM;23.2
1/1/13 9:00:00 PM;21.6
1/1/13 10:00:00 PM;22.3
1/1/13 11:00:00 PM;22.5
1/2/13 12:00:00 AM;22.7
1/2/13 1:00:00 AM;24.1
1/2/13 2:00:00 AM;25.1
1/2/13 3:00:00 AM;26.2
1/2/13 4:00:00 AM;25.3
1/2/13 5:00:00 AM;25.4
1/2/13 6:00:00 AM;27.4
1/2/13 7:00:00 AM;43.0
1/2/13 8:00:00 AM;54.9
1/2/13 9:00:00 AM;57.7
1/2/13 10:00:00 AM;57.3
1/2/13 11:00:00 AM;60.0
1/2/13 12:00:00 PM;59.3
1/2/13 1:00:00 PM;59.8
1/2/13 2:00:00 PM;58.5
1/2/13 3:00:00 PM;57.8
1/2/13 4:00:00 PM;55.6
1/2/13 5:00:00 PM;51.0
1/2/13 6:00:00 PM;32.6
1/2/13 7:00:00 PM;5.1
1/3/13 8:00:00 AM;376.1
1/3/13 9:00:00 AM;60.0
1/3/13 10:00:00 AM;60.6
1/3/13 11:00:00 AM;60.2
1/3/13 12:00:00 PM;58.9
1/3/13 1:00:00 PM;61.7
1/3/13 2:00:00 PM;57.9
1/3/13 3:00:00 PM;57.3
1/3/13 4:00:00 PM;54.6
1/3/13 5:00:00 PM;47.3
1/3/13 6:00:00 PM;30.7
1/3/13 7:00:00 PM;26.6
1/3/13 8:00:00 PM;24.1
1/3/13 9:00:00 PM;23.6
1/3/13 10:00:00 PM;24.0
1/3/13 11:00:00 PM;26.4
1/4/13 12:00:00 AM;23.2
1/4/13 1:00:00 AM;27.6
1/4/13 2:00:00 AM;23.3
1/4/13 3:00:00 AM;24.4
1/4/13 4:00:00 AM;23.9
1/4/13 5:00:00 AM;23.3
1/4/13 6:00:00 AM;29.3
1/4/13 7:00:00 AM;48.9
1/4/13 8:00:00 AM;57.3
1/4/13 9:00:00 AM;58.9
1/4/13 10:00:00 AM;59.6
1/4/13 11:00:00 AM;61.6
1/4/13 12:00:00 PM;61.9
1/4/13 1:00:00 PM;62.5
1/4/13 2:00:00 PM;62.7
1/4/13 3:00:00 PM;60.4
1/4/13 4:00:00 PM;56.1
1/4/13 5:00:00 PM;46.9
1/4/13 6:00:00 PM;35.1
1/4/13 7:00:00 PM;26.2
1/4/13 8:00:00 PM;23.7
1/4/13 9:00:00 PM;25.0
1/4/13 10:00:00 PM;21.8
1/4/13 11:00:00 PM;24.4
1/5/13 12:00:00 AM;23.1
1/5/13 1:00:00 AM;27.6
1/5/13 2:00:00 AM;24.7
1/5/13 3:00:00 AM;22.0
1/5/13 4:00:00 AM;22.0
1/5/13 5:00:00 AM;23.3
1/5/13 6:00:00 AM;21.1
1/5/13 7:00:00 AM;17.1
1/5/13 8:00:00 AM;18.0
1/5/13 9:00:00 AM;19.4
1/5/13 10:00:00 AM;20.2
1/5/13 11:00:00 AM;23.6
1/5/13 12:00:00 PM;21.7
1/5/13 1:00:00 PM;20.3
1/5/13 2:00:00 PM;21.4
1/5/13 3:00:00 PM;19.5
1/5/13 4:00:00 PM;20.3
1/5/13 5:00:00 PM;19.4
1/5/13 6:00:00 PM;23.8
1/5/13 7:00:00 PM;23.3
1/5/13 8:00:00 PM;23.0
1/5/13 9:00:00 PM;24.0
1/5/13 10:00:00 PM;24.1
1/5/13 11:00:00 PM;26.0
1/6/13 12:00:00 AM;22.8
1/6/13 1:00:00 AM;28.1
1/6/13 2:00:00 AM;25.7
1/6/13 3:00:00 AM;22.6
1/6/13 4:00:00 AM;22.5
1/6/13 5:00:00 AM;22.2
1/6/13 6:00:00 AM;19.6
1/6/13 7:00:00 AM;16.8
1/6/13 8:00:00 AM;18.3
1/6/13 9:00:00 AM;18.2
1/6/13 10:00:00 AM;18.0
