Year 2017
Date/time;CD003-Mains.Active energy (139038.9 kWh)
1/1/17 12:00:00 AM;20.2
1/1/17 1:00:00 AM;19.0
1/1/17 2:00:00 AM;17.7
1/1/17 3:00:00 AM;19.2
1/1/17 4:00:00 AM;18.7
1/1/17 5:00:00 AM;17.0
1/1/17 6:00:00 AM;12.3
1/1/17 7:00:00 AM;12.5
1/1/17 8:00:00 AM;13.0
1/1/17 9:00:00 AM;12.8
1/1/17 10:00:00 AM;14.6
1/1/17 11:00:00 AM;14.6
1/1/17 12:00:00 PM;14.6
1/1/17 1:00:00 PM;13.5
1/1/17 2:00:00 PM;15.0
1/1/17 3:00:00 PM;13.7
1/1/17 4:00:00 PM;12.9
1/1/17 5:00:00 PM;15.3
1/1/17 6:00:00 PM;18.5
1/1/17 7:00:00 PM;21.5
1/1/17 8:00:00 PM;22.2
1/1/17 9:00:00 PM;20.7
1/1/17 10:00:00 PM;21.4
1/1/17 11:00:00 PM;18.9
1/2/17 12:00:00 AM;19.5
1/2/17 1:00:00 AM;19.0
1/2/17 2:00:00 AM;18.0
1/2/17 3:00:00 AM;17.7
1/2/17 4:00:00 AM;18.7
1/2/17 5:00:00 AM;19.8
1/2/17 6:00:00 AM;20.7
1/2/17 7:00:00 AM;27.2
1/2/17 8:00:00 AM;36.8
1/2/17 9:00:00 AM;34.9
1/2/17 10:00:00 AM;37.8
1/2/17 11:00:00 AM;40.9
1/2/17 12:00:00 PM;40.6
1/2/17 1:00:00 PM;40.3
1/2/17 2:00:00 PM;40.0
1/2/17 3:00:00 PM;39.4
1/2/17 4:00:00 PM;35.9
1/2/17 5:00:00 PM;35.2
1/2/17 6:00:00 PM;24.5
1/2/17 7:00:00 PM;21.8
1/2/17 8:00:00 PM;21.9
1/2/17 9:00:00 PM;21.4
1/2/17 10:00:00 PM;20.7
1/2/17 11:00:00 PM;19.8
1/3/17 12:00:00 AM;18.1
1/3/17 1:00:00 AM;18.5
1/3/17 2:00:00 AM;17.5
1/3/17 3:00:00 AM;17.9
1/3/17 4:00:00 AM;19.5
1/3/17 5:00:00 AM;24.5
1/3/17 6:00:00 AM;23.1
1/3/17 7:00:00 AM;31.1
1/3/17 8:00:00 AM;40.7
1/3/17 9:00:00 AM;43.3
1/3/17 10:00:00 AM;45.4
1/3/17 11:00:00 AM;45.7
1/3/17 12:00:00 PM;44.9
1/3/17 1:00:00 PM;45.3
1/3/17 2:00:00 PM;45.5
1/3/17 3:00:00 PM;44.2
1/3/17 4:00:00 PM;42.7
1/3/17 5:00:00 PM;40.5
1/3/17 6:00:00 PM;27.2
1/3/17 7:00:00 PM;25.6
1/3/17 8:00:00 PM;24.3
1/3/17 9:00:00 PM;23.2
1/3/17 10:00:00 PM;24.4
1/3/17 11:00:00 PM;22.0
1/4/17 12:00:00 AM;21.5
1/4/17 1:00:00 AM;20.7
1/4/17 2:00:00 AM;21.6
1/4/17 3:00:00 AM;20.6
1/4/17 4:00:00 AM;21.6
1/4/17 5:00:00 AM;22.2
1/4/17 6:00:00 AM;26.4
1/4/17 7:00:00 AM;32.3
1/4/17 8:00:00 AM;40.9
1/4/17 9:00:00 AM;42.4
1/4/17 10:00:00 AM;46.2
1/4/17 11:00:00 AM;46.3
1/4/17 12:00:00 PM;45.2
1/4/17 1:00:00 PM;46.5
1/4/17 2:00:00 PM;46.1
1/4/17 3:00:00 PM;47.5
1/4/17 4:00:00 PM;47.0
1/4/17 5:00:00 PM;44.3
1/4/17 6:00:00 PM;31.2
1/4/17 7:00:00 PM;27.0
1/4/17 8:00:00 PM;26.3
1/4/17 9:00:00 PM;23.8
1/4/17 10:00:00 PM;24.9
1/4/17 11:00:00 PM;22.9
1/5/17 12:00:00 AM;21.1
1/5/17 1:00:00 AM;20.9
1/5/17 2:00:00 AM;21.6
1/5/17 3:00:00 AM;21.0
1/5/17 4:00:00 AM;22.5
1/5/17 5:00:00 AM;26.5
1/5/17 6:00:00 AM;27.6
1/5/17 7:00:00 AM;31.0
1/5/17 8:00:00 AM;39.7
1/5/17 9:00:00 AM;41.9
1/5/17 10:00:00 AM;42.9
1/5/17 11:00:00 AM;45.4
1/5/17 12:00:00 PM;44.5
1/5/17 1:00:00 PM;44.3
1/5/17 2:00:00 PM;45.5
1/5/17 3:00:00 PM;44.9
1/5/17 4:00:00 PM;45.5
1/5/17 5:00:00 PM;42.0
1/5/17 6:00:00 PM;28.5
1/5/17 7:00:00 PM;25.3
1/5/17 8:00:00 PM;24.9
1/5/17 9:00:00 PM;23.7
1/5/17 10:00:00 PM;23.3
1/5/17 11:00:00 PM;24.0
1/6/17 12:00:00 AM;22.3
1/6/17 1:00:00 AM;21.0
1/6/17 2:00:00 AM;21.2
1/6/17 3:00:00 AM;21.6
1/6/17 4:00:00 AM;22.7
1/6/17 5:00:00 AM;24.6
1/6/17 6:00:00 AM;24.3
1/6/17 7:00:00 AM;27.7
1/6/17 8:00:00 AM;44.3
1/6/17 9:00:00 AM;42.4
1/6/17 10:00:00 AM;43.9
1/6/17 11:00:00 AM;43.3
1/6/17 12:00:00 PM;44.1
1/6/17 1:00:00 PM;45.1
1/6/17 2:00:00 PM;44.7
1/6/17 3:00:00 PM;45.6
1/6/17 4:00:00 PM;43.0
1/6/17 5:00:00 PM;42.3
1/6/17 6:00:00 PM;23.3
1/6/17 7:00:00 PM;25.2
1/6/17 8:00:00 PM;23.9
1/6/17 9:00:00 PM;24.1
1/6/17 10:00:00 PM;23.8
1/6/17 11:00:00 PM;23.8
1/7/17 12:00:00 AM;21.2
1/7/17 1:00:00 AM;20.7
1/7/17 2:00:00 AM;21.3
1/7/17 3:00:00 AM;20.7
1/7/17 4:00:00 AM;20.9
1/7/17 5:00:00 AM;21.2
1/7/17 6:00:00 AM;15.5
1/7/17 7:00:00 AM;15.4
1/7/17 8:00:00 AM;15.6
1/7/17 9:00:00 AM;15.5
1/7/17 10:00:00 AM;16.9
1/7/17 11:00:00 AM;16.6
1/7/17 12:00:00 PM;17.3
1/7/17 1:00:00 PM;17.3
1/7/17 2:00:00 PM;17.7
1/7/17 3:00:00 PM;16.9
1/7/17 4:00:00 PM;16.8
1/7/17 5:00:00 PM;16.5
1/7/17 6:00:00 PM;25.1
1/7/17 7:00:00 PM;26.5
1/7/17 8:00:00 PM;23.5
1/7/17 9:00:00 PM;22.8
1/7/17 10:00:00 PM;23.6
1/7/17 11:00:00 PM;24.6
1/8/17 12:00:00 AM;21.2
1/8/17 1:00:00 AM;21.2
1/8/17 2:00:00 AM;21.7
1/8/17 3:00:00 AM;20.8
1/8/17 4:00:00 AM;20.9
1/8/17 5:00:00 AM;21.2
1/8/17 6:00:00 AM;16.0
1/8/17 7:00:00 AM;15.8
1/8/17 8:00:00 AM;15.1
1/8/17 9:00:00 AM;14.8
1/8/17 10:00:00 AM;16.6
1/8/17 11:00:00 AM;18.4
1/8/17 12:00:00 PM;17.4
1/8/17 1:00:00 PM;17.9
1/8/17 2:00:00 PM;18.2
1/8/17 3:00:00 PM;17.5
1/8/17 4:00:00 PM;17.8
1/8/17 5:00:00 PM;16.9
1/8/17 6:00:00 PM;20.7
1/8/17 7:00:00 PM;25.2
1/8/17 8:00:00 PM;24.3
1/8/17 9:00:00 PM;23.8
1/8/17 10:00:00 PM;23.2
1/8/17 11:00:00 PM;24.3
1/9/17 12:00:00 AM;21.8
1/9/17 1:00:00 AM;21.1
1/9/17 2:00:00 AM;21.2
1/9/17 3:00:00 AM;20.5
1/9/17 4:00:00 AM;20.7
1/9/17 5:00:00 AM;20.7
1/9/17 6:00:00 AM;24.5
1/9/17 7:00:00 AM;32.9
1/9/17 8:00:00 AM;41.8
1/9/17 9:00:00 AM;47.2
1/9/17 10:00:00 AM;49.9
