Year 2017
Date/time;CE002-Mains.Active energy (76731.7 kWh)
3/9/17 12:00:00 PM;23.3
3/9/17 1:00:00 PM;44.8
3/9/17 2:00:00 PM;48.1
3/9/17 3:00:00 PM;46.0
3/9/17 4:00:00 PM;40.0
3/9/17 5:00:00 PM;37.7
3/9/17 6:00:00 PM;37.0
3/9/17 7:00:00 PM;37.9
3/9/17 8:00:00 PM;33.3
3/9/17 9:00:00 PM;27.1
3/9/17 10:00:00 PM;26.2
3/9/17 11:00:00 PM;34.9
3/10/17 12:00:00 AM;34.7
3/10/17 1:00:00 AM;33.1
3/10/17 2:00:00 AM;33.2
3/10/17 3:00:00 AM;33.6
3/10/17 4:00:00 AM;33.1
3/10/17 5:00:00 AM;34.0
3/10/17 6:00:00 AM;46.8
3/10/17 7:00:00 AM;34.2
3/10/17 8:00:00 AM;38.2
3/10/17 9:00:00 AM;43.6
3/10/17 10:00:00 AM;45.2
3/10/17 11:00:00 AM;45.6
3/10/17 12:00:00 PM;41.5
3/10/17 1:00:00 PM;42.1
3/10/17 2:00:00 PM;43.6
3/10/17 3:00:00 PM;42.3
3/10/17 4:00:00 PM;37.8
3/10/17 5:00:00 PM;34.4
3/10/17 6:00:00 PM;32.6
3/10/17 7:00:00 PM;30.5
3/10/17 8:00:00 PM;28.8
3/10/17 9:00:00 PM;28.6
3/10/17 10:00:00 PM;24.2
3/10/17 11:00:00 PM;23.7
3/11/17 12:00:00 AM;24.2
3/11/17 1:00:00 AM;23.8
3/11/17 2:00:00 AM;24.8
3/11/17 3:00:00 AM;23.1
3/11/17 4:00:00 AM;22.7
3/11/17 5:00:00 AM;33.1
3/11/17 6:00:00 AM;31.7
3/11/17 7:00:00 AM;33.3
3/11/17 8:00:00 AM;32.9
3/11/17 9:00:00 AM;34.2
3/11/17 10:00:00 AM;39.5
3/11/17 11:00:00 AM;42.6
3/11/17 12:00:00 PM;43.5
3/11/17 1:00:00 PM;38.4
3/11/17 2:00:00 PM;23.6
3/11/17 3:00:00 PM;22.8
3/11/17 4:00:00 PM;22.2
3/11/17 5:00:00 PM;22.1
3/11/17 6:00:00 PM;25.2
3/11/17 7:00:00 PM;32.6
3/11/17 8:00:00 PM;32.0
3/11/17 9:00:00 PM;31.9
3/11/17 10:00:00 PM;31.0
3/11/17 11:00:00 PM;28.2
3/12/17 12:00:00 AM;24.3
3/12/17 1:00:00 AM;23.8
3/12/17 2:00:00 AM;24.3
3/12/17 3:00:00 AM;23.5
3/12/17 4:00:00 AM;22.4
3/12/17 5:00:00 AM;23.2
3/12/17 6:00:00 AM;19.9
3/12/17 7:00:00 AM;19.9
3/12/17 8:00:00 AM;21.3
3/12/17 9:00:00 AM;22.2
3/12/17 10:00:00 AM;34.6
3/12/17 11:00:00 AM;37.6
3/12/17 12:00:00 PM;28.6
3/12/17 1:00:00 PM;23.6
3/12/17 2:00:00 PM;24.0
3/12/17 3:00:00 PM;28.0
3/12/17 4:00:00 PM;27.6
3/12/17 5:00:00 PM;25.6
3/12/17 6:00:00 PM;28.8
3/12/17 7:00:00 PM;25.9
3/12/17 8:00:00 PM;24.5
3/12/17 9:00:00 PM;34.8
3/12/17 10:00:00 PM;37.0
3/12/17 11:00:00 PM;36.1
3/13/17 12:00:00 AM;29.8
3/13/17 1:00:00 AM;24.4
3/13/17 2:00:00 AM;24.2
3/13/17 3:00:00 AM;24.8
3/13/17 4:00:00 AM;24.2
3/13/17 5:00:00 AM;23.3
3/13/17 6:00:00 AM;32.8
3/13/17 7:00:00 AM;33.0
3/13/17 8:00:00 AM;40.3
