Year 2008
Date/time;DD014 (Electrical Engineering)-Mains.Active energy (538284.7 kWh)
2/28/08 2:00:00 PM;59.4
2/28/08 3:00:00 PM;116.7
2/28/08 4:00:00 PM;112.1
2/28/08 5:00:00 PM;102.8
2/28/08 6:00:00 PM;102.0
2/28/08 7:00:00 PM;99.5
2/28/08 8:00:00 PM;97.8
2/28/08 9:00:00 PM;96.8
2/28/08 10:00:00 PM;96.1
2/28/08 11:00:00 PM;96.2
2/29/08 12:00:00 AM;98.1
2/29/08 1:00:00 AM;95.3
2/29/08 2:00:00 AM;96.1
2/29/08 3:00:00 AM;96.0
2/29/08 4:00:00 AM;95.0
2/29/08 5:00:00 AM;96.7
2/29/08 6:00:00 AM;95.3
2/29/08 7:00:00 AM;98.1
2/29/08 8:00:00 AM;100.6
2/29/08 9:00:00 AM;106.5
2/29/08 10:00:00 AM;107.9
2/29/08 11:00:00 AM;113.8
2/29/08 12:00:00 PM;115.4
2/29/08 1:00:00 PM;118.8
2/29/08 2:00:00 PM;119.2
2/29/08 3:00:00 PM;119.9
2/29/08 4:00:00 PM;114.6
2/29/08 5:00:00 PM;108.4
2/29/08 6:00:00 PM;104.7
2/29/08 7:00:00 PM;101.0
2/29/08 8:00:00 PM;101.0
2/29/08 9:00:00 PM;99.6
2/29/08 10:00:00 PM;98.6
2/29/08 11:00:00 PM;98.8
3/1/08 12:00:00 AM;95.9
3/1/08 1:00:00 AM;97.0
3/1/08 2:00:00 AM;96.3
3/1/08 3:00:00 AM;95.9
3/1/08 4:00:00 AM;94.6
3/1/08 5:00:00 AM;95.4
3/1/08 6:00:00 AM;93.8
3/1/08 7:00:00 AM;94.6
3/1/08 8:00:00 AM;95.3
3/1/08 9:00:00 AM;99.1
3/1/08 10:00:00 AM;99.9
3/1/08 11:00:00 AM;101.6
3/1/08 12:00:00 PM;103.1
3/1/08 1:00:00 PM;102.1
3/1/08 2:00:00 PM;101.1
3/1/08 3:00:00 PM;99.8
3/1/08 4:00:00 PM;102.7
3/1/08 5:00:00 PM;100.3
3/1/08 6:00:00 PM;98.8
3/1/08 7:00:00 PM;98.6
3/1/08 8:00:00 PM;96.7
3/1/08 9:00:00 PM;98.6
3/1/08 10:00:00 PM;97.7
3/1/08 11:00:00 PM;95.6
3/2/08 12:00:00 AM;96.0
3/2/08 1:00:00 AM;96.0
3/2/08 2:00:00 AM;96.2
3/2/08 3:00:00 AM;95.9
3/2/08 4:00:00 AM;94.4
3/2/08 5:00:00 AM;94.6
3/2/08 6:00:00 AM;93.4
3/2/08 7:00:00 AM;93.9
3/2/08 8:00:00 AM;94.5
3/2/08 9:00:00 AM;95.4
3/2/08 10:00:00 AM;97.5
3/2/08 11:00:00 AM;99.6
3/2/08 12:00:00 PM;99.7
3/2/08 1:00:00 PM;98.6
3/2/08 2:00:00 PM;96.7
3/2/08 3:00:00 PM;95.6
3/2/08 4:00:00 PM;96.1
3/2/08 5:00:00 PM;95.2
3/2/08 6:00:00 PM;95.1
3/2/08 7:00:00 PM;95.6
3/2/08 8:00:00 PM;95.9
3/2/08 9:00:00 PM;94.1
3/2/08 10:00:00 PM;94.4
3/2/08 11:00:00 PM;94.7
3/3/08 12:00:00 AM;93.1
3/3/08 1:00:00 AM;94.3
3/3/08 2:00:00 AM;94.1
3/3/08 3:00:00 AM;92.9
3/3/08 4:00:00 AM;92.7
3/3/08 5:00:00 AM;91.9
3/3/08 6:00:00 AM;86.4
3/3/08 7:00:00 AM;96.7
3/3/08 8:00:00 AM;95.0
3/3/08 9:00:00 AM;91.1
3/3/08 10:00:00 AM;97.9
3/3/08 11:00:00 AM;102.3
3/3/08 12:00:00 PM;101.8
3/3/08 1:00:00 PM;105.1
3/3/08 2:00:00 PM;104.0
3/3/08 3:00:00 PM;104.7
3/3/08 4:00:00 PM;102.8
3/3/08 5:00:00 PM;89.4
3/3/08 6:00:00 PM;86.5
3/3/08 7:00:00 PM;87.8
3/3/08 8:00:00 PM;81.9
3/3/08 9:00:00 PM;81.8
3/3/08 10:00:00 PM;81.2
3/3/08 11:00:00 PM;80.0
3/4/08 12:00:00 AM;82.4
3/4/08 1:00:00 AM;79.5
3/4/08 2:00:00 AM;80.0
3/4/08 3:00:00 AM;79.8
3/4/08 4:00:00 AM;80.0
3/4/08 5:00:00 AM;79.1
3/4/08 6:00:00 AM;76.5
3/4/08 7:00:00 AM;84.6
3/4/08 8:00:00 AM;88.7
3/4/08 9:00:00 AM;98.4
3/4/08 10:00:00 AM;102.4
3/4/08 11:00:00 AM;104.9
3/4/08 12:00:00 PM;106.6
3/4/08 1:00:00 PM;104.3
3/4/08 2:00:00 PM;105.6
3/4/08 3:00:00 PM;103.0
3/4/08 4:00:00 PM;100.1
3/4/08 5:00:00 PM;85.6
3/4/08 6:00:00 PM;85.3
3/4/08 7:00:00 PM;83.4
3/4/08 8:00:00 PM;84.5
3/4/08 9:00:00 PM;82.4
3/4/08 10:00:00 PM;80.9
3/4/08 11:00:00 PM;76.8
3/5/08 12:00:00 AM;77.1
3/5/08 1:00:00 AM;76.8
3/5/08 2:00:00 AM;77.5
3/5/08 3:00:00 AM;73.3
3/5/08 4:00:00 AM;73.7
3/5/08 5:00:00 AM;73.1
3/5/08 6:00:00 AM;74.9
3/5/08 7:00:00 AM;86.0
3/5/08 8:00:00 AM;89.7
3/5/08 9:00:00 AM;95.7
3/5/08 10:00:00 AM;98.5
3/5/08 11:00:00 AM;104.3
3/5/08 12:00:00 PM;108.8
3/5/08 1:00:00 PM;104.9
3/5/08 2:00:00 PM;106.4
3/5/08 3:00:00 PM;99.8
3/5/08 4:00:00 PM;98.3
3/5/08 5:00:00 PM;83.1
3/5/08 6:00:00 PM;85.0
3/5/08 7:00:00 PM;82.4
3/5/08 8:00:00 PM;82.9
3/5/08 9:00:00 PM;81.6
3/5/08 10:00:00 PM;80.8
3/5/08 11:00:00 PM;79.2
3/6/08 12:00:00 AM;80.2
3/6/08 1:00:00 AM;78.8
3/6/08 2:00:00 AM;79.9
3/6/08 3:00:00 AM;79.2
3/6/08 4:00:00 AM;76.5
3/6/08 5:00:00 AM;76.9
3/6/08 6:00:00 AM;80.0
3/6/08 7:00:00 AM;84.2
3/6/08 8:00:00 AM;92.1
3/6/08 9:00:00 AM;98.4
3/6/08 10:00:00 AM;103.3
3/6/08 11:00:00 AM;104.3
3/6/08 12:00:00 PM;102.2
3/6/08 1:00:00 PM;105.1
3/6/08 2:00:00 PM;108.5
3/6/08 3:00:00 PM;107.3
3/6/08 4:00:00 PM;103.8
3/6/08 5:00:00 PM;91.0
3/6/08 6:00:00 PM;88.5
3/6/08 7:00:00 PM;86.5
3/6/08 8:00:00 PM;85.2
3/6/08 9:00:00 PM;83.6
3/6/08 10:00:00 PM;84.0
3/6/08 11:00:00 PM;83.2
3/7/08 12:00:00 AM;83.4
3/7/08 1:00:00 AM;80.9
3/7/08 2:00:00 AM;82.7
3/7/08 3:00:00 AM;81.6
3/7/08 4:00:00 AM;81.8
3/7/08 5:00:00 AM;79.6
3/7/08 6:00:00 AM;82.5
3/7/08 7:00:00 AM;85.2
3/7/08 8:00:00 AM;91.2
3/7/08 9:00:00 AM;101.8
3/7/08 10:00:00 AM;104.7
3/7/08 11:00:00 AM;107.9
3/7/08 12:00:00 PM;110.8
3/7/08 1:00:00 PM;110.7
3/7/08 2:00:00 PM;109.8
3/7/08 3:00:00 PM;106.4
3/7/08 4:00:00 PM;100.2
3/7/08 5:00:00 PM;88.3
3/7/08 6:00:00 PM;83.7
3/7/08 7:00:00 PM;81.6
3/7/08 8:00:00 PM;81.4
3/7/08 9:00:00 PM;79.7
3/7/08 10:00:00 PM;79.6
3/7/08 11:00:00 PM;76.0
3/8/08 12:00:00 AM;77.2
3/8/08 1:00:00 AM;78.5
3/8/08 2:00:00 AM;75.5
3/8/08 3:00:00 AM;74.0
3/8/08 4:00:00 AM;75.1
3/8/08 5:00:00 AM;74.2
3/8/08 6:00:00 AM;71.4
3/8/08 7:00:00 AM;73.3
3/8/08 8:00:00 AM;75.9
3/8/08 9:00:00 AM;79.1
3/8/08 10:00:00 AM;80.4
3/8/08 11:00:00 AM;83.0
3/8/08 12:00:00 PM;83.5
3/8/08 1:00:00 PM;80.7
3/8/08 2:00:00 PM;82.3
3/8/08 3:00:00 PM;82.8
3/8/08 4:00:00 PM;82.1
3/8/08 5:00:00 PM;80.5
3/8/08 6:00:00 PM;79.7
3/8/08 7:00:00 PM;81.0
3/8/08 8:00:00 PM;78.8
3/8/08 9:00:00 PM;81.0
3/8/08 10:00:00 PM;76.9
3/8/08 11:00:00 PM;78.2
3/9/08 12:00:00 AM;76.3
3/9/08 1:00:00 AM;74.2
3/9/08 2:00:00 AM;73.7
3/9/08 3:00:00 AM;74.9
3/9/08 4:00:00 AM;74.7
3/9/08 5:00:00 AM;72.7
3/9/08 6:00:00 AM;73.1
3/9/08 7:00:00 AM;74.3
3/9/08 8:00:00 AM;75.0
3/9/08 9:00:00 AM;79.3
3/9/08 10:00:00 AM;79.4
3/9/08 11:00:00 AM;81.9
3/9/08 12:00:00 PM;84.0
3/9/08 1:00:00 PM;85.1
3/9/08 2:00:00 PM;87.3
3/9/08 3:00:00 PM;85.4
3/9/08 4:00:00 PM;85.3
3/9/08 5:00:00 PM;85.3
3/9/08 6:00:00 PM;82.9
3/9/08 7:00:00 PM;82.1
3/9/08 8:00:00 PM;79.0
3/9/08 9:00:00 PM;81.8
3/9/08 10:00:00 PM;77.8
3/9/08 11:00:00 PM;79.7
3/10/08 12:00:00 AM;76.7
3/10/08 1:00:00 AM;76.7
3/10/08 2:00:00 AM;75.9
3/10/08 3:00:00 AM;75.7
3/10/08 4:00:00 AM;76.3
3/10/08 5:00:00 AM;74.0
3/10/08 6:00:00 AM;80.1
3/10/08 7:00:00 AM;83.7
3/10/08 8:00:00 AM;86.6
3/10/08 9:00:00 AM;98.6
3/10/08 10:00:00 AM;106.2
3/10/08 11:00:00 AM;110.5
3/10/08 12:00:00 PM;114.2
3/10/08 1:00:00 PM;117.7
3/10/08 2:00:00 PM;119.0
3/10/08 3:00:00 PM;115.6
3/10/08 4:00:00 PM;111.5
3/10/08 5:00:00 PM;99.9
3/10/08 6:00:00 PM;94.4
3/10/08 7:00:00 PM;92.8
3/10/08 8:00:00 PM;92.0
3/10/08 9:00:00 PM;88.0
3/10/08 10:00:00 PM;88.1
3/10/08 11:00:00 PM;87.3
3/11/08 12:00:00 AM;86.5
3/11/08 1:00:00 AM;82.6
3/11/08 2:00:00 AM;83.3
3/11/08 3:00:00 AM;82.3
3/11/08 4:00:00 AM;79.8
3/11/08 5:00:00 AM;79.8
3/11/08 6:00:00 AM;83.0
3/11/08 7:00:00 AM;88.6
3/11/08 8:00:00 AM;93.9
3/11/08 9:00:00 AM;103.7
3/11/08 10:00:00 AM;112.0
3/11/08 11:00:00 AM;109.5
3/11/08 12:00:00 PM;114.8
3/11/08 1:00:00 PM;118.1
3/11/08 2:00:00 PM;119.6
3/11/08 3:00:00 PM;114.4
3/11/08 4:00:00 PM;108.3
3/11/08 5:00:00 PM;99.1
3/11/08 6:00:00 PM;96.3
3/11/08 7:00:00 PM;91.5
