Year 2008
Date/time;DA027 (Commerce Economics)-Light and Power.Active energy (40269.8 kWh)
10/4/08 11:00:00 AM;4.8
10/4/08 12:00:00 PM;6.3
10/4/08 1:00:00 PM;6.8
10/4/08 2:00:00 PM;7.1
10/4/08 3:00:00 PM;7.2
10/4/08 4:00:00 PM;5.8
10/4/08 5:00:00 PM;4.4
10/4/08 6:00:00 PM;7.2
10/4/08 7:00:00 PM;6.2
10/4/08 8:00:00 PM;6.4
10/4/08 9:00:00 PM;6.2
10/4/08 10:00:00 PM;6.3
10/4/08 11:00:00 PM;6.9
10/5/08 12:00:00 AM;6.7
10/5/08 1:00:00 AM;5.6
10/5/08 2:00:00 AM;5.9
10/5/08 3:00:00 AM;5.6
10/5/08 4:00:00 AM;5.6
10/5/08 5:00:00 AM;5.9
10/5/08 6:00:00 AM;3.3
10/5/08 7:00:00 AM;3.4
10/5/08 8:00:00 AM;4.4
10/5/08 9:00:00 AM;4.9
10/5/08 10:00:00 AM;7.2
10/5/08 11:00:00 AM;8.0
10/5/08 12:00:00 PM;7.0
10/5/08 1:00:00 PM;7.0
10/5/08 2:00:00 PM;8.3
10/5/08 3:00:00 PM;8.6
10/5/08 4:00:00 PM;5.8
10/5/08 5:00:00 PM;5.3
10/5/08 6:00:00 PM;7.2
10/5/08 7:00:00 PM;7.1
10/5/08 8:00:00 PM;7.3
10/5/08 9:00:00 PM;6.7
10/5/08 10:00:00 PM;7.5
10/5/08 11:00:00 PM;5.9
10/6/08 12:00:00 AM;5.9
10/6/08 1:00:00 AM;5.9
10/6/08 2:00:00 AM;6.5
10/6/08 3:00:00 AM;6.3
10/6/08 4:00:00 AM;6.4
10/6/08 5:00:00 AM;6.9
10/6/08 6:00:00 AM;5.7
10/6/08 7:00:00 AM;6.7
10/6/08 8:00:00 AM;12.6
10/6/08 9:00:00 AM;18.0
10/6/08 10:00:00 AM;18.4
10/6/08 11:00:00 AM;20.1
10/6/08 12:00:00 PM;19.5
10/6/08 1:00:00 PM;18.9
10/6/08 2:00:00 PM;19.0
10/6/08 3:00:00 PM;18.3
10/6/08 4:00:00 PM;16.8
10/6/08 5:00:00 PM;14.4
10/6/08 6:00:00 PM;13.8
10/6/08 7:00:00 PM;10.1
10/6/08 8:00:00 PM;8.6
10/6/08 9:00:00 PM;8.6
10/6/08 10:00:00 PM;8.5
10/6/08 11:00:00 PM;6.2
10/7/08 12:00:00 AM;6.0
10/7/08 1:00:00 AM;6.3
10/7/08 2:00:00 AM;6.9
10/7/08 3:00:00 AM;7.2
10/7/08 4:00:00 AM;6.9
10/7/08 5:00:00 AM;7.6
10/7/08 6:00:00 AM;5.5
10/7/08 7:00:00 AM;8.8
10/7/08 8:00:00 AM;14.7
10/7/08 9:00:00 AM;20.4
10/7/08 10:00:00 AM;20.2
10/7/08 11:00:00 AM;21.3
10/7/08 12:00:00 PM;21.1
10/7/08 1:00:00 PM;21.2
10/7/08 2:00:00 PM;24.2
10/7/08 3:00:00 PM;39.5
10/7/08 4:00:00 PM;35.8
10/7/08 5:00:00 PM;29.7
10/7/08 6:00:00 PM;24.9
10/7/08 7:00:00 PM;21.0
10/7/08 8:00:00 PM;18.9
10/7/08 9:00:00 PM;16.1
10/7/08 10:00:00 PM;13.9
10/7/08 11:00:00 PM;13.8
10/8/08 12:00:00 AM;13.4
10/8/08 1:00:00 AM;13.1
10/8/08 2:00:00 AM;13.0
10/8/08 3:00:00 AM;13.3
10/8/08 4:00:00 AM;14.1
10/8/08 5:00:00 AM;15.7
10/8/08 6:00:00 AM;9.8
10/8/08 7:00:00 AM;15.5
10/8/08 8:00:00 AM;23.4
10/8/08 9:00:00 AM;33.2
10/8/08 10:00:00 AM;37.3
10/8/08 11:00:00 AM;38.9
10/8/08 12:00:00 PM;41.4
10/8/08 1:00:00 PM;42.0
10/8/08 2:00:00 PM;40.2
10/8/08 3:00:00 PM;37.5
