Year 2009
Date/time;DB039 (Medical School)-Mains.Active energy (1277503.0 kWh)
1/1/09 12:00:00 AM;105.3
1/1/09 1:00:00 AM;109.2
1/1/09 2:00:00 AM;98.9
1/1/09 3:00:00 AM;105.2
1/1/09 4:00:00 AM;115.0
1/1/09 5:00:00 AM;141.7
1/1/09 6:00:00 AM;280.0
1/1/09 7:00:00 AM;273.8
1/1/09 8:00:00 AM;268.4
1/1/09 9:00:00 AM;274.4
1/1/09 10:00:00 AM;273.0
1/1/09 11:00:00 AM;277.9
1/1/09 12:00:00 PM;280.7
1/1/09 1:00:00 PM;279.0
1/1/09 2:00:00 PM;285.7
1/1/09 3:00:00 PM;280.4
1/1/09 4:00:00 PM;266.7
1/1/09 5:00:00 PM;261.3
1/1/09 6:00:00 PM;170.2
1/1/09 7:00:00 PM;164.0
1/1/09 8:00:00 PM;135.0
1/1/09 9:00:00 PM;127.8
1/1/09 10:00:00 PM;124.0
1/1/09 11:00:00 PM;117.1
1/2/09 12:00:00 AM;121.4
1/2/09 1:00:00 AM;117.1
1/2/09 2:00:00 AM;101.7
1/2/09 3:00:00 AM;100.7
1/2/09 4:00:00 AM;105.3
1/2/09 5:00:00 AM;142.1
1/2/09 6:00:00 AM;273.1
1/2/09 7:00:00 AM;263.2
1/2/09 8:00:00 AM;258.7
1/2/09 9:00:00 AM;262.6
1/2/09 10:00:00 AM;267.2
1/2/09 11:00:00 AM;276.1
1/2/09 12:00:00 PM;282.8
1/2/09 1:00:00 PM;285.5
1/2/09 2:00:00 PM;291.6
1/2/09 3:00:00 PM;288.9
1/2/09 4:00:00 PM;279.0
1/2/09 5:00:00 PM;265.7
1/2/09 6:00:00 PM;174.4
1/2/09 7:00:00 PM;167.8
1/2/09 8:00:00 PM;134.0
1/2/09 9:00:00 PM;130.0
1/2/09 10:00:00 PM;130.4
1/2/09 11:00:00 PM;218.3
1/3/09 12:00:00 AM;272.2
1/3/09 1:00:00 AM;159.0
1/3/09 2:00:00 AM;101.7
1/3/09 3:00:00 AM;101.2
1/3/09 4:00:00 AM;99.8
1/3/09 5:00:00 AM;116.4
1/3/09 6:00:00 AM;127.8
1/3/09 7:00:00 AM;123.9
1/3/09 8:00:00 AM;129.8
1/3/09 9:00:00 AM;128.7
1/3/09 10:00:00 AM;126.1
1/3/09 11:00:00 AM;133.0
1/3/09 12:00:00 PM;133.7
1/3/09 1:00:00 PM;156.2
1/3/09 2:00:00 PM;163.9
1/3/09 3:00:00 PM;142.3
1/3/09 4:00:00 PM;138.3
1/3/09 5:00:00 PM;135.4
1/3/09 6:00:00 PM;153.9
1/3/09 7:00:00 PM;164.5
1/3/09 8:00:00 PM;157.1
1/3/09 9:00:00 PM;152.2
1/3/09 10:00:00 PM;132.3
1/3/09 11:00:00 PM;121.5
1/4/09 12:00:00 AM;121.0
1/4/09 1:00:00 AM;122.2
1/4/09 2:00:00 AM;118.7
1/4/09 3:00:00 AM;102.8
1/4/09 4:00:00 AM;267.6
1/4/09 5:00:00 AM;117.9
1/4/09 6:00:00 AM;128.0
1/4/09 7:00:00 AM;122.4
1/4/09 8:00:00 AM;129.4
1/4/09 9:00:00 AM;127.1
1/4/09 10:00:00 AM;125.6
1/4/09 11:00:00 AM;138.4
1/4/09 12:00:00 PM;158.8
1/4/09 1:00:00 PM;155.3
1/4/09 2:00:00 PM;155.1
1/4/09 3:00:00 PM;142.4
1/4/09 4:00:00 PM;142.1
1/4/09 5:00:00 PM;156.4
1/4/09 6:00:00 PM;171.4
1/4/09 7:00:00 PM;141.8
1/4/09 8:00:00 PM;137.2
1/4/09 9:00:00 PM;127.6
1/4/09 10:00:00 PM;122.6
1/4/09 11:00:00 PM;102.6
1/5/09 12:00:00 AM;88.7
1/5/09 1:00:00 AM;179.8
1/5/09 2:00:00 AM;265.8
1/5/09 3:00:00 AM;161.0
1/5/09 4:00:00 AM;112.0
1/5/09 5:00:00 AM;158.8
1/5/09 6:00:00 AM;309.5
1/5/09 7:00:00 AM;304.2
1/5/09 8:00:00 AM;311.9
1/5/09 9:00:00 AM;325.7
1/5/09 10:00:00 AM;332.3
1/5/09 11:00:00 AM;326.2
1/5/09 12:00:00 PM;327.8
1/5/09 1:00:00 PM;371.1
1/5/09 2:00:00 PM;373.9
1/5/09 3:00:00 PM;366.9
1/5/09 4:00:00 PM;365.1
1/5/09 5:00:00 PM;331.7
1/5/09 6:00:00 PM;217.1
1/5/09 7:00:00 PM;188.5
1/5/09 8:00:00 PM;154.9
1/5/09 9:00:00 PM;145.8
1/5/09 10:00:00 PM;144.8
