Year 2010
Date/time;018 (Library)-Mains.Active energy (1201311.8 kWh)
1/1/10 12:00:00 AM;38.1
1/1/10 1:00:00 AM;37.4
1/1/10 2:00:00 AM;36.4
1/1/10 3:00:00 AM;37.5
1/1/10 4:00:00 AM;39.6
1/1/10 5:00:00 AM;39.3
1/1/10 6:00:00 AM;41.6
1/1/10 7:00:00 AM;38.3
1/1/10 8:00:00 AM;36.8
1/1/10 9:00:00 AM;40.4
1/1/10 10:00:00 AM;36.9
1/1/10 11:00:00 AM;38.1
1/1/10 12:00:00 PM;41.5
1/1/10 1:00:00 PM;38.3
1/1/10 2:00:00 PM;40.8
1/1/10 3:00:00 PM;39.3
1/1/10 4:00:00 PM;36.8
1/1/10 5:00:00 PM;36.2
1/1/10 6:00:00 PM;35.3
1/1/10 7:00:00 PM;40.5
1/1/10 8:00:00 PM;37.0
1/1/10 9:00:00 PM;40.1
1/1/10 10:00:00 PM;36.7
1/1/10 11:00:00 PM;38.0
1/2/10 12:00:00 AM;39.4
1/2/10 1:00:00 AM;35.8
1/2/10 2:00:00 AM;57.9
1/2/10 3:00:00 AM;39.3
1/2/10 4:00:00 AM;36.5
1/2/10 5:00:00 AM;36.3
1/2/10 6:00:00 AM;37.2
1/2/10 7:00:00 AM;36.1
1/2/10 8:00:00 AM;34.2
1/2/10 9:00:00 AM;45.3
1/2/10 10:00:00 AM;72.6
1/2/10 11:00:00 AM;38.3
1/2/10 12:00:00 PM;39.2
1/2/10 1:00:00 PM;40.8
1/2/10 2:00:00 PM;38.8
1/2/10 3:00:00 PM;41.4
1/2/10 4:00:00 PM;35.9
1/2/10 5:00:00 PM;36.7
1/2/10 6:00:00 PM;36.3
1/2/10 7:00:00 PM;36.7
1/2/10 8:00:00 PM;40.8
1/2/10 9:00:00 PM;36.5
1/2/10 10:00:00 PM;39.3
1/2/10 11:00:00 PM;37.2
1/3/10 12:00:00 AM;38.9
1/3/10 1:00:00 AM;38.4
1/3/10 2:00:00 AM;37.4
1/3/10 3:00:00 AM;79.3
1/3/10 4:00:00 AM;39.4
1/3/10 5:00:00 AM;36.3
1/3/10 6:00:00 AM;34.9
1/3/10 7:00:00 AM;37.6
1/3/10 8:00:00 AM;34.3
1/3/10 9:00:00 AM;36.2
1/3/10 10:00:00 AM;39.5
1/3/10 11:00:00 AM;38.9
1/3/10 12:00:00 PM;41.8
1/3/10 1:00:00 PM;41.4
1/3/10 2:00:00 PM;45.2
1/3/10 3:00:00 PM;47.1
1/3/10 4:00:00 PM;103.8
1/3/10 5:00:00 PM;36.8
1/3/10 6:00:00 PM;36.5
1/3/10 7:00:00 PM;43.8
1/3/10 8:00:00 PM;40.5
1/3/10 9:00:00 PM;41.1
1/3/10 10:00:00 PM;39.0
1/3/10 11:00:00 PM;37.5
