Year 2010
Date/time;DB025 (Nursing Science)-Mains.Active energy (270985.1 kWh)
1/1/10 12:00:00 AM;14.2
1/1/10 1:00:00 AM;14.3
1/1/10 2:00:00 AM;13.7
1/1/10 3:00:00 AM;13.9
1/1/10 4:00:00 AM;13.7
1/1/10 5:00:00 AM;12.5
1/1/10 6:00:00 AM;10.4
1/1/10 7:00:00 AM;8.4
1/1/10 8:00:00 AM;9.6
1/1/10 9:00:00 AM;8.5
1/1/10 10:00:00 AM;8.7
1/1/10 11:00:00 AM;9.5
1/1/10 12:00:00 PM;8.9
1/1/10 1:00:00 PM;8.8
1/1/10 2:00:00 PM;8.6
1/1/10 3:00:00 PM;8.6
1/1/10 4:00:00 PM;8.8
1/1/10 5:00:00 PM;8.8
1/1/10 6:00:00 PM;9.6
1/1/10 7:00:00 PM;12.3
1/1/10 8:00:00 PM;14.4
1/1/10 9:00:00 PM;14.2
1/1/10 10:00:00 PM;14.2
1/1/10 11:00:00 PM;13.8
1/2/10 12:00:00 AM;13.7
1/2/10 1:00:00 AM;13.4
1/2/10 2:00:00 AM;13.5
1/2/10 3:00:00 AM;13.3
1/2/10 4:00:00 AM;13.6
1/2/10 5:00:00 AM;11.9
1/2/10 6:00:00 AM;10.1
1/2/10 7:00:00 AM;8.4
1/2/10 8:00:00 AM;8.7
1/2/10 9:00:00 AM;10.1
1/2/10 10:00:00 AM;9.2
1/2/10 11:00:00 AM;8.5
1/2/10 12:00:00 PM;8.4
1/2/10 1:00:00 PM;8.4
1/2/10 2:00:00 PM;8.7
1/2/10 3:00:00 PM;11.0
1/2/10 4:00:00 PM;11.5
1/2/10 5:00:00 PM;8.7
1/2/10 6:00:00 PM;9.7
1/2/10 7:00:00 PM;13.0
1/2/10 8:00:00 PM;13.9
1/2/10 9:00:00 PM;14.5
1/2/10 10:00:00 PM;14.4
1/2/10 11:00:00 PM;13.5
1/3/10 12:00:00 AM;13.8
1/3/10 1:00:00 AM;13.4
1/3/10 2:00:00 AM;13.6
1/3/10 3:00:00 AM;13.4
1/3/10 4:00:00 AM;13.5
1/3/10 5:00:00 AM;12.4
1/3/10 6:00:00 AM;10.6
1/3/10 7:00:00 AM;8.6
1/3/10 8:00:00 AM;8.5
1/3/10 9:00:00 AM;8.9
1/3/10 10:00:00 AM;9.8
1/3/10 11:00:00 AM;8.5
1/3/10 12:00:00 PM;8.5
1/3/10 1:00:00 PM;8.5
1/3/10 2:00:00 PM;8.5
1/3/10 3:00:00 PM;8.9
1/3/10 4:00:00 PM;8.5
1/3/10 5:00:00 PM;9.8
1/3/10 6:00:00 PM;9.7
1/3/10 7:00:00 PM;12.4
1/3/10 8:00:00 PM;14.3
