Year 2011
Date/time;DB031 (Immunogenetics)-Mains.Active energy [Ergon:Peak] (294674.4 kWh);DB031 (Immunogenetics)-Mains.Active energy [Ergon:Off-Peak] (0.0 kWh)
1/1/11 12:00:00 AM;20.4;0.0
1/1/11 1:00:00 AM;21.0;0.0
1/1/11 2:00:00 AM;20.4;0.0
1/1/11 3:00:00 AM;20.6;0.0
1/1/11 4:00:00 AM;20.8;0.0
1/1/11 5:00:00 AM;20.3;0.0
1/1/11 6:00:00 AM;19.6;0.0
1/1/11 7:00:00 AM;20.5;0.0
1/1/11 8:00:00 AM;19.8;0.0
1/1/11 9:00:00 AM;20.1;0.0
1/1/11 10:00:00 AM;20.4;0.0
1/1/11 11:00:00 AM;21.3;0.0
1/1/11 12:00:00 PM;21.3;0.0
1/1/11 1:00:00 PM;21.2;0.0
1/1/11 2:00:00 PM;21.6;0.0
1/1/11 3:00:00 PM;22.8;0.0
1/1/11 4:00:00 PM;22.3;0.0
1/1/11 5:00:00 PM;22.4;0.0
1/1/11 6:00:00 PM;22.4;0.0
1/1/11 7:00:00 PM;22.9;0.0
1/1/11 8:00:00 PM;22.6;0.0
1/1/11 9:00:00 PM;22.8;0.0
1/1/11 10:00:00 PM;22.4;0.0
1/1/11 11:00:00 PM;22.0;0.0
1/2/11 12:00:00 AM;21.6;0.0
1/2/11 1:00:00 AM;23.2;0.0
1/2/11 2:00:00 AM;30.2;0.0
1/2/11 3:00:00 AM;20.2;0.0
1/2/11 4:00:00 AM;20.8;0.0
1/2/11 5:00:00 AM;20.0;0.0
1/2/11 6:00:00 AM;19.7;0.0
1/2/11 7:00:00 AM;19.7;0.0
1/2/11 8:00:00 AM;21.2;0.0
1/2/11 9:00:00 AM;20.6;0.0
1/2/11 10:00:00 AM;20.2;0.0
1/2/11 11:00:00 AM;21.9;0.0
1/2/11 12:00:00 PM;20.1;0.0
1/2/11 1:00:00 PM;20.1;0.0
1/2/11 2:00:00 PM;20.3;0.0
1/2/11 3:00:00 PM;20.9;0.0
1/2/11 4:00:00 PM;21.1;0.0
1/2/11 5:00:00 PM;20.9;0.0
1/2/11 6:00:00 PM;20.7;0.0
1/2/11 7:00:00 PM;20.8;0.0
1/2/11 8:00:00 PM;21.4;0.0
1/2/11 9:00:00 PM;21.2;0.0
1/2/11 10:00:00 PM;21.4;0.0
1/2/11 11:00:00 PM;20.3;0.0
1/3/11 12:00:00 AM;20.3;0.0
1/3/11 1:00:00 AM;20.5;0.0
1/3/11 2:00:00 AM;20.4;0.0
1/3/11 3:00:00 AM;20.1;0.0
1/3/11 4:00:00 AM;20.1;0.0
1/3/11 5:00:00 AM;20.4;0.0
1/3/11 6:00:00 AM;19.1;0.0
1/3/11 7:00:00 AM;24.1;0.0
1/3/11 8:00:00 AM;60.6;0.0
1/3/11 9:00:00 AM;40.6;0.0
1/3/11 10:00:00 AM;44.9;0.0
1/3/11 11:00:00 AM;62.5;0.0
1/3/11 12:00:00 PM;46.3;0.0
1/3/11 1:00:00 PM;25.5;0.0
1/3/11 2:00:00 PM;22.3;0.0
1/3/11 3:00:00 PM;21.7;0.0
1/3/11 4:00:00 PM;21.3;0.0
1/3/11 5:00:00 PM;20.8;0.0
1/3/11 6:00:00 PM;20.9;0.0
1/3/11 7:00:00 PM;22.6;0.0
1/3/11 8:00:00 PM;21.8;0.0
1/3/11 9:00:00 PM;21.2;0.0
1/3/11 10:00:00 PM;22.3;0.0
1/3/11 11:00:00 PM;20.7;0.0
1/4/11 12:00:00 AM;20.4;0.0
1/4/11 1:00:00 AM;20.3;0.0
1/4/11 2:00:00 AM;20.1;0.0
1/4/11 3:00:00 AM;18.3;0.0
1/4/11 4:00:00 AM;19.1;0.0
1/4/11 5:00:00 AM;20.7;0.0
1/4/11 6:00:00 AM;19.0;0.0
