Year 2012
Date/time;017 (Physics Maths)-Mains.Active energy (35108.0 kWh)
12/1/12 9:00:00 AM;
12/1/12 10:00:00 AM;37.4
12/1/12 11:00:00 AM;31.5
12/1/12 12:00:00 PM;35.0
12/1/12 1:00:00 PM;36.4
12/1/12 2:00:00 PM;30.9
12/1/12 3:00:00 PM;30.5
12/1/12 4:00:00 PM;31.0
12/1/12 5:00:00 PM;31.1
12/1/12 6:00:00 PM;34.9
12/1/12 7:00:00 PM;42.9
12/1/12 8:00:00 PM;41.4
12/1/12 9:00:00 PM;32.1
12/1/12 10:00:00 PM;28.6
12/1/12 11:00:00 PM;28.5
12/2/12 12:00:00 AM;28.5
12/2/12 1:00:00 AM;28.2
12/2/12 2:00:00 AM;30.0
12/2/12 3:00:00 AM;28.8
12/2/12 4:00:00 AM;30.8
12/2/12 5:00:00 AM;32.8
12/2/12 6:00:00 AM;34.2
12/2/12 7:00:00 AM;39.9
12/2/12 8:00:00 AM;37.8
12/2/12 9:00:00 AM;35.4
12/2/12 10:00:00 AM;35.8
12/2/12 11:00:00 AM;31.0
12/2/12 12:00:00 PM;35.6
12/2/12 1:00:00 PM;37.0
12/2/12 2:00:00 PM;33.5
12/2/12 3:00:00 PM;36.0
12/2/12 4:00:00 PM;36.5
12/2/12 5:00:00 PM;31.8
12/2/12 6:00:00 PM;31.0
12/2/12 7:00:00 PM;30.2
12/2/12 8:00:00 PM;30.1
12/2/12 9:00:00 PM;30.2
12/2/12 10:00:00 PM;30.3
12/2/12 11:00:00 PM;30.4
12/3/12 12:00:00 AM;33.1
12/3/12 1:00:00 AM;35.2
12/3/12 2:00:00 AM;38.2
12/3/12 3:00:00 AM;38.9
12/3/12 4:00:00 AM;38.8
12/3/12 5:00:00 AM;39.6
12/3/12 6:00:00 AM;57.4
12/3/12 7:00:00 AM;69.6
12/3/12 8:00:00 AM;72.8
12/3/12 9:00:00 AM;79.1
12/3/12 10:00:00 AM;80.9
12/3/12 11:00:00 AM;81.7
12/3/12 12:00:00 PM;80.4
12/3/12 1:00:00 PM;80.8
12/3/12 2:00:00 PM;82.1
12/3/12 3:00:00 PM;79.5
12/3/12 4:00:00 PM;75.5
12/3/12 5:00:00 PM;63.0
12/3/12 6:00:00 PM;42.7
12/3/12 7:00:00 PM;40.8
12/3/12 8:00:00 PM;35.9
12/3/12 9:00:00 PM;44.5
12/3/12 10:00:00 PM;47.5
12/3/12 11:00:00 PM;34.1
12/4/12 12:00:00 AM;42.2
12/4/12 1:00:00 AM;48.8
12/4/12 2:00:00 AM;43.8
12/4/12 3:00:00 AM;46.0
12/4/12 4:00:00 AM;49.7
12/4/12 5:00:00 AM;49.7
12/4/12 6:00:00 AM;73.9
12/4/12 7:00:00 AM;81.7
12/4/12 8:00:00 AM;75.0
12/4/12 9:00:00 AM;82.5
12/4/12 10:00:00 AM;82.1
12/4/12 11:00:00 AM;83.7
12/4/12 12:00:00 PM;82.5
12/4/12 1:00:00 PM;81.4
12/4/12 2:00:00 PM;81.7
12/4/12 3:00:00 PM;81.0
12/4/12 4:00:00 PM;76.3
12/4/12 5:00:00 PM;62.2
12/4/12 6:00:00 PM;43.3
12/4/12 7:00:00 PM;44.6
12/4/12 8:00:00 PM;36.6
12/4/12 9:00:00 PM;47.5
12/4/12 10:00:00 PM;52.4
12/4/12 11:00:00 PM;44.5
12/5/12 12:00:00 AM;51.4
12/5/12 1:00:00 AM;60.7
12/5/12 2:00:00 AM;48.1
12/5/12 3:00:00 AM;48.4
12/5/12 4:00:00 AM;50.1
12/5/12 5:00:00 AM;50.5
12/5/12 6:00:00 AM;81.2
12/5/12 7:00:00 AM;81.6
12/5/12 8:00:00 AM;80.1
12/5/12 9:00:00 AM;80.0
12/5/12 10:00:00 AM;80.2
12/5/12 11:00:00 AM;85.2
12/5/12 12:00:00 PM;83.7
12/5/12 1:00:00 PM;82.0
12/5/12 2:00:00 PM;81.3
12/5/12 3:00:00 PM;83.3
12/5/12 4:00:00 PM;78.3
12/5/12 5:00:00 PM;65.1
12/5/12 6:00:00 PM;40.4
12/5/12 7:00:00 PM;38.2
12/5/12 8:00:00 PM;37.1
12/5/12 9:00:00 PM;44.4
12/5/12 10:00:00 PM;50.4
12/5/12 11:00:00 PM;43.1
12/6/12 12:00:00 AM;44.8
12/6/12 1:00:00 AM;44.1
12/6/12 2:00:00 AM;44.7
12/6/12 3:00:00 AM;47.4
12/6/12 4:00:00 AM;51.6
12/6/12 5:00:00 AM;51.8
12/6/12 6:00:00 AM;78.0
12/6/12 7:00:00 AM;76.0
12/6/12 8:00:00 AM;72.9
12/6/12 9:00:00 AM;81.3
12/6/12 10:00:00 AM;84.6
12/6/12 11:00:00 AM;84.7
12/6/12 12:00:00 PM;85.2
12/6/12 1:00:00 PM;83.7
12/6/12 2:00:00 PM;84.8
12/6/12 3:00:00 PM;82.4
12/6/12 4:00:00 PM;78.1
12/6/12 5:00:00 PM;64.3
12/6/12 6:00:00 PM;39.1
12/6/12 7:00:00 PM;37.6
12/6/12 8:00:00 PM;37.5
12/6/12 9:00:00 PM;38.5
12/6/12 10:00:00 PM;39.2
12/6/12 11:00:00 PM;43.0
12/7/12 12:00:00 AM;43.9
12/7/12 1:00:00 AM;41.3
12/7/12 2:00:00 AM;43.7
12/7/12 3:00:00 AM;43.1
12/7/12 4:00:00 AM;45.4
12/7/12 5:00:00 AM;46.3
12/7/12 6:00:00 AM;63.5
12/7/12 7:00:00 AM;71.1
12/7/12 8:00:00 AM;75.7
12/7/12 9:00:00 AM;79.1
12/7/12 10:00:00 AM;77.0
12/7/12 11:00:00 AM;74.5
12/7/12 12:00:00 PM;74.5
12/7/12 1:00:00 PM;72.0
12/7/12 2:00:00 PM;74.4
12/7/12 3:00:00 PM;72.4
12/7/12 4:00:00 PM;67.3
12/7/12 5:00:00 PM;58.2
12/7/12 6:00:00 PM;35.4
12/7/12 7:00:00 PM;32.5
12/7/12 8:00:00 PM;34.9
12/7/12 9:00:00 PM;39.6
12/7/12 10:00:00 PM;41.4
12/7/12 11:00:00 PM;43.6
12/8/12 12:00:00 AM;47.6
12/8/12 1:00:00 AM;48.8
12/8/12 2:00:00 AM;47.9
12/8/12 3:00:00 AM;48.5
12/8/12 4:00:00 AM;50.3
12/8/12 5:00:00 AM;49.9
12/8/12 6:00:00 AM;48.0
12/8/12 7:00:00 AM;44.2
12/8/12 8:00:00 AM;35.4
12/8/12 9:00:00 AM;33.7
12/8/12 10:00:00 AM;35.7
12/8/12 11:00:00 AM;34.3
12/8/12 12:00:00 PM;36.4
12/8/12 1:00:00 PM;35.2
12/8/12 2:00:00 PM;34.7
12/8/12 3:00:00 PM;35.3
12/8/12 4:00:00 PM;30.8
12/8/12 5:00:00 PM;29.5
12/8/12 6:00:00 PM;34.1
12/8/12 7:00:00 PM;34.3
12/8/12 8:00:00 PM;30.7
12/8/12 9:00:00 PM;29.5
12/8/12 10:00:00 PM;29.3
12/8/12 11:00:00 PM;28.4
12/9/12 12:00:00 AM;28.7
12/9/12 1:00:00 AM;28.7
12/9/12 2:00:00 AM;28.5
12/9/12 3:00:00 AM;28.3
12/9/12 4:00:00 AM;29.3
12/9/12 5:00:00 AM;29.0
12/9/12 6:00:00 AM;28.9
12/9/12 7:00:00 AM;30.5
12/9/12 8:00:00 AM;32.8
12/9/12 9:00:00 AM;35.5
12/9/12 10:00:00 AM;34.1
12/9/12 11:00:00 AM;35.8
12/9/12 12:00:00 PM;37.1
12/9/12 1:00:00 PM;33.2
12/9/12 2:00:00 PM;38.1
12/9/12 3:00:00 PM;37.7
12/9/12 4:00:00 PM;35.6
12/9/12 5:00:00 PM;34.9
12/9/12 6:00:00 PM;31.0
12/9/12 7:00:00 PM;30.3
12/9/12 8:00:00 PM;30.3
12/9/12 9:00:00 PM;30.6
12/9/12 10:00:00 PM;29.8
12/9/12 11:00:00 PM;32.7
12/10/12 12:00:00 AM;36.4
12/10/12 1:00:00 AM;35.5
12/10/12 2:00:00 AM;34.8
12/10/12 3:00:00 AM;35.3
12/10/12 4:00:00 AM;35.3
12/10/12 5:00:00 AM;32.6
12/10/12 6:00:00 AM;53.5
12/10/12 7:00:00 AM;65.1
12/10/12 8:00:00 AM;67.9
12/10/12 9:00:00 AM;75.7
12/10/12 10:00:00 AM;76.3
12/10/12 11:00:00 AM;79.8
12/10/12 12:00:00 PM;80.1
12/10/12 1:00:00 PM;80.5
12/10/12 2:00:00 PM;80.0
12/10/12 3:00:00 PM;79.1
12/10/12 4:00:00 PM;74.6
12/10/12 5:00:00 PM;60.7
12/10/12 6:00:00 PM;39.4
12/10/12 7:00:00 PM;43.8
12/10/12 8:00:00 PM;42.7
12/10/12 9:00:00 PM;36.5
12/10/12 10:00:00 PM;31.9
12/10/12 11:00:00 PM;30.1
12/11/12 12:00:00 AM;29.5
12/11/12 1:00:00 AM;29.1
12/11/12 2:00:00 AM;29.3
12/11/12 3:00:00 AM;28.8
12/11/12 4:00:00 AM;29.9
12/11/12 5:00:00 AM;27.7
12/11/12 6:00:00 AM;49.3
12/11/12 7:00:00 AM;55.2
12/11/12 8:00:00 AM;70.1
12/11/12 9:00:00 AM;75.6
12/11/12 10:00:00 AM;78.0
12/11/12 11:00:00 AM;78.3
12/11/12 12:00:00 PM;78.1
12/11/12 1:00:00 PM;81.6
12/11/12 2:00:00 PM;80.3
12/11/12 3:00:00 PM;78.9
12/11/12 4:00:00 PM;74.4
12/11/12 5:00:00 PM;61.5
12/11/12 6:00:00 PM;44.8
12/11/12 7:00:00 PM;41.7
12/11/12 8:00:00 PM;36.1
12/11/12 9:00:00 PM;33.7
12/11/12 10:00:00 PM;30.2
12/11/12 11:00:00 PM;32.8
12/12/12 12:00:00 AM;32.4
12/12/12 1:00:00 AM;32.2
12/12/12 2:00:00 AM;31.2
12/12/12 3:00:00 AM;33.7
12/12/12 4:00:00 AM;37.7
12/12/12 5:00:00 AM;37.4
12/12/12 6:00:00 AM;57.5
12/12/12 7:00:00 AM;66.4
12/12/12 8:00:00 AM;74.0
12/12/12 9:00:00 AM;77.0
12/12/12 10:00:00 AM;80.3
12/12/12 11:00:00 AM;80.1
12/12/12 12:00:00 PM;78.8
12/12/12 1:00:00 PM;82.4
12/12/12 2:00:00 PM;84.2
12/12/12 3:00:00 PM;82.5
12/12/12 4:00:00 PM;76.8
12/12/12 5:00:00 PM;62.3
12/12/12 6:00:00 PM;42.8
12/12/12 7:00:00 PM;48.0
12/12/12 8:00:00 PM;43.6
12/12/12 9:00:00 PM;35.8
