Year 2012
Date/time;034 (TESAG)-Mains.Active energy (500931.3 kWh)
1/1/12 12:00:00 AM;32.2
1/1/12 1:00:00 AM;37.0
1/1/12 2:00:00 AM;34.9
1/1/12 3:00:00 AM;35.1
1/1/12 4:00:00 AM;35.0
1/1/12 5:00:00 AM;31.8
1/1/12 6:00:00 AM;29.0
1/1/12 7:00:00 AM;29.9
1/1/12 8:00:00 AM;29.3
1/1/12 9:00:00 AM;31.3
1/1/12 10:00:00 AM;30.6
1/1/12 11:00:00 AM;33.3
1/1/12 12:00:00 PM;32.6
1/1/12 1:00:00 PM;34.8
1/1/12 2:00:00 PM;33.6
1/1/12 3:00:00 PM;34.4
1/1/12 4:00:00 PM;32.0
1/1/12 5:00:00 PM;34.7
1/1/12 6:00:00 PM;32.6
1/1/12 7:00:00 PM;35.5
1/1/12 8:00:00 PM;33.9
1/1/12 9:00:00 PM;34.4
1/1/12 10:00:00 PM;34.8
1/1/12 11:00:00 PM;35.3
1/2/12 12:00:00 AM;35.1
1/2/12 1:00:00 AM;36.2
1/2/12 2:00:00 AM;36.1
1/2/12 3:00:00 AM;34.8
1/2/12 4:00:00 AM;35.9
1/2/12 5:00:00 AM;31.1
1/2/12 6:00:00 AM;29.0
1/2/12 7:00:00 AM;32.4
1/2/12 8:00:00 AM;33.2
1/2/12 9:00:00 AM;35.5
1/2/12 10:00:00 AM;33.7
1/2/12 11:00:00 AM;38.8
1/2/12 12:00:00 PM;39.0
1/2/12 1:00:00 PM;42.3
1/2/12 2:00:00 PM;41.6
1/2/12 3:00:00 PM;39.5
1/2/12 4:00:00 PM;38.7
1/2/12 5:00:00 PM;37.3
1/2/12 6:00:00 PM;38.9
1/2/12 7:00:00 PM;39.6
1/2/12 8:00:00 PM;36.9
1/2/12 9:00:00 PM;37.5
1/2/12 10:00:00 PM;33.4
1/2/12 11:00:00 PM;36.2
1/3/12 12:00:00 AM;37.0
1/3/12 1:00:00 AM;37.0
1/3/12 2:00:00 AM;37.7
1/3/12 3:00:00 AM;38.1
1/3/12 4:00:00 AM;40.7
1/3/12 5:00:00 AM;36.1
1/3/12 6:00:00 AM;32.0
1/3/12 7:00:00 AM;68.9
1/3/12 8:00:00 AM;69.8
1/3/12 9:00:00 AM;73.1
1/3/12 10:00:00 AM;76.1
1/3/12 11:00:00 AM;76.2
1/3/12 12:00:00 PM;76.3
1/3/12 1:00:00 PM;81.9
1/3/12 2:00:00 PM;86.1
1/3/12 3:00:00 PM;84.8
1/3/12 4:00:00 PM;81.8
1/3/12 5:00:00 PM;68.2
1/3/12 6:00:00 PM;40.6
1/3/12 7:00:00 PM;41.1
1/3/12 8:00:00 PM;39.4
1/3/12 9:00:00 PM;39.5
1/3/12 10:00:00 PM;37.9
1/3/12 11:00:00 PM;38.2
1/4/12 12:00:00 AM;39.5
1/4/12 1:00:00 AM;42.4
1/4/12 2:00:00 AM;40.2
1/4/12 3:00:00 AM;40.5
1/4/12 4:00:00 AM;41.2
1/4/12 5:00:00 AM;40.7
1/4/12 6:00:00 AM;39.2
1/4/12 7:00:00 AM;72.9
1/4/12 8:00:00 AM;74.6
1/4/12 9:00:00 AM;78.8
1/4/12 10:00:00 AM;80.6
1/4/12 11:00:00 AM;81.7
1/4/12 12:00:00 PM;83.7
1/4/12 1:00:00 PM;87.9
1/4/12 2:00:00 PM;86.2
1/4/12 3:00:00 PM;83.5
1/4/12 4:00:00 PM;81.6
1/4/12 5:00:00 PM;77.4
1/4/12 6:00:00 PM;46.2
1/4/12 7:00:00 PM;47.5
1/4/12 8:00:00 PM;45.7
1/4/12 9:00:00 PM;44.6
1/4/12 10:00:00 PM;41.9
1/4/12 11:00:00 PM;41.3
1/5/12 12:00:00 AM;40.6
1/5/12 1:00:00 AM;42.4
1/5/12 2:00:00 AM;41.2
1/5/12 3:00:00 AM;42.0
1/5/12 4:00:00 AM;42.3
1/5/12 5:00:00 AM;41.2
1/5/12 6:00:00 AM;40.2
1/5/12 7:00:00 AM;71.7
1/5/12 8:00:00 AM;72.0
1/5/12 9:00:00 AM;77.5
1/5/12 10:00:00 AM;80.4
1/5/12 11:00:00 AM;81.0
1/5/12 12:00:00 PM;83.8
1/5/12 1:00:00 PM;85.8
1/5/12 2:00:00 PM;84.2
1/5/12 3:00:00 PM;81.2
1/5/12 4:00:00 PM;77.8
1/5/12 5:00:00 PM;72.2
1/5/12 6:00:00 PM;46.2
1/5/12 7:00:00 PM;47.8
1/5/12 8:00:00 PM;47.1
1/5/12 9:00:00 PM;42.5
1/5/12 10:00:00 PM;39.9
1/5/12 11:00:00 PM;39.3
1/6/12 12:00:00 AM;40.3
1/6/12 1:00:00 AM;40.3
1/6/12 2:00:00 AM;39.1
1/6/12 3:00:00 AM;39.7
1/6/12 4:00:00 AM;40.4
1/6/12 5:00:00 AM;40.3
1/6/12 6:00:00 AM;39.0
1/6/12 7:00:00 AM;68.4
1/6/12 8:00:00 AM;70.1
1/6/12 9:00:00 AM;74.4
1/6/12 10:00:00 AM;79.4
1/6/12 11:00:00 AM;79.5
1/6/12 12:00:00 PM;80.4
1/6/12 1:00:00 PM;85.7
1/6/12 2:00:00 PM;82.7
1/6/12 3:00:00 PM;81.8
1/6/12 4:00:00 PM;75.9
1/6/12 5:00:00 PM;71.1
1/6/12 6:00:00 PM;44.4
1/6/12 7:00:00 PM;45.4
1/6/12 8:00:00 PM;44.0
1/6/12 9:00:00 PM;41.3
1/6/12 10:00:00 PM;39.8
1/6/12 11:00:00 PM;39.1
1/7/12 12:00:00 AM;40.1
1/7/12 1:00:00 AM;41.7
1/7/12 2:00:00 AM;38.8
1/7/12 3:00:00 AM;38.9
1/7/12 4:00:00 AM;39.7
1/7/12 5:00:00 AM;39.7
1/7/12 6:00:00 AM;37.6
1/7/12 7:00:00 AM;40.2
1/7/12 8:00:00 AM;39.5
1/7/12 9:00:00 AM;38.6
1/7/12 10:00:00 AM;41.4
1/7/12 11:00:00 AM;42.9
1/7/12 12:00:00 PM;40.6
1/7/12 1:00:00 PM;44.8
1/7/12 2:00:00 PM;42.1
1/7/12 3:00:00 PM;42.4
1/7/12 4:00:00 PM;41.2
1/7/12 5:00:00 PM;39.7
1/7/12 6:00:00 PM;39.8
1/7/12 7:00:00 PM;42.3
1/7/12 8:00:00 PM;40.0
1/7/12 9:00:00 PM;38.6
1/7/12 10:00:00 PM;38.7
1/7/12 11:00:00 PM;38.3
1/8/12 12:00:00 AM;40.0
1/8/12 1:00:00 AM;41.0
1/8/12 2:00:00 AM;39.6
1/8/12 3:00:00 AM;38.4
1/8/12 4:00:00 AM;38.4
1/8/12 5:00:00 AM;39.4
1/8/12 6:00:00 AM;37.1
1/8/12 7:00:00 AM;39.2
1/8/12 8:00:00 AM;37.1
1/8/12 9:00:00 AM;41.0
1/8/12 10:00:00 AM;40.8
1/8/12 11:00:00 AM;41.8
1/8/12 12:00:00 PM;44.2
1/8/12 1:00:00 PM;46.7
1/8/12 2:00:00 PM;44.8
1/8/12 3:00:00 PM;43.7
1/8/12 4:00:00 PM;42.1
1/8/12 5:00:00 PM;39.6
1/8/12 6:00:00 PM;38.9
1/8/12 7:00:00 PM;42.0
1/8/12 8:00:00 PM;41.0
1/8/12 9:00:00 PM;38.8
1/8/12 10:00:00 PM;40.8
1/8/12 11:00:00 PM;37.8
1/9/12 12:00:00 AM;39.0
1/9/12 1:00:00 AM;42.1
1/9/12 2:00:00 AM;40.0
1/9/12 3:00:00 AM;39.1
1/9/12 4:00:00 AM;39.2
1/9/12 5:00:00 AM;39.9
1/9/12 6:00:00 AM;38.7
1/9/12 7:00:00 AM;79.6
1/9/12 8:00:00 AM;83.4
1/9/12 9:00:00 AM;90.4
1/9/12 10:00:00 AM;92.5
1/9/12 11:00:00 AM;92.1
1/9/12 12:00:00 PM;95.5
1/9/12 1:00:00 PM;95.5
1/9/12 2:00:00 PM;92.8
1/9/12 3:00:00 PM;93.3
1/9/12 4:00:00 PM;88.9
1/9/12 5:00:00 PM;79.9
1/9/12 6:00:00 PM;48.8
1/9/12 7:00:00 PM;48.7
1/9/12 8:00:00 PM;46.2
1/9/12 9:00:00 PM;44.3
1/9/12 10:00:00 PM;41.7
1/9/12 11:00:00 PM;40.7
1/10/12 12:00:00 AM;42.9
1/10/12 1:00:00 AM;43.3
1/10/12 2:00:00 AM;41.1
1/10/12 3:00:00 AM;41.2
1/10/12 4:00:00 AM;41.4
1/10/12 5:00:00 AM;41.9
1/10/12 6:00:00 AM;41.4
1/10/12 7:00:00 AM;78.9
1/10/12 8:00:00 AM;80.2
1/10/12 9:00:00 AM;86.9
1/10/12 10:00:00 AM;93.2
1/10/12 11:00:00 AM;93.6
1/10/12 12:00:00 PM;92.1
1/10/12 1:00:00 PM;90.7
1/10/12 2:00:00 PM;88.9
1/10/12 3:00:00 PM;87.8
1/10/12 4:00:00 PM;85.4
1/10/12 5:00:00 PM;78.6
1/10/12 6:00:00 PM;47.3
1/10/12 7:00:00 PM;49.0
1/10/12 8:00:00 PM;45.5
1/10/12 9:00:00 PM;44.3
1/10/12 10:00:00 PM;45.4
1/10/12 11:00:00 PM;42.6
1/11/12 12:00:00 AM;42.3
1/11/12 1:00:00 AM;43.5
1/11/12 2:00:00 AM;43.5
1/11/12 3:00:00 AM;41.6
1/11/12 4:00:00 AM;44.2
1/11/12 5:00:00 AM;42.7
1/11/12 6:00:00 AM;40.8
1/11/12 7:00:00 AM;77.5
1/11/12 8:00:00 AM;82.1
1/11/12 9:00:00 AM;87.4
1/11/12 10:00:00 AM;92.1
1/11/12 11:00:00 AM;93.4
1/11/12 12:00:00 PM;93.6
1/11/12 1:00:00 PM;95.9
1/11/12 2:00:00 PM;92.4
1/11/12 3:00:00 PM;91.9
1/11/12 4:00:00 PM;87.1
1/11/12 5:00:00 PM;78.0
1/11/12 6:00:00 PM;45.3
1/11/12 7:00:00 PM;45.4
1/11/12 8:00:00 PM;44.0
1/11/12 9:00:00 PM;42.4
1/11/12 10:00:00 PM;45.9
1/11/12 11:00:00 PM;43.9
1/12/12 12:00:00 AM;44.0
1/12/12 1:00:00 AM;42.9
1/12/12 2:00:00 AM;39.5
1/12/12 3:00:00 AM;38.8
1/12/12 4:00:00 AM;40.8
1/12/12 5:00:00 AM;41.3
1/12/12 6:00:00 AM;38.8
1/12/12 7:00:00 AM;77.6
1/12/12 8:00:00 AM;79.0
1/12/12 9:00:00 AM;87.7
1/12/12 10:00:00 AM;93.7
1/12/12 11:00:00 AM;95.2
1/12/12 12:00:00 PM;94.7
1/12/12 1:00:00 PM;94.7
1/12/12 2:00:00 PM;94.9
1/12/12 3:00:00 PM;90.2
1/12/12 4:00:00 PM;88.1
1/12/12 5:00:00 PM;77.6
1/12/12 6:00:00 PM;48.6
1/12/12 7:00:00 PM;49.4
1/12/12 8:00:00 PM;45.7
1/12/12 9:00:00 PM;46.6
1/12/12 10:00:00 PM;47.1
1/12/12 11:00:00 PM;45.4
1/13/12 12:00:00 AM;44.9
1/13/12 1:00:00 AM;47.8
1/13/12 2:00:00 AM;44.0
1/13/12 3:00:00 AM;43.5
1/13/12 4:00:00 AM;44.1
1/13/12 5:00:00 AM;44.1
1/13/12 6:00:00 AM;43.1
1/13/12 7:00:00 AM;81.0
1/13/12 8:00:00 AM;83.3
1/13/12 9:00:00 AM;91.7
1/13/12 10:00:00 AM;98.7
1/13/12 11:00:00 AM;97.4
1/13/12 12:00:00 PM;97.1
1/13/12 1:00:00 PM;98.7
1/13/12 2:00:00 PM;99.1
1/13/12 3:00:00 PM;94.8
1/13/12 4:00:00 PM;86.3
1/13/12 5:00:00 PM;80.0
1/13/12 6:00:00 PM;48.2
1/13/12 7:00:00 PM;50.1
1/13/12 8:00:00 PM;47.1
1/13/12 9:00:00 PM;47.3
1/13/12 10:00:00 PM;44.5
1/13/12 11:00:00 PM;42.1
1/14/12 12:00:00 AM;42.6
1/14/12 1:00:00 AM;42.5
1/14/12 2:00:00 AM;40.7
1/14/12 3:00:00 AM;40.9
1/14/12 4:00:00 AM;43.4
1/14/12 5:00:00 AM;40.7
1/14/12 6:00:00 AM;39.6
1/14/12 7:00:00 AM;41.0
1/14/12 8:00:00 AM;40.0
1/14/12 9:00:00 AM;40.2
1/14/12 10:00:00 AM;40.6
1/14/12 11:00:00 AM;42.3
1/14/12 12:00:00 PM;42.9
1/14/12 1:00:00 PM;47.9
1/14/12 2:00:00 PM;46.1
1/14/12 3:00:00 PM;43.7
1/14/12 4:00:00 PM;44.7
1/14/12 5:00:00 PM;43.8
1/14/12 6:00:00 PM;43.3
1/14/12 7:00:00 PM;43.8
1/14/12 8:00:00 PM;42.1
1/14/12 9:00:00 PM;41.3
1/14/12 10:00:00 PM;42.3
1/14/12 11:00:00 PM;41.1
1/15/12 12:00:00 AM;40.2
1/15/12 1:00:00 AM;43.2
1/15/12 2:00:00 AM;41.0
1/15/12 3:00:00 AM;39.8
1/15/12 4:00:00 AM;40.2
1/15/12 5:00:00 AM;41.1
1/15/12 6:00:00 AM;39.7
1/15/12 7:00:00 AM;40.5
1/15/12 8:00:00 AM;41.1
1/15/12 9:00:00 AM;38.7
1/15/12 10:00:00 AM;42.8
1/15/12 11:00:00 AM;47.1
1/15/12 12:00:00 PM;46.4
1/15/12 1:00:00 PM;48.8
1/15/12 2:00:00 PM;47.9
1/15/12 3:00:00 PM;46.2
1/15/12 4:00:00 PM;44.3
1/15/12 5:00:00 PM;46.3
1/15/12 6:00:00 PM;44.9
1/15/12 7:00:00 PM;45.6
1/15/12 8:00:00 PM;44.2
1/15/12 9:00:00 PM;43.9
1/15/12 10:00:00 PM;42.2
1/15/12 11:00:00 PM;40.5
1/16/12 12:00:00 AM;40.1
1/16/12 1:00:00 AM;41.5
1/16/12 2:00:00 AM;41.3
1/16/12 3:00:00 AM;41.5
1/16/12 4:00:00 AM;41.2
1/16/12 5:00:00 AM;41.8
1/16/12 6:00:00 AM;39.9
1/16/12 7:00:00 AM;76.4
1/16/12 8:00:00 AM;80.2
1/16/12 9:00:00 AM;93.9
1/16/12 10:00:00 AM;97.7
1/16/12 11:00:00 AM;95.7
1/16/12 12:00:00 PM;99.7
1/16/12 1:00:00 PM;102.0
1/16/12 2:00:00 PM;101.6
1/16/12 3:00:00 PM;97.2
1/16/12 4:00:00 PM;88.6
1/16/12 5:00:00 PM;81.0
1/16/12 6:00:00 PM;52.0
1/16/12 7:00:00 PM;52.0
1/16/12 8:00:00 PM;50.3
1/16/12 9:00:00 PM;47.7
1/16/12 10:00:00 PM;47.7
1/16/12 11:00:00 PM;44.0
1/17/12 12:00:00 AM;43.3
1/17/12 1:00:00 AM;46.0
1/17/12 2:00:00 AM;43.6
1/17/12 3:00:00 AM;42.6
1/17/12 4:00:00 AM;43.5
1/17/12 5:00:00 AM;44.5
1/17/12 6:00:00 AM;41.7
