Year 2012
Date/time;DB087 (Veterinary Science)-Mains.Active energy (851752.1 kWh)
1/1/12 12:00:00 AM;78.9
1/1/12 1:00:00 AM;78.5
1/1/12 2:00:00 AM;78.4
1/1/12 3:00:00 AM;79.2
1/1/12 4:00:00 AM;79.1
1/1/12 5:00:00 AM;76.4
1/1/12 6:00:00 AM;75.9
1/1/12 7:00:00 AM;76.1
1/1/12 8:00:00 AM;77.0
1/1/12 9:00:00 AM;83.9
1/1/12 10:00:00 AM;86.4
1/1/12 11:00:00 AM;86.8
1/1/12 12:00:00 PM;86.7
1/1/12 1:00:00 PM;86.8
1/1/12 2:00:00 PM;84.0
1/1/12 3:00:00 PM;83.8
1/1/12 4:00:00 PM;80.8
1/1/12 5:00:00 PM;80.8
1/1/12 6:00:00 PM;82.9
1/1/12 7:00:00 PM;93.9
1/1/12 8:00:00 PM;83.5
1/1/12 9:00:00 PM;77.6
1/1/12 10:00:00 PM;79.3
1/1/12 11:00:00 PM;80.1
1/2/12 12:00:00 AM;78.3
1/2/12 1:00:00 AM;76.3
1/2/12 2:00:00 AM;77.3
1/2/12 3:00:00 AM;77.5
1/2/12 4:00:00 AM;77.8
1/2/12 5:00:00 AM;76.2
1/2/12 6:00:00 AM;86.5
1/2/12 7:00:00 AM;85.7
1/2/12 8:00:00 AM;87.9
1/2/12 9:00:00 AM;109.2
1/2/12 10:00:00 AM;96.5
1/2/12 11:00:00 AM;90.0
1/2/12 12:00:00 PM;88.9
1/2/12 1:00:00 PM;91.4
1/2/12 2:00:00 PM;89.1
1/2/12 3:00:00 PM;91.6
1/2/12 4:00:00 PM;90.5
1/2/12 5:00:00 PM;87.9
1/2/12 6:00:00 PM;77.1
1/2/12 7:00:00 PM;79.1
1/2/12 8:00:00 PM;77.5
1/2/12 9:00:00 PM;77.5
1/2/12 10:00:00 PM;76.9
1/2/12 11:00:00 PM;75.2
1/3/12 12:00:00 AM;76.2
1/3/12 1:00:00 AM;75.1
1/3/12 2:00:00 AM;77.4
1/3/12 3:00:00 AM;75.1
1/3/12 4:00:00 AM;74.6
1/3/12 5:00:00 AM;74.8
1/3/12 6:00:00 AM;96.0
1/3/12 7:00:00 AM;99.6
1/3/12 8:00:00 AM;109.1
1/3/12 9:00:00 AM;113.7
1/3/12 10:00:00 AM;112.0
1/3/12 11:00:00 AM;115.4
1/3/12 12:00:00 PM;115.5
1/3/12 1:00:00 PM;117.5
1/3/12 2:00:00 PM;112.8
1/3/12 3:00:00 PM;109.1
1/3/12 4:00:00 PM;103.8
1/3/12 5:00:00 PM;94.5
1/3/12 6:00:00 PM;79.5
1/3/12 7:00:00 PM;82.5
1/3/12 8:00:00 PM;82.1
1/3/12 9:00:00 PM;82.1
1/3/12 10:00:00 PM;81.2
1/3/12 11:00:00 PM;80.7
1/4/12 12:00:00 AM;81.6
1/4/12 1:00:00 AM;81.1
1/4/12 2:00:00 AM;81.2
1/4/12 3:00:00 AM;79.2
1/4/12 4:00:00 AM;79.7
1/4/12 5:00:00 AM;78.6
1/4/12 6:00:00 AM;95.4
1/4/12 7:00:00 AM;97.2
1/4/12 8:00:00 AM;109.4
1/4/12 9:00:00 AM;112.9
1/4/12 10:00:00 AM;128.2
1/4/12 11:00:00 AM;120.2
1/4/12 12:00:00 PM;122.2
1/4/12 1:00:00 PM;116.6
1/4/12 2:00:00 PM;118.4
1/4/12 3:00:00 PM;114.2
1/4/12 4:00:00 PM;103.0
1/4/12 5:00:00 PM;100.4
1/4/12 6:00:00 PM;84.7
1/4/12 7:00:00 PM;87.2
1/4/12 8:00:00 PM;86.7
1/4/12 9:00:00 PM;84.6
1/4/12 10:00:00 PM;82.9
1/4/12 11:00:00 PM;82.0
1/5/12 12:00:00 AM;82.4
1/5/12 1:00:00 AM;81.0
1/5/12 2:00:00 AM;81.1
1/5/12 3:00:00 AM;81.6
1/5/12 4:00:00 AM;82.6
1/5/12 5:00:00 AM;81.4
1/5/12 6:00:00 AM;95.2
1/5/12 7:00:00 AM;102.7
1/5/12 8:00:00 AM;106.6
1/5/12 9:00:00 AM;112.0
1/5/12 10:00:00 AM;113.5
1/5/12 11:00:00 AM;118.7
1/5/12 12:00:00 PM;117.6
1/5/12 1:00:00 PM;116.4
1/5/12 2:00:00 PM;114.6
1/5/12 3:00:00 PM;106.8
1/5/12 4:00:00 PM;104.1
1/5/12 5:00:00 PM;97.8
1/5/12 6:00:00 PM;84.9
1/5/12 7:00:00 PM;84.8
1/5/12 8:00:00 PM;83.6
1/5/12 9:00:00 PM;83.4
1/5/12 10:00:00 PM;81.5
1/5/12 11:00:00 PM;79.4
1/6/12 12:00:00 AM;80.8
1/6/12 1:00:00 AM;79.4
1/6/12 2:00:00 AM;80.2
1/6/12 3:00:00 AM;81.3
1/6/12 4:00:00 AM;81.7
1/6/12 5:00:00 AM;79.4
1/6/12 6:00:00 AM;98.4
1/6/12 7:00:00 AM;101.8
1/6/12 8:00:00 AM;105.6
