Year 2013
Date/time;DD015 (Civil Engineering)-Mains.Active energy (165408.0 kWh)
1/1/13 12:00:00 AM;15.2
1/1/13 1:00:00 AM;15.1
1/1/13 2:00:00 AM;14.8
1/1/13 3:00:00 AM;15.8
1/1/13 4:00:00 AM;15.6
1/1/13 5:00:00 AM;15.5
1/1/13 6:00:00 AM;16.2
1/1/13 7:00:00 AM;15.0
1/1/13 8:00:00 AM;15.6
1/1/13 9:00:00 AM;16.2
1/1/13 10:00:00 AM;15.3
1/1/13 11:00:00 AM;15.2
1/1/13 12:00:00 PM;15.2
1/1/13 1:00:00 PM;15.6
1/1/13 2:00:00 PM;16.5
1/1/13 3:00:00 PM;21.6
1/1/13 4:00:00 PM;18.8
1/1/13 5:00:00 PM;15.8
1/1/13 6:00:00 PM;22.0
1/1/13 7:00:00 PM;20.3
1/1/13 8:00:00 PM;16.2
1/1/13 9:00:00 PM;15.5
1/1/13 10:00:00 PM;15.9
1/1/13 11:00:00 PM;16.2
1/2/13 12:00:00 AM;15.8
1/2/13 1:00:00 AM;15.6
1/2/13 2:00:00 AM;15.6
1/2/13 3:00:00 AM;16.2
1/2/13 4:00:00 AM;16.6
1/2/13 5:00:00 AM;16.2
1/2/13 6:00:00 AM;31.0
1/2/13 7:00:00 AM;30.5
1/2/13 8:00:00 AM;31.1
1/2/13 9:00:00 AM;32.6
1/2/13 10:00:00 AM;35.2
1/2/13 11:00:00 AM;32.6
1/2/13 12:00:00 PM;33.0
1/2/13 1:00:00 PM;33.4
1/2/13 2:00:00 PM;34.1
1/2/13 3:00:00 PM;34.4
1/2/13 4:00:00 PM;34.5
1/2/13 5:00:00 PM;32.7
1/2/13 6:00:00 PM;18.9
1/2/13 7:00:00 PM;18.3
1/2/13 8:00:00 PM;21.2
1/2/13 9:00:00 PM;19.9
1/2/13 10:00:00 PM;20.4
1/2/13 11:00:00 PM;20.9
1/3/13 12:00:00 AM;16.5
1/3/13 1:00:00 AM;16.5
1/3/13 2:00:00 AM;16.6
1/3/13 3:00:00 AM;16.8
1/3/13 4:00:00 AM;17.8
1/3/13 5:00:00 AM;16.9
1/3/13 6:00:00 AM;32.1
1/3/13 7:00:00 AM;30.8
1/3/13 8:00:00 AM;30.6
1/3/13 9:00:00 AM;31.9
1/3/13 10:00:00 AM;33.0
1/3/13 11:00:00 AM;32.3
1/3/13 12:00:00 PM;35.2
1/3/13 1:00:00 PM;33.4
1/3/13 2:00:00 PM;33.7
1/3/13 3:00:00 PM;33.0
1/3/13 4:00:00 PM;32.4
1/3/13 5:00:00 PM;32.0
1/3/13 6:00:00 PM;17.9
1/3/13 7:00:00 PM;18.7
1/3/13 8:00:00 PM;17.0
1/3/13 9:00:00 PM;18.2
1/3/13 10:00:00 PM;18.6
1/3/13 11:00:00 PM;16.4
1/4/13 12:00:00 AM;16.8
1/4/13 1:00:00 AM;16.6
1/4/13 2:00:00 AM;16.4
1/4/13 3:00:00 AM;16.7
1/4/13 4:00:00 AM;16.9
1/4/13 5:00:00 AM;16.7
1/4/13 6:00:00 AM;31.0
1/4/13 7:00:00 AM;30.6
1/4/13 8:00:00 AM;31.2
1/4/13 9:00:00 AM;32.1
1/4/13 10:00:00 AM;34.2
1/4/13 11:00:00 AM;31.9
1/4/13 12:00:00 PM;32.0
1/4/13 1:00:00 PM;32.0
1/4/13 2:00:00 PM;32.4
