Year 2015
Date/time;DA026 (Sir George Kneipp)-Light and Power.Active energy (25605.8 kWh)
1/1/15 12:00:00 AM;1.8
1/1/15 1:00:00 AM;1.4
1/1/15 2:00:00 AM;2.6
1/1/15 3:00:00 AM;1.4
1/1/15 4:00:00 AM;1.4
1/1/15 5:00:00 AM;1.2
1/1/15 6:00:00 AM;0.4
1/1/15 7:00:00 AM;0.0
1/1/15 8:00:00 AM;0.0
1/1/15 9:00:00 AM;0.0
1/1/15 10:00:00 AM;0.0
1/1/15 11:00:00 AM;0.0
1/1/15 12:00:00 PM;1.6
1/1/15 1:00:00 PM;0.0
1/1/15 2:00:00 PM;0.0
1/1/15 3:00:00 PM;0.0
1/1/15 4:00:00 PM;0.0
1/1/15 5:00:00 PM;0.4
1/1/15 6:00:00 PM;0.1
1/1/15 7:00:00 PM;1.4
1/1/15 8:00:00 PM;1.4
1/1/15 9:00:00 PM;2.6
1/1/15 10:00:00 PM;1.4
1/1/15 11:00:00 PM;1.9
1/2/15 12:00:00 AM;1.4
1/2/15 1:00:00 AM;1.4
1/2/15 2:00:00 AM;1.4
1/2/15 3:00:00 AM;1.4
1/2/15 4:00:00 AM;1.4
1/2/15 5:00:00 AM;1.4
1/2/15 6:00:00 AM;0.0
1/2/15 7:00:00 AM;1.1
1/2/15 8:00:00 AM;0.0
1/2/15 9:00:00 AM;0.0
1/2/15 10:00:00 AM;0.0
1/2/15 11:00:00 AM;0.4
1/2/15 12:00:00 PM;0.0
1/2/15 1:00:00 PM;0.0
1/2/15 2:00:00 PM;0.0
1/2/15 3:00:00 PM;0.0
1/2/15 4:00:00 PM;1.6
1/2/15 5:00:00 PM;0.0
1/2/15 6:00:00 PM;0.2
1/2/15 7:00:00 PM;1.4
1/2/15 8:00:00 PM;1.4
1/2/15 9:00:00 PM;1.4
1/2/15 10:00:00 PM;1.8
1/2/15 11:00:00 PM;1.4
1/3/15 12:00:00 AM;1.4
1/3/15 1:00:00 AM;1.4
1/3/15 2:00:00 AM;2.5
1/3/15 3:00:00 AM;1.4
1/3/15 4:00:00 AM;1.8
1/3/15 5:00:00 AM;1.1
1/3/15 6:00:00 AM;0.0
1/3/15 7:00:00 AM;0.0
1/3/15 8:00:00 AM;0.0
1/3/15 9:00:00 AM;0.0
1/3/15 10:00:00 AM;0.4
1/3/15 11:00:00 AM;1.1
1/3/15 12:00:00 PM;0.0
1/3/15 1:00:00 PM;0.0
1/3/15 2:00:00 PM;0.0
1/3/15 3:00:00 PM;0.0
1/3/15 4:00:00 PM;0.4
1/3/15 5:00:00 PM;0.0
1/3/15 6:00:00 PM;0.4
1/3/15 7:00:00 PM;1.4
1/3/15 8:00:00 PM;2.5
1/3/15 9:00:00 PM;1.8
1/3/15 10:00:00 PM;1.4
1/3/15 11:00:00 PM;1.4
1/4/15 12:00:00 AM;1.4
1/4/15 1:00:00 AM;1.4
1/4/15 2:00:00 AM;1.4
1/4/15 3:00:00 AM;1.8
1/4/15 4:00:00 AM;1.4
1/4/15 5:00:00 AM;1.0
1/4/15 6:00:00 AM;1.1
1/4/15 7:00:00 AM;0.0
1/4/15 8:00:00 AM;0.0
1/4/15 9:00:00 AM;0.4
1/4/15 10:00:00 AM;0.0
1/4/15 11:00:00 AM;0.0
1/4/15 12:00:00 PM;0.0
1/4/15 1:00:00 PM;0.0
1/4/15 2:00:00 PM;0.4
1/4/15 3:00:00 PM;0.7
1/4/15 4:00:00 PM;0.4
1/4/15 5:00:00 PM;0.0
1/4/15 6:00:00 PM;0.1
1/4/15 7:00:00 PM;1.4
1/4/15 8:00:00 PM;1.8
1/4/15 9:00:00 PM;1.4
1/4/15 10:00:00 PM;1.4
1/4/15 11:00:00 PM;1.4
1/5/15 12:00:00 AM;1.4
1/5/15 1:00:00 AM;2.9
1/5/15 2:00:00 AM;1.4
1/5/15 3:00:00 AM;1.4
1/5/15 4:00:00 AM;1.4
1/5/15 5:00:00 AM;2.7
1/5/15 6:00:00 AM;4.0
1/5/15 7:00:00 AM;3.3
1/5/15 8:00:00 AM;1.3
1/5/15 9:00:00 AM;4.0
1/5/15 10:00:00 AM;1.6
1/5/15 11:00:00 AM;1.2
1/5/15 12:00:00 PM;0.4
1/5/15 1:00:00 PM;0.0
1/5/15 2:00:00 PM;0.0
1/5/15 3:00:00 PM;0.0
1/5/15 4:00:00 PM;0.0
1/5/15 5:00:00 PM;0.0
1/5/15 6:00:00 PM;0.4
1/5/15 7:00:00 PM;1.5
1/5/15 8:00:00 PM;2.4
1/5/15 9:00:00 PM;1.6
1/5/15 10:00:00 PM;1.4
1/5/15 11:00:00 PM;1.8
1/6/15 12:00:00 AM;1.4
1/6/15 1:00:00 AM;1.4
1/6/15 2:00:00 AM;1.4
1/6/15 3:00:00 AM;1.4
1/6/15 4:00:00 AM;1.4
1/6/15 5:00:00 AM;5.8
1/6/15 6:00:00 AM;5.2
1/6/15 7:00:00 AM;4.3
1/6/15 8:00:00 AM;4.3
1/6/15 9:00:00 AM;4.6
1/6/15 10:00:00 AM;4.7
1/6/15 11:00:00 AM;4.7
1/6/15 12:00:00 PM;4.3
1/6/15 1:00:00 PM;4.2
1/6/15 2:00:00 PM;4.3
1/6/15 3:00:00 PM;5.2
1/6/15 4:00:00 PM;1.1
1/6/15 5:00:00 PM;0.0
1/6/15 6:00:00 PM;0.6
1/6/15 7:00:00 PM;1.6
1/6/15 8:00:00 PM;1.9
1/6/15 9:00:00 PM;2.0
1/6/15 10:00:00 PM;1.6
1/6/15 11:00:00 PM;1.6
1/7/15 12:00:00 AM;2.8
1/7/15 1:00:00 AM;1.7
1/7/15 2:00:00 AM;1.7
1/7/15 3:00:00 AM;2.1
1/7/15 4:00:00 AM;1.7
1/7/15 5:00:00 AM;1.6
1/7/15 6:00:00 AM;2.1
1/7/15 7:00:00 AM;4.3
1/7/15 8:00:00 AM;4.7
1/7/15 9:00:00 AM;4.3
1/7/15 10:00:00 AM;5.2
1/7/15 11:00:00 AM;4.2
1/7/15 12:00:00 PM;4.3
1/7/15 1:00:00 PM;5.7
1/7/15 2:00:00 PM;4.3
1/7/15 3:00:00 PM;4.3
1/7/15 4:00:00 PM;4.2
1/7/15 5:00:00 PM;4.2
1/7/15 6:00:00 PM;4.8
1/7/15 7:00:00 PM;8.8
1/7/15 8:00:00 PM;7.9
1/7/15 9:00:00 PM;7.9
1/7/15 10:00:00 PM;7.9
1/7/15 11:00:00 PM;7.9
1/8/15 12:00:00 AM;8.3
1/8/15 1:00:00 AM;7.9
1/8/15 2:00:00 AM;8.0
1/8/15 3:00:00 AM;8.0
1/8/15 4:00:00 AM;8.9
1/8/15 5:00:00 AM;7.4
1/8/15 6:00:00 AM;4.2
1/8/15 7:00:00 AM;4.5
1/8/15 8:00:00 AM;5.4
1/8/15 9:00:00 AM;4.3
1/8/15 10:00:00 AM;4.8
1/8/15 11:00:00 AM;4.2
1/8/15 12:00:00 PM;4.3
1/8/15 1:00:00 PM;4.3
1/8/15 2:00:00 PM;5.2
1/8/15 3:00:00 PM;1.2
1/8/15 4:00:00 PM;0.4
1/8/15 5:00:00 PM;0.0
1/8/15 6:00:00 PM;0.0
1/8/15 7:00:00 PM;1.6
1/8/15 8:00:00 PM;1.6
1/8/15 9:00:00 PM;1.8
1/8/15 10:00:00 PM;1.4
