Year 2016
Date/time;047-i1-Mains.Active energy (583412.2 kWh)
1/1/16 12:00:00 AM;55.7
1/1/16 1:00:00 AM;55.3
1/1/16 2:00:00 AM;54.0
1/1/16 3:00:00 AM;55.8
1/1/16 4:00:00 AM;53.0
1/1/16 5:00:00 AM;54.6
1/1/16 6:00:00 AM;55.0
1/1/16 7:00:00 AM;53.6
1/1/16 8:00:00 AM;55.5
1/1/16 9:00:00 AM;51.3
1/1/16 10:00:00 AM;54.9
1/1/16 11:00:00 AM;51.7
1/1/16 12:00:00 PM;54.9
1/1/16 1:00:00 PM;58.3
1/1/16 2:00:00 PM;50.4
1/1/16 3:00:00 PM;59.0
1/1/16 4:00:00 PM;51.0
1/1/16 5:00:00 PM;55.4
1/1/16 6:00:00 PM;52.9
1/1/16 7:00:00 PM;51.2
1/1/16 8:00:00 PM;55.0
1/1/16 9:00:00 PM;54.0
1/1/16 10:00:00 PM;51.1
1/1/16 11:00:00 PM;55.0
1/2/16 12:00:00 AM;55.0
1/2/16 1:00:00 AM;53.6
1/2/16 2:00:00 AM;54.8
1/2/16 3:00:00 AM;53.3
1/2/16 4:00:00 AM;54.7
1/2/16 5:00:00 AM;54.8
1/2/16 6:00:00 AM;54.9
1/2/16 7:00:00 AM;55.7
1/2/16 8:00:00 AM;51.7
1/2/16 9:00:00 AM;55.5
1/2/16 10:00:00 AM;55.0
1/2/16 11:00:00 AM;59.5
1/2/16 12:00:00 PM;60.7
1/2/16 1:00:00 PM;56.1
1/2/16 2:00:00 PM;60.7
1/2/16 3:00:00 PM;54.9
1/2/16 4:00:00 PM;57.4
1/2/16 5:00:00 PM;53.4
1/2/16 6:00:00 PM;60.9
1/2/16 7:00:00 PM;55.2
1/2/16 8:00:00 PM;54.9
1/2/16 9:00:00 PM;55.7
1/2/16 10:00:00 PM;54.3
1/2/16 11:00:00 PM;54.3
1/3/16 12:00:00 AM;54.9
1/3/16 1:00:00 AM;55.4
1/3/16 2:00:00 AM;55.2
1/3/16 3:00:00 AM;55.3
1/3/16 4:00:00 AM;54.4
1/3/16 5:00:00 AM;56.1
1/3/16 6:00:00 AM;53.3
1/3/16 7:00:00 AM;56.0
1/3/16 8:00:00 AM;57.3
1/3/16 9:00:00 AM;54.6
1/3/16 10:00:00 AM;57.0
1/3/16 11:00:00 AM;54.8
1/3/16 12:00:00 PM;53.8
1/3/16 1:00:00 PM;53.6
1/3/16 2:00:00 PM;58.6
