Year 2016
Date/time;145 (ATSIP)-Mains.Active energy (643347.5 kWh)
1/1/16 12:00:00 AM;52.6
1/1/16 1:00:00 AM;50.8
1/1/16 2:00:00 AM;50.4
1/1/16 3:00:00 AM;50.6
1/1/16 4:00:00 AM;52.0
1/1/16 5:00:00 AM;52.1
1/1/16 6:00:00 AM;49.8
1/1/16 7:00:00 AM;65.8
1/1/16 8:00:00 AM;66.8
1/1/16 9:00:00 AM;67.4
1/1/16 10:00:00 AM;67.5
1/1/16 11:00:00 AM;68.5
1/1/16 12:00:00 PM;67.1
1/1/16 1:00:00 PM;67.2
1/1/16 2:00:00 PM;66.4
1/1/16 3:00:00 PM;69.4
1/1/16 4:00:00 PM;69.9
1/1/16 5:00:00 PM;68.2
1/1/16 6:00:00 PM;51.5
1/1/16 7:00:00 PM;52.3
1/1/16 8:00:00 PM;52.1
1/1/16 9:00:00 PM;51.9
1/1/16 10:00:00 PM;52.9
1/1/16 11:00:00 PM;52.3
1/2/16 12:00:00 AM;50.9
1/2/16 1:00:00 AM;50.3
1/2/16 2:00:00 AM;50.4
1/2/16 3:00:00 AM;50.4
1/2/16 4:00:00 AM;51.1
1/2/16 5:00:00 AM;51.4
1/2/16 6:00:00 AM;49.3
1/2/16 7:00:00 AM;56.8
1/2/16 8:00:00 AM;63.6
1/2/16 9:00:00 AM;63.0
1/2/16 10:00:00 AM;64.6
1/2/16 11:00:00 AM;67.2
1/2/16 12:00:00 PM;59.7
1/2/16 1:00:00 PM;60.5
1/2/16 2:00:00 PM;65.4
1/2/16 3:00:00 PM;62.9
1/2/16 4:00:00 PM;61.1
1/2/16 5:00:00 PM;59.3
1/2/16 6:00:00 PM;54.7
1/2/16 7:00:00 PM;54.8
1/2/16 8:00:00 PM;53.1
1/2/16 9:00:00 PM;53.1
1/2/16 10:00:00 PM;53.7
1/2/16 11:00:00 PM;52.2
1/3/16 12:00:00 AM;51.3
1/3/16 1:00:00 AM;51.9
1/3/16 2:00:00 AM;51.6
1/3/16 3:00:00 AM;52.6
1/3/16 4:00:00 AM;52.1
1/3/16 5:00:00 AM;51.2
1/3/16 6:00:00 AM;50.0
