Year 2017
Date/time;DA004 (Behavioural Science)-Mains.Active energy (168339.8 kWh)
1/1/17 12:00:00 AM;23.0
1/1/17 1:00:00 AM;29.8
1/1/17 2:00:00 AM;29.8
1/1/17 3:00:00 AM;22.6
1/1/17 4:00:00 AM;23.5
1/1/17 5:00:00 AM;22.9
1/1/17 6:00:00 AM;19.8
1/1/17 7:00:00 AM;18.6
1/1/17 8:00:00 AM;19.2
1/1/17 9:00:00 AM;19.2
1/1/17 10:00:00 AM;19.7
1/1/17 11:00:00 AM;20.0
1/1/17 12:00:00 PM;19.2
1/1/17 1:00:00 PM;19.7
1/1/17 2:00:00 PM;20.4
1/1/17 3:00:00 PM;20.5
1/1/17 4:00:00 PM;19.7
1/1/17 5:00:00 PM;19.0
1/1/17 6:00:00 PM;20.2
1/1/17 7:00:00 PM;23.7
1/1/17 8:00:00 PM;22.4
1/1/17 9:00:00 PM;23.4
1/1/17 10:00:00 PM;23.4
1/1/17 11:00:00 PM;23.9
1/2/17 12:00:00 AM;22.9
1/2/17 1:00:00 AM;29.5
1/2/17 2:00:00 AM;29.3
1/2/17 3:00:00 AM;23.6
1/2/17 4:00:00 AM;22.8
1/2/17 5:00:00 AM;22.6
1/2/17 6:00:00 AM;20.2
1/2/17 7:00:00 AM;18.2
1/2/17 8:00:00 AM;20.6
1/2/17 9:00:00 AM;21.9
1/2/17 10:00:00 AM;22.6
1/2/17 11:00:00 AM;23.6
1/2/17 12:00:00 PM;24.8
1/2/17 1:00:00 PM;24.8
1/2/17 2:00:00 PM;24.0
1/2/17 3:00:00 PM;24.5
1/2/17 4:00:00 PM;25.5
1/2/17 5:00:00 PM;20.6
1/2/17 6:00:00 PM;19.6
1/2/17 7:00:00 PM;23.6
1/2/17 8:00:00 PM;24.0
1/2/17 9:00:00 PM;23.9
1/2/17 10:00:00 PM;24.1
1/2/17 11:00:00 PM;23.9
1/3/17 12:00:00 AM;24.1
1/3/17 1:00:00 AM;30.1
1/3/17 2:00:00 AM;30.1
1/3/17 3:00:00 AM;24.3
1/3/17 4:00:00 AM;22.6
1/3/17 5:00:00 AM;23.5
1/3/17 6:00:00 AM;35.2
1/3/17 7:00:00 AM;73.6
1/3/17 8:00:00 AM;81.7
1/3/17 9:00:00 AM;86.9
1/3/17 10:00:00 AM;89.3
1/3/17 11:00:00 AM;88.9
1/3/17 12:00:00 PM;93.2
1/3/17 1:00:00 PM;95.8
1/3/17 2:00:00 PM;89.3
1/3/17 3:00:00 PM;88.4
1/3/17 4:00:00 PM;82.6
1/3/17 5:00:00 PM;31.2
1/3/17 6:00:00 PM;26.5
1/3/17 7:00:00 PM;29.7
1/3/17 8:00:00 PM;28.2
1/3/17 9:00:00 PM;27.5
1/3/17 10:00:00 PM;27.7
1/3/17 11:00:00 PM;27.4
1/4/17 12:00:00 AM;28.3
1/4/17 1:00:00 AM;34.4
1/4/17 2:00:00 AM;34.6
1/4/17 3:00:00 AM;28.0
1/4/17 4:00:00 AM;27.0
1/4/17 5:00:00 AM;26.3
1/4/17 6:00:00 AM;53.5
1/4/17 7:00:00 AM;71.9
1/4/17 8:00:00 AM;80.8
1/4/17 9:00:00 AM;84.1
1/4/17 10:00:00 AM;87.7
1/4/17 11:00:00 AM;88.5
1/4/17 12:00:00 PM;88.7
1/4/17 1:00:00 PM;89.7
1/4/17 2:00:00 PM;84.2
1/4/17 3:00:00 PM;83.4
1/4/17 4:00:00 PM;81.0
1/4/17 5:00:00 PM;29.3
1/4/17 6:00:00 PM;27.2
1/4/17 7:00:00 PM;28.7
1/4/17 8:00:00 PM;28.3
1/4/17 9:00:00 PM;26.1
1/4/17 10:00:00 PM;26.3
1/4/17 11:00:00 PM;26.0
1/5/17 12:00:00 AM;26.7
