Year 2017
Date/time;134(Education Central)-Mains.Active energy (199859.9 kWh)
1/1/17 12:00:00 AM;28.9
1/1/17 1:00:00 AM;27.0
1/1/17 2:00:00 AM;24.9
1/1/17 3:00:00 AM;30.1
1/1/17 4:00:00 AM;25.6
1/1/17 5:00:00 AM;26.3
1/1/17 6:00:00 AM;27.3
1/1/17 7:00:00 AM;24.3
1/1/17 8:00:00 AM;24.8
1/1/17 9:00:00 AM;25.9
1/1/17 10:00:00 AM;24.1
1/1/17 11:00:00 AM;27.0
1/1/17 12:00:00 PM;29.5
1/1/17 1:00:00 PM;29.7
1/1/17 2:00:00 PM;36.9
1/1/17 3:00:00 PM;30.4
1/1/17 4:00:00 PM;24.9
1/1/17 5:00:00 PM;22.5
1/1/17 6:00:00 PM;30.1
1/1/17 7:00:00 PM;30.1
1/1/17 8:00:00 PM;27.4
1/1/17 9:00:00 PM;27.4
1/1/17 10:00:00 PM;28.6
1/1/17 11:00:00 PM;25.4
1/2/17 12:00:00 AM;25.8
1/2/17 1:00:00 AM;29.0
1/2/17 2:00:00 AM;25.8
1/2/17 3:00:00 AM;24.8
1/2/17 4:00:00 AM;27.4
1/2/17 5:00:00 AM;25.8
1/2/17 6:00:00 AM;21.6
1/2/17 7:00:00 AM;22.9
1/2/17 8:00:00 AM;23.9
1/2/17 9:00:00 AM;20.8
1/2/17 10:00:00 AM;22.7
1/2/17 11:00:00 AM;28.6
1/2/17 12:00:00 PM;25.3
1/2/17 1:00:00 PM;24.6
1/2/17 2:00:00 PM;27.1
1/2/17 3:00:00 PM;23.8
1/2/17 4:00:00 PM;20.8
1/2/17 5:00:00 PM;24.8
1/2/17 6:00:00 PM;28.3
1/2/17 7:00:00 PM;24.1
1/2/17 8:00:00 PM;28.0
1/2/17 9:00:00 PM;26.8
1/2/17 10:00:00 PM;23.8
1/2/17 11:00:00 PM;25.1
1/3/17 12:00:00 AM;27.6
1/3/17 1:00:00 AM;23.7
1/3/17 2:00:00 AM;23.9
1/3/17 3:00:00 AM;27.2
1/3/17 4:00:00 AM;26.1
1/3/17 5:00:00 AM;29.1
