Date/time;018 (Library)-Mains.Active energy (105936.0 kWh),timestamp_no_value,timestamp_values,timestamp_only,TESAG_val,Date,timestamp_values,,timestamp
12/11/07 1:00:00 PM;111.8,12/11/07 1:00:00 P,1/1/17 12:00:00 AM,12:00:00 AM,8,2017-01-01,00:00:00,,2017-01-01T00:00:00+10:00
12/11/07 2:00:00 PM;447.7,12/11/07 2:00:00 P,1/1/17 12:15:00 AM,12:15:00 AM,8.5,2017-01-01,00:15:00,,2017-01-01T00:15:00+10:00
12/11/07 3:00:00 PM;445.6,12/11/07 3:00:00 P,1/1/17 12:30:00 AM,12:30:00 AM,8.3,2017-01-01,00:30:00,,2017-01-01T00:30:00+10:00
12/11/07 4:00:00 PM;442.9,12/11/07 4:00:00 P,1/1/17 12:45:00 AM,12:45:00 AM,7.6,2017-01-01,00:45:00,,2017-01-01T00:45:00+10:00
12/11/07 5:00:00 PM;426.2,12/11/07 5:00:00 P,1/1/17 1:00:00 AM;,1:00:00 AM;,7.5,2017-01-01,01:00:00,,2017-01-01T01:00:00+10:00
12/11/07 6:00:00 PM;212.0,12/11/07 6:00:00 P,1/1/17 1:15:00 AM;,1:15:00 AM;,8.1,2017-01-01,01:15:00,,2017-01-01T01:15:00+10:00
12/11/07 7:00:00 PM;185.7,12/11/07 7:00:00 P,1/1/17 1:30:00 AM;,1:30:00 AM;,8.3,2017-01-01,01:30:00,,2017-01-01T01:30:00+10:00
12/11/07 8:00:00 PM;190.6,12/11/07 8:00:00 P,1/1/17 1:45:00 AM;,1:45:00 AM;,7.8,2017-01-01,01:45:00,,2017-01-01T01:45:00+10:00
12/11/07 9:00:00 PM;182.7,12/11/07 9:00:00 P,1/1/17 2:00:00 AM;,2:00:00 AM;,8,2017-01-01,02:00:00,,2017-01-01T02:00:00+10:00
12/11/07 10:00:00 PM;116.0,12/11/07 10:00:00 ,1/1/17 2:15:00 AM;,2:15:00 AM;,8.2,2017-01-01,02:15:00,,2017-01-01T02:15:00+10:00
12/11/07 11:00:00 PM;185.3,12/11/07 11:00:00 ,1/1/17 2:30:00 AM;,2:30:00 AM;,8.5,2017-01-01,02:30:00,,2017-01-01T02:30:00+10:00
12/12/07 12:00:00 AM;210.1,12/12/07 12:00:00 ,1/1/17 2:45:00 AM;,2:45:00 AM;,8.1,2017-01-01,02:45:00,,2017-01-01T02:45:00+10:00
12/12/07 1:00:00 AM;207.2,12/12/07 1:00:00 A,1/1/17 3:00:00 AM;,3:00:00 AM;,8.9,2017-01-01,03:00:00,,2017-01-01T03:00:00+10:00
12/12/07 2:00:00 AM;179.9,12/12/07 2:00:00 A,1/1/17 3:15:00 AM;,3:15:00 AM;,9.2,2017-01-01,03:15:00,,2017-01-01T03:15:00+10:00
12/12/07 3:00:00 AM;154.6,12/12/07 3:00:00 A,1/1/17 3:30:00 AM;,3:30:00 AM;,8,2017-01-01,03:30:00,,2017-01-01T03:30:00+10:00
12/12/07 4:00:00 AM;113.3,12/12/07 4:00:00 A,1/1/17 3:45:00 AM;,3:45:00 AM;,7.8,2017-01-01,03:45:00,,2017-01-01T03:45:00+10:00
12/12/07 5:00:00 AM;106.6,12/12/07 5:00:00 A,1/1/17 4:00:00 AM;,4:00:00 AM;,8.1,2017-01-01,04:00:00,,2017-01-01T04:00:00+10:00
12/12/07 6:00:00 AM;369.7,12/12/07 6:00:00 A,1/1/17 4:15:00 AM;,4:15:00 AM;,8.4,2017-01-01,04:15:00,,2017-01-01T04:15:00+10:00
12/12/07 7:00:00 AM;424.8,12/12/07 7:00:00 A,1/1/17 4:30:00 AM;,4:30:00 AM;,7.1,2017-01-01,04:30:00,,2017-01-01T04:30:00+10:00
12/12/07 8:00:00 AM;434.0,12/12/07 8:00:00 A,1/1/17 4:45:00 AM;,4:45:00 AM;,7.1,2017-01-01,04:45:00,,2017-01-01T04:45:00+10:00
12/12/07 9:00:00 AM;443.5,12/12/07 9:00:00 A,1/1/17 5:00:00 AM;,5:00:00 AM;,7.5,2017-01-01,05:00:00,,2017-01-01T05:00:00+10:00
12/12/07 10:00:00 AM;448.6,12/12/07 10:00:00 ,1/1/17 5:15:00 AM;,5:15:00 AM;,8.5,2017-01-01,05:15:00,,2017-01-01T05:15:00+10:00
12/12/07 11:00:00 AM;449.3,12/12/07 11:00:00 ,1/1/17 5:30:00 AM;,5:30:00 AM;,7,2017-01-01,05:30:00,,2017-01-01T05:30:00+10:00
12/12/07 12:00:00 PM;413.2,12/12/07 12:00:00 ,1/1/17 5:45:00 AM;,5:45:00 AM;,6.8,2017-01-01,05:45:00,,2017-01-01T05:45:00+10:00
12/12/07 1:00:00 PM;385.5,12/12/07 1:00:00 P,1/1/17 6:00:00 AM;,6:00:00 AM;,7.5,2017-01-01,06:00:00,,2017-01-01T06:00:00+10:00
12/12/07 2:00:00 PM;362.0,12/12/07 2:00:00 P,1/1/17 6:15:00 AM;,6:15:00 AM;,7.6,2017-01-01,06:15:00,,2017-01-01T06:15:00+10:00
12/12/07 3:00:00 PM;388.4,12/12/07 3:00:00 P,1/1/17 6:30:00 AM;,6:30:00 AM;,6.9,2017-01-01,06:30:00,,2017-01-01T06:30:00+10:00
12/12/07 4:00:00 PM;415.4,12/12/07 4:00:00 P,1/1/17 6:45:00 AM;,6:45:00 AM;,6.9,2017-01-01,06:45:00,,2017-01-01T06:45:00+10:00
